 	avec	la	pluie	qui	était	tombée	on	ne	pouvait	plus	avancer	</S>
a30	0.0862387	0.0548628	0.0571154	0.0709177	0.0831343	0.106927	0.0987921	0.108408	0.0934041	0.054384	0.0763011	0.109515
a87	0.208148	0.137921	0.10707	0.103962	0.0813879	0.0727706	0.0560756	0.0528424	0.0362464	0.0241482	0.0431862	0.0762409
a23	0.198832	0.142831	0.122704	0.124253	0.10177	0.0775009	0.0499797	0.0358172	0.0237632	0.0184521	0.0353777	0.0687186
a79	0.199675	0.180761	0.135567	0.139458	0.111107	0.0786719	0.0456771	0.0276995	0.0155255	0.0119447	0.0197107	0.0342018
a73	0.416078	0.248152	0.112387	0.0779572	0.0431396	0.0269359	0.017391	0.0121214	0.00774505	0.00665213	0.0092041	0.0222366
a94	0.394584	0.233626	0.114237	0.0903075	0.0588062	0.0366066	0.023357	0.0157494	0.00930107	0.00709014	0.00710559	0.00922984
a76	0.261799	0.182732	0.117314	0.114528	0.101467	0.0775311	0.0460006	0.0317282	0.022304	0.0155612	0.0140205	0.0150138
a98	0.201577	0.156476	0.121934	0.117012	0.108187	0.0875239	0.0608585	0.0475863	0.0358541	0.0257275	0.0184176	0.0188466
a5	0.131501	0.126054	0.118972	0.122588	0.12474	0.10814	0.0765718	0.0637204	0.048091	0.0316363	0.0232836	0.0247007
a12	0.103321	0.10019	0.107722	0.124194	0.143721	0.125848	0.0817397	0.0643194	0.0469048	0.0321871	0.0302016	0.0396521
a96	0.0630593	0.0643289	0.0888699	0.116381	0.146529	0.144626	0.0983819	0.0846716	0.0667318	0.0437819	0.0348625	0.0477759
a54	0.0484626	0.0489413	0.0791573	0.112417	0.14331	0.144963	0.102657	0.0931667	0.0778443	0.0498935	0.0399432	0.0592446
a98	0.0341575	0.0333848	0.0587235	0.0960491	0.127124	0.136775	0.107929	0.104328	0.0894221	0.0647965	0.0592217	0.0880884
a92	0.0290546	0.0331261	0.07406	0.112977	0.139712	0.138253	0.108135	0.0980019	0.0812645	0.0641659	0.0580612	0.0631891
a24	0.0243366	0.0281669	0.0596473	0.0928217	0.122684	0.133036	0.10973	0.105891	0.0923589	0.0812593	0.0756078	0.0744607
a94	0.0227513	0.0224938	0.0425348	0.0739797	0.111417	0.138064	0.122637	0.126056	0.117182	0.0865574	0.0638368	0.0724904
a53	0.029374	0.0261203	0.0429612	0.0706792	0.103023	0.13101	0.117821	0.120308	0.114546	0.0892731	0.0734357	0.0814494
a69	0.0234438	0.0201921	0.0301966	0.0458639	0.0666537	0.0991681	0.0999219	0.120988	0.131894	0.11706	0.117641	0.126978
a57	0.0163049	0.014691	0.0231577	0.0363438	0.0489462	0.0747527	0.0809661	0.115544	0.125297	0.122773	0.158654	0.182569
a82	0.0175988	0.015118	0.0244332	0.043925	0.0632596	0.10388	0.11131	0.146413	0.153245	0.119444	0.102084	0.0992882
a87	0.0172534	0.0160952	0.0260853	0.0459694	0.0673075	0.105913	0.115686	0.132482	0.146332	0.112102	0.0954016	0.119373
a23	0.0433436	0.0419798	0.0688815	0.104496	0.107081	0.108775	0.0998636	0.086488	0.0642257	0.0492838	0.064478	0.161104
a75	0.0359549	0.0390468	0.0698934	0.122142	0.134404	0.120663	0.0916338	0.0638998	0.0360988	0.0367808	0.0652037	0.184278
a61	0.0635884	0.0599724	0.0721887	0.09796	0.106587	0.112987	0.0837803	0.0743768	0.0577486	0.0455547	0.063705	0.16155
a66	0.0641852	0.0640965	0.0756929	0.103561	0.129808	0.128401	0.0909475	0.0765671	0.0603423	0.0484617	0.0537394	0.104198
a25	0.0309281	0.0288034	0.0368176	0.0538059	0.0842287	0.115177	0.107976	0.109071	0.100386	0.0735229	0.0864482	0.172835
a38	0.0175766	0.0164661	0.0247211	0.0424578	0.0701698	0.108045	0.106016	0.112679	0.117325	0.0824059	0.10106	0.201079
a90	0.0150364	0.0128326	0.017722	0.0289714	0.0465819	0.085322	0.0951666	0.115649	0.13059	0.0981073	0.120276	0.233745
a44	0.0170271	0.0145601	0.0191008	0.0295623	0.046107	0.0813499	0.0926418	0.114188	0.13464	0.0989346	0.117038	0.234849
a56	0.0135338	0.0117562	0.0168171	0.0260256	0.0396151	0.0711841	0.0879282	0.12271	0.145088	0.109063	0.127884	0.228395
a75	0.0150971	0.0140004	0.0197808	0.0296972	0.0414584	0.0677769	0.0856186	0.12939	0.158812	0.124352	0.122431	0.191586
a92	0.0123561	0.0121304	0.0197497	0.0328499	0.0439063	0.0669589	0.0745735	0.119192	0.131337	0.104754	0.126419	0.255772
a94	0.0182671	0.0185959	0.0291097	0.046202	0.0561647	0.0778161	0.0826664	0.126739	0.125995	0.10146	0.114128	0.202857
a69	0.00668121	0.00569144	0.00896243	0.014475	0.0207909	0.0335555	0.0446994	0.0770859	0.122481	0.114454	0.161494	0.38963
a44	0.0100104	0.00924309	0.0132628	0.0217125	0.0286071	0.0433508	0.0520612	0.0897213	0.126661	0.116834	0.156835	0.331701
a58	0.00484288	0.00390267	0.00507405	0.00824206	0.0118141	0.0211948	0.0296448	0.0558605	0.106246	0.105909	0.192478	0.454791
a94	0.00413588	0.00311061	0.00337159	0.00500997	0.00704906	0.012994	0.0189708	0.0368559	0.0862031	0.0962445	0.208819	0.517236
a90	0.00515488	0.00401549	0.0047755	0.00720782	0.00965017	0.0163122	0.0223256	0.0399526	0.0840619	0.0859506	0.190219	0.530375
a58	0.00907457	0.00840645	0.0129882	0.0214241	0.0282575	0.03887	0.044906	0.073348	0.12308	0.119598	0.165879	0.354169
a38	0.00183088	0.00169615	0.00245103	0.00369732	0.00504742	0.00932044	0.0139187	0.026138	0.0616036	0.0708621	0.19364	0.609794
a90	0.00300231	0.00255943	0.00310653	0.00428221	0.00537982	0.00942068	0.013373	0.0234109	0.0565923	0.0698674	0.203785	0.605221
a15	0.00343244	0.00301068	0.004571	0.00785938	0.0114673	0.0183347	0.022492	0.0378186	0.0723094	0.0725713	0.170258	0.575876
a90	0.00482604	0.00463199	0.00736671	0.0127742	0.0161639	0.0235993	0.027972	0.0444852	0.0723414	0.0815034	0.166056	0.53828
a15	0.00164265	0.00161032	0.00239533	0.00403871	0.00580526	0.0100328	0.0137494	0.0250125	0.051314	0.0629389	0.164875	0.656585
a44	0.00382796	0.0037841	0.00538473	0.00891675	0.0115975	0.0171264	0.0205314	0.0327067	0.0553685	0.072065	0.181419	0.587272
a58	0.0019402	0.00192897	0.0025758	0.00384787	0.0048207	0.0077479	0.0102869	0.0178786	0.0392314	0.0508772	0.171789	0.687075
a57	0.00562565	0.00488404	0.00543429	0.00707024	0.00698401	0.00896261	0.010562	0.015409	0.0359913	0.0462895	0.183441	0.669346
a53	0.0344828	0.0232494	0.0202515	0.0217989	0.0174344	0.0172682	0.0204439	0.0254056	0.0426896	0.0617235	0.191239	0.524013
a90	0.004323	0.00317815	0.0032542	0.00402081	0.00439694	0.00606914	0.00869756	0.0152795	0.036089	0.0493966	0.191136	0.674159
a32	0.00187601	0.00149798	0.00189722	0.00273596	0.00339932	0.00552947	0.00796613	0.0158678	0.0368165	0.0452973	0.166497	0.710619
a25	0.00280255	0.00245618	0.00363757	0.00529538	0.00599408	0.00897956	0.0127391	0.0229775	0.0467882	0.0588027	0.185739	0.643788
a90	0.00166731	0.0014613	0.00174212	0.00251691	0.0029207	0.0046854	0.00685514	0.0149969	0.0377151	0.0505532	0.187373	0.687513
a57	0.0015683	0.00148278	0.0020067	0.00297339	0.00379488	0.00596282	0.00848747	0.0173965	0.0426184	0.0548422	0.168558	0.690309
a40	0.00177051	0.00162657	0.00206567	0.00295427	0.00332136	0.00476219	0.00663594	0.0138182	0.0380099	0.0479857	0.17709	0.699959
a98	0.00252247	0.00235363	0.00318798	0.00500742	0.00680054	0.0105377	0.014148	0.0236198	0.0496839	0.0602019	0.177304	0.644633
a73	0.005774	0.00522729	0.00681369	0.0110268	0.0136861	0.0187896	0.0211041	0.0324958	0.060241	0.0732583	0.184022	0.567562
a84	0.00611429	0.00568035	0.006274	0.00930632	0.0113818	0.0159511	0.0189299	0.0302098	0.0555513	0.0698697	0.195753	0.574978
