 	cet	arbre	ibasa	attire	les	oiseaux	</S>
a66	0.386047	0.326619	0.17597	0.0540488	0.0320398	0.0147207	0.0105548
a87	0.435473	0.305151	0.12863	0.0635669	0.0357917	0.0169499	0.0144378
a23	0.533873	0.298509	0.0816026	0.0323048	0.0201647	0.0163959	0.0171501
a87	0.577344	0.267204	0.0615271	0.0247497	0.0168499	0.0220768	0.0302487
a23	0.51764	0.282175	0.0925715	0.0382056	0.0196299	0.0205998	0.0291782
a9	0.503733	0.207756	0.0700424	0.0421324	0.0474619	0.0601325	0.0687412
a54	0.342364	0.156775	0.119209	0.0798667	0.0796722	0.108506	0.113608
a36	0.238462	0.203734	0.261532	0.112865	0.0649225	0.0632777	0.0552062
a5	0.0935017	0.107371	0.227983	0.21642	0.146075	0.121765	0.0868842
a47	0.0707937	0.0914797	0.278883	0.271956	0.121589	0.0919615	0.0733364
a31	0.0880758	0.0986767	0.243298	0.267403	0.124333	0.0953394	0.082874
a62	0.0592568	0.0730522	0.217386	0.317593	0.123473	0.102822	0.106417
a88	0.0502133	0.0579472	0.17315	0.322707	0.149946	0.116605	0.129432
a0	0.0345942	0.0416523	0.122605	0.282338	0.190892	0.152389	0.17553
a94	0.0341604	0.0364334	0.094524	0.254761	0.198241	0.176802	0.205078
a90	0.0340777	0.0320636	0.0681	0.19153	0.228296	0.211327	0.234607
a98	0.0141472	0.0143399	0.0480068	0.15246	0.308294	0.238507	0.224245
a47	0.00583942	0.0051218	0.0151331	0.0623882	0.253214	0.298193	0.36011
a6	0.00434324	0.00364334	0.00747815	0.0286782	0.185323	0.335002	0.435533
a37	0.00439886	0.003282	0.00627736	0.0184071	0.13153	0.335049	0.501056
a11	0.00523174	0.00288608	0.00312892	0.00928636	0.078877	0.302245	0.598345
a24	0.00152968	0.000813634	0.000960719	0.00370425	0.0435703	0.234799	0.714622
a9	0.00104791	0.000615988	0.000775536	0.0033582	0.0368593	0.224805	0.732538
a10	0.039526	0.0290698	0.0304899	0.041717	0.0826478	0.202839	0.57371
a87	0.222843	0.126467	0.08394	0.078421	0.108381	0.148819	0.23113
a23	0.285327	0.153237	0.0839424	0.0808102	0.0970078	0.131932	0.167744
a87	0.232767	0.104686	0.0390064	0.0262478	0.0765722	0.200686	0.320034
</S>	0.0165655	0.00828643	0.00749691	0.0113077	0.071655	0.291917	0.592771
