 	l'	enfant	est	allé	réparer	l'	offense	auprès	de	son	père	au	village	</S>
a66	0.0743442	0.0553633	0.0564819	0.0710227	0.0443325	0.0635835	0.109896	0.116969	0.0805133	0.0738477	0.0634536	0.0632667	0.0646922	0.0622338
a38	0.0436498	0.0295164	0.0249272	0.0236694	0.0144427	0.0195497	0.0320349	0.04543	0.0614316	0.0704216	0.0775729	0.111276	0.182426	0.263651
a90	0.160208	0.0550192	0.043977	0.0506427	0.0424279	0.0440038	0.0549139	0.0671913	0.0634179	0.0573498	0.0553996	0.0639651	0.104406	0.137078
a98	0.415321	0.164737	0.0978708	0.0917608	0.0528034	0.0313851	0.0208263	0.0226104	0.0142348	0.0117728	0.0114757	0.0125078	0.0215132	0.0311811
a85	0.443011	0.196294	0.0826151	0.0760096	0.0470956	0.0258068	0.0207727	0.023273	0.0130041	0.0105852	0.0105869	0.0112146	0.0172827	0.0224488
a37	0.463456	0.201676	0.0840436	0.0812839	0.0385069	0.0219058	0.0205134	0.0254238	0.0127534	0.00987072	0.0083893	0.00805428	0.0109567	0.0131661
a96	0.30165	0.193357	0.115244	0.0954319	0.0627626	0.040908	0.0394529	0.0420887	0.0240943	0.0188246	0.016743	0.0148324	0.01618	0.0184306
a66	0.19087	0.180488	0.126708	0.100556	0.0775389	0.05584	0.0548568	0.0546723	0.0363162	0.0286632	0.024682	0.0213481	0.0223979	0.0250638
a75	0.134249	0.162522	0.138609	0.106051	0.0764469	0.0566872	0.0585933	0.0631726	0.0446768	0.0379218	0.0317213	0.0273529	0.0299823	0.0320145
a15	0.10788	0.145543	0.138497	0.11523	0.0958024	0.0755174	0.0764037	0.0698681	0.0450234	0.0335036	0.0259447	0.0217977	0.0229709	0.0260185
a44	0.04199	0.0909545	0.141848	0.132208	0.104716	0.0836222	0.0843469	0.0819609	0.0516385	0.0419781	0.0348379	0.0319512	0.0365532	0.0413947
a15	0.0383972	0.0789045	0.133257	0.125572	0.0982788	0.0831854	0.0885996	0.0922922	0.0556493	0.0440638	0.034498	0.0330942	0.0437387	0.0504693
a44	0.0193916	0.0402169	0.100908	0.105275	0.0971646	0.0974191	0.102602	0.0974296	0.0699466	0.0583618	0.0505983	0.0467377	0.0535311	0.0604174
a98	0.0195639	0.036297	0.0848228	0.0869121	0.0865858	0.0970103	0.112581	0.111125	0.0801059	0.0654347	0.0503088	0.0452318	0.0573825	0.0666376
a92	0.0209856	0.0391149	0.0946412	0.0946194	0.0940888	0.108449	0.11118	0.0973527	0.0702606	0.0590408	0.0508476	0.0474856	0.0521205	0.0598135
a66	0.0196631	0.0328647	0.0715018	0.0787251	0.0836745	0.112068	0.110126	0.0981082	0.0695616	0.0626282	0.0615445	0.0632742	0.0661297	0.070131
a82	0.00363819	0.00541744	0.0183383	0.0204557	0.0331768	0.0660753	0.113403	0.0982218	0.126762	0.109083	0.089918	0.0877131	0.103123	0.124675
a38	0.00346999	0.00366593	0.0100852	0.0126747	0.0234367	0.0593686	0.0989596	0.0786261	0.0960831	0.0834608	0.0784969	0.0966186	0.139146	0.215908
a90	0.00383401	0.00356075	0.0087974	0.00954418	0.0168824	0.041845	0.0717193	0.0585746	0.0919173	0.0843711	0.0877325	0.111906	0.164042	0.245273
a57	0.00739273	0.00772656	0.0166307	0.0169847	0.0247275	0.0483765	0.0817165	0.0744682	0.100821	0.0836544	0.0874329	0.106619	0.154659	0.18879
a82	0.00135688	0.00176348	0.00576545	0.00652095	0.0110332	0.0266752	0.0434033	0.037131	0.0640683	0.0618496	0.0754778	0.129108	0.216391	0.319457
a53	0.00218289	0.0019237	0.00359124	0.00542428	0.00754812	0.0230713	0.0366138	0.0371705	0.0554666	0.0557072	0.0642161	0.117461	0.213914	0.375709
a4	0.00192556	0.00169061	0.00295845	0.00314542	0.00395213	0.0075101	0.0136706	0.0170634	0.0327434	0.0363565	0.056017	0.125944	0.269384	0.427639
a13	0.00147229	0.00240389	0.00623073	0.0056076	0.00750643	0.0138363	0.0213019	0.0227054	0.0370787	0.0371484	0.0498954	0.112022	0.266746	0.416045
a99	0.00122566	0.0019862	0.00493204	0.00573971	0.0076297	0.0157768	0.0251207	0.0278753	0.0476267	0.0450845	0.0589091	0.123208	0.24211	0.392775
a87	0.00205857	0.00250623	0.00645933	0.00931932	0.0107097	0.0232268	0.034846	0.0383724	0.0645835	0.0580966	0.0738487	0.137649	0.214636	0.323688
a23	0.0363524	0.0265456	0.0311787	0.0365808	0.0272017	0.0430409	0.0510395	0.0781471	0.102744	0.0946189	0.0898896	0.103303	0.128821	0.150536
a97	0.0499869	0.0333689	0.0231558	0.0211741	0.0181563	0.0267461	0.0293175	0.0356281	0.0648837	0.0799873	0.101829	0.142046	0.179827	0.193893
</S>	0.0559879	0.03548	0.0335563	0.0306182	0.020164	0.0251574	0.0251363	0.0355705	0.0506744	0.0599123	0.0765807	0.121847	0.191292	0.238023
