 	qui	est-ce	qui	m'	a	piétiné	</S>
a87	0.468823	0.236611	0.116239	0.0875365	0.0467029	0.0265631	0.017525
a23	0.523787	0.200944	0.105578	0.0750271	0.0402834	0.0239024	0.0304777
a62	0.294674	0.175923	0.140082	0.138137	0.0838415	0.0659751	0.101367
a21	0.367826	0.257313	0.177175	0.0879673	0.0484967	0.0334385	0.0277831
a18	0.278648	0.265652	0.238679	0.132084	0.0517944	0.0226939	0.0104487
a21	0.21432	0.239403	0.248065	0.179907	0.0745157	0.0311771	0.0126128
a5	0.309226	0.295494	0.235066	0.0997414	0.0346832	0.0163616	0.00942837
a21	0.202854	0.231872	0.250749	0.145895	0.0777957	0.0543268	0.036508
a12	0.156703	0.185755	0.236385	0.196708	0.105603	0.0723375	0.0465089
a75	0.0725213	0.0857131	0.153494	0.244136	0.185096	0.157009	0.10203
a41	0.0748082	0.0742915	0.114119	0.176113	0.159846	0.201948	0.198874
a44	0.0548435	0.0449527	0.0639775	0.148326	0.205561	0.258269	0.22407
a93	0.0230166	0.0230865	0.0394209	0.124196	0.256183	0.327267	0.206831
a96	0.0121082	0.0123539	0.0208314	0.0676481	0.19905	0.376486	0.311522
a83	0.00404322	0.00477961	0.00903999	0.0337886	0.131719	0.391852	0.424778
a54	0.0015883	0.0017652	0.00380227	0.0175126	0.0860909	0.275541	0.6137
a36	0.00156072	0.00196924	0.00420924	0.0161564	0.0741286	0.252814	0.649161
a27	0.00291174	0.00292729	0.00565709	0.0170739	0.0578115	0.161353	0.752266
a30	0.0159916	0.00915268	0.00995245	0.0146581	0.0323114	0.0832009	0.834733
a87	0.161747	0.105188	0.0715604	0.0641287	0.0631785	0.1085	0.425698
a23	0.251345	0.185089	0.141706	0.0988111	0.0771171	0.0818784	0.164053
a87	0.0546934	0.0408398	0.048736	0.0670445	0.140063	0.232345	0.416278
</S>	0.0250959	0.0201866	0.021276	0.043863	0.111651	0.218358	0.559569
