 	j'	enlève	la	porte	de	la	maison	</S>
a66	0.511511	0.116084	0.0750166	0.0970057	0.0728081	0.057442	0.0382411	0.0318915
a87	0.49829	0.0987071	0.0752011	0.0682059	0.0563918	0.0662893	0.0683851	0.0685294
a23	0.291952	0.170118	0.103321	0.0825153	0.0778444	0.0881663	0.0940714	0.0920112
a79	0.298273	0.241721	0.151998	0.0817872	0.05907	0.0554165	0.0545886	0.0571462
a75	0.427037	0.18651	0.0759132	0.0495234	0.0481183	0.0611112	0.0665811	0.0852053
a5	0.435935	0.256378	0.113823	0.0546931	0.0406188	0.037736	0.0296368	0.0311795
a47	0.261245	0.318045	0.180715	0.0759513	0.0489777	0.043215	0.0337551	0.0380958
a96	0.201663	0.251334	0.218527	0.122381	0.0678322	0.0539441	0.0430417	0.041278
a90	0.186297	0.264108	0.215612	0.121307	0.0681681	0.0531605	0.0449816	0.0463658
a56	0.0960469	0.235948	0.253259	0.156259	0.0859719	0.0645587	0.0535256	0.0544319
a34	0.122045	0.192391	0.234487	0.177486	0.0981673	0.0695358	0.0536999	0.0521887
a75	0.0755778	0.102596	0.181205	0.21554	0.152706	0.111896	0.0832344	0.0772448
a56	0.015974	0.0318421	0.0997594	0.190587	0.196676	0.179693	0.14741	0.138058
a94	0.0165875	0.0246537	0.0800912	0.194252	0.213603	0.190169	0.146293	0.134351
a90	0.00706806	0.0106086	0.0405493	0.139086	0.204831	0.226361	0.194026	0.17747
a98	0.00285882	0.00482426	0.0204838	0.0919426	0.165294	0.221517	0.235317	0.257762
a92	0.00133365	0.0039713	0.0145684	0.0599819	0.119877	0.197531	0.266075	0.336661
a37	0.00124764	0.003224	0.0122353	0.0549951	0.113574	0.19231	0.283097	0.339318
a75	0.000460866	0.000853029	0.00386576	0.0211413	0.0630076	0.147253	0.284378	0.47904
a47	0.000245559	0.000598751	0.00281216	0.0183406	0.0599699	0.148563	0.310293	0.459176
a88	8.94876e-05	0.000226645	0.00190974	0.0151564	0.054013	0.139648	0.316526	0.472431
a9	0.000222958	0.000515105	0.00323014	0.0186534	0.0537758	0.137439	0.315868	0.470296
a3	0.00303382	0.00206496	0.00928611	0.0318146	0.0630582	0.139734	0.285167	0.465842
a97	0.0415712	0.0269367	0.0397851	0.0615814	0.0967194	0.169979	0.25302	0.310407
a87	0.0590812	0.0296927	0.0441236	0.0680441	0.112567	0.189273	0.244141	0.253077
a97	0.0473701	0.0304665	0.0499786	0.0890509	0.132429	0.199397	0.229957	0.221351
a87	0.0407818	0.0304366	0.0582506	0.0953554	0.12474	0.171591	0.224889	0.253956
a97	0.0399322	0.0336139	0.0490692	0.0742664	0.109807	0.160382	0.230338	0.302591
a87	0.0522211	0.0505905	0.0762877	0.0839044	0.108121	0.149676	0.208387	0.270812
</S>	0.0721048	0.0658008	0.0825583	0.0858181	0.108412	0.142184	0.190176	0.252945
