 	le	hibou	bouboule	</S>
a23	0.613311	0.212292	0.0954675	0.0789294
a50	0.586581	0.282147	0.0758714	0.0554001
a0	0.552491	0.267305	0.107456	0.0727484
a24	0.550665	0.264085	0.119772	0.065478
a34	0.491441	0.273356	0.14051	0.0946931
a93	0.52156	0.25549	0.128118	0.0948325
a70	0.345716	0.26119	0.207628	0.185467
a93	0.199241	0.23856	0.290468	0.271731
a56	0.161749	0.224182	0.308445	0.305624
a75	0.10978	0.18412	0.335709	0.370391
a21	0.0579928	0.12934	0.311208	0.501459
a47	0.067693	0.135819	0.310771	0.485716
a62	0.0401035	0.0784972	0.280051	0.601348
a21	0.0241966	0.0564503	0.266501	0.652852
a5	0.0220685	0.045703	0.219604	0.712625
a36	0.00888653	0.0227553	0.171831	0.796527
a2	0.01106	0.0277877	0.169629	0.791524
a57	0.143234	0.121182	0.215645	0.519939
a87	0.268605	0.173856	0.238008	0.319531
a23	0.251207	0.166609	0.246112	0.336072
a87	0.079056	0.0936954	0.257043	0.570205
a10	0.0640686	0.108337	0.247768	0.579826
a87	0.154317	0.143252	0.234823	0.467608
</S>	0.105745	0.138681	0.255224	0.500349
