 	a	obongui	on	pratique	encore	la	chasse	au	gros	gibier	</S>
a66	0.374254	0.20817	0.106636	0.0634975	0.0600886	0.0500847	0.0458047	0.0387622	0.0241184	0.0138463	0.014737
a87	0.463075	0.242868	0.0720203	0.0328848	0.0245759	0.0269971	0.0327419	0.0314936	0.030301	0.0190722	0.0239704
a23	0.468672	0.254715	0.113533	0.0527076	0.0239385	0.0165047	0.013116	0.0110658	0.0137439	0.0142333	0.0177707
a99	0.276536	0.158793	0.0804234	0.0845421	0.0698486	0.0472888	0.0438208	0.0375858	0.0469659	0.0683788	0.0858163
a30	0.164901	0.14808	0.0969969	0.122435	0.0653644	0.0519906	0.0453157	0.0415021	0.0541862	0.0854977	0.123731
a13	0.0997388	0.123837	0.104802	0.13573	0.087687	0.0637129	0.0517955	0.0473201	0.0578571	0.0918985	0.135622
a88	0.195496	0.200571	0.114371	0.110774	0.0694781	0.0491301	0.0363404	0.0321557	0.0410172	0.0595563	0.0911093
a94	0.0891526	0.189904	0.180793	0.153251	0.121604	0.0757261	0.0469878	0.0341703	0.0310894	0.0354636	0.0418579
a54	0.0610508	0.166288	0.180665	0.158466	0.141827	0.0897008	0.0550134	0.0389393	0.0316713	0.0351588	0.041219
a6	0.11152	0.198167	0.143776	0.124912	0.133841	0.0943082	0.0632695	0.0439315	0.0285284	0.0270956	0.0306513
a0	0.0644736	0.142004	0.137557	0.134741	0.161545	0.0994651	0.066171	0.0513169	0.0386576	0.0466774	0.0573916
a54	0.0439417	0.0778431	0.10907	0.124106	0.173052	0.115171	0.077953	0.0644505	0.0519195	0.0705678	0.0919248
a47	0.0498631	0.0887569	0.101104	0.118472	0.173119	0.119673	0.0910795	0.0695342	0.0515374	0.0604588	0.0764017
a98	0.0226264	0.0298333	0.0436112	0.0785253	0.160997	0.108651	0.0922311	0.0834278	0.0783501	0.126248	0.175498
a47	0.0379607	0.0637743	0.0672048	0.0962578	0.187523	0.133672	0.114285	0.0839404	0.0588581	0.0693024	0.0872221
a36	0.0156557	0.0210063	0.0273436	0.0578179	0.14306	0.124493	0.124182	0.106575	0.0878132	0.122343	0.169711
a37	0.020249	0.0169369	0.0209349	0.0356828	0.0918885	0.0783492	0.0745307	0.0843421	0.0916424	0.209859	0.275585
a12	0.0157669	0.0137827	0.0201679	0.0343985	0.088024	0.081405	0.08326	0.0969667	0.0996301	0.208656	0.257942
a61	0.00714872	0.00638162	0.0101458	0.0206519	0.0546979	0.0672936	0.0901196	0.131292	0.14279	0.216317	0.253162
a70	0.00748974	0.00740932	0.0104967	0.0232667	0.054809	0.0716354	0.0996082	0.144569	0.168438	0.206786	0.205492
a75	0.006462	0.00635183	0.00873719	0.0185823	0.0408419	0.0546565	0.0782384	0.117706	0.165333	0.240183	0.262908
a98	0.00211154	0.00271629	0.00410207	0.0110481	0.0269989	0.0317923	0.0464115	0.0933545	0.15149	0.30104	0.328935
a79	0.000494513	0.000762757	0.00152646	0.0046527	0.0152059	0.0177564	0.0263675	0.0654979	0.127212	0.343541	0.396983
a7	0.000613645	0.000628736	0.000859798	0.00218675	0.00602115	0.00647669	0.0102997	0.0305119	0.080457	0.35401	0.507935
a0	0.00204404	0.00199155	0.00165103	0.00230345	0.0044477	0.00531605	0.00832537	0.0231143	0.066625	0.315472	0.568709
a90	0.00403971	0.00468123	0.00338833	0.00337805	0.00409518	0.00641364	0.0125556	0.0323497	0.0866458	0.285312	0.557141
a79	0.000544146	0.000717861	0.000756503	0.00146273	0.00332742	0.00543691	0.0127859	0.0386116	0.114389	0.330995	0.490973
a44	0.000287138	0.000403426	0.000491571	0.00105005	0.00269362	0.0043794	0.00959407	0.0294994	0.0947443	0.340636	0.516221
a58	0.000753818	0.000843689	0.000915824	0.00161838	0.00316759	0.00489609	0.0108832	0.0277408	0.0818074	0.296748	0.570625
a82	0.00475146	0.00602166	0.00621065	0.00671134	0.0090392	0.0125723	0.0206041	0.035616	0.0795887	0.284675	0.53421
a87	0.0496726	0.0476411	0.044945	0.0401881	0.0458472	0.0519263	0.0612634	0.0727636	0.104896	0.192281	0.288576
</S>	0.481794	0.144814	0.0759683	0.037638	0.0377284	0.0325308	0.0313375	0.0349354	0.0387177	0.0444585	0.0400767
