 	le	brochet	mange	de	petits	poissons	</S>
a66	0.379954	0.250104	0.106608	0.0766147	0.0639422	0.055222	0.0675548
a87	0.553411	0.123791	0.0529024	0.0422217	0.0494576	0.0686469	0.10957
a23	0.705979	0.158906	0.0382559	0.0268177	0.0213497	0.0185356	0.0301557
a79	0.586163	0.116238	0.0426142	0.0400496	0.0468481	0.0526637	0.115423
a44	0.369371	0.198502	0.0923543	0.0771774	0.0774599	0.0747333	0.110402
a79	0.292159	0.281151	0.13825	0.10706	0.0810628	0.0514982	0.0488185
a44	0.162616	0.244601	0.185493	0.169586	0.121117	0.0639604	0.0526273
a53	0.255169	0.257678	0.171901	0.137656	0.0853049	0.0501088	0.042182
a20	0.244727	0.216685	0.16683	0.134694	0.0931091	0.074314	0.0696416
a79	0.0863597	0.167601	0.223766	0.204686	0.119333	0.095978	0.102277
a44	0.116426	0.1995	0.18461	0.154636	0.115421	0.108252	0.121155
a75	0.151322	0.251808	0.193628	0.123528	0.089315	0.0879804	0.102419
a47	0.0412387	0.122262	0.151609	0.16211	0.180547	0.162183	0.18005
a36	0.0170694	0.0806346	0.111908	0.120489	0.173296	0.20039	0.296214
a40	0.016881	0.0818754	0.129027	0.113543	0.143266	0.193727	0.321682
a36	0.021599	0.0792386	0.123413	0.133676	0.173057	0.193222	0.275795
a11	0.00633524	0.0274104	0.0642001	0.0903299	0.168405	0.243207	0.400112
a96	0.0104494	0.0267908	0.0522196	0.080257	0.169102	0.25164	0.409541
a13	0.0096558	0.0199343	0.0402886	0.0710727	0.174785	0.284767	0.399496
a54	0.00649951	0.0113954	0.0185086	0.0337744	0.109486	0.287449	0.532887
a15	0.000901837	0.00351305	0.0106475	0.0246701	0.119213	0.29137	0.549685
a36	0.000567005	0.00166038	0.00434394	0.0124631	0.0769196	0.265622	0.638424
a2	0.00607381	0.00549068	0.00690128	0.0145483	0.0620756	0.24689	0.658021
a54	0.0261766	0.0197195	0.0338085	0.0562926	0.114526	0.266935	0.482542
a36	0.00106927	0.00216021	0.00552225	0.0162701	0.101348	0.307294	0.566336
a2	0.00387051	0.00469103	0.011266	0.0286963	0.100186	0.291371	0.559919
a10	0.0347505	0.026918	0.0455179	0.0703758	0.125311	0.269276	0.42785
a9	0.323494	0.0857488	0.0848746	0.0792923	0.108437	0.140706	0.177446
a10	0.372894	0.140501	0.101018	0.0780905	0.0759678	0.0929461	0.138582
a87	0.278269	0.133271	0.093359	0.0812113	0.0896203	0.119457	0.204814
a23	0.165449	0.089597	0.0689482	0.0770266	0.114707	0.173499	0.310772
a87	0.120318	0.0666655	0.0492495	0.0533682	0.123427	0.204948	0.382024
</S>	0.0168128	0.0122894	0.0175302	0.0314561	0.118179	0.244831	0.558901
