 	pourquoi	mange-t-il	si	vite	</S>
a66	0.644854	0.136306	0.121046	0.0600237	0.0377701
a87	0.778508	0.166356	0.0376536	0.0107048	0.00677736
a23	0.796362	0.155741	0.0195546	0.0118631	0.0164796
a24	0.65278	0.181901	0.0416808	0.048666	0.0749717
a61	0.566412	0.185982	0.0768453	0.080619	0.0901411
a5	0.571097	0.275542	0.0746241	0.0441419	0.0345943
a61	0.429414	0.373302	0.0850287	0.0580385	0.0542163
a75	0.493342	0.344024	0.080139	0.0437991	0.0386953
a93	0.250922	0.463035	0.163657	0.0672528	0.0551334
a98	0.219139	0.349246	0.216237	0.106479	0.108899
a85	0.150212	0.280607	0.308554	0.142342	0.118285
a6	0.0480522	0.113987	0.348445	0.269767	0.219749
a36	0.0150517	0.0479415	0.318941	0.341304	0.276761
a85	0.00542377	0.0116491	0.111673	0.308024	0.563229
a47	0.00104298	0.00580003	0.091601	0.328285	0.573271
a79	0.000418253	0.00258023	0.0414345	0.238219	0.717348
a37	0.000334073	0.00293575	0.0630168	0.275787	0.657926
a98	0.00194043	0.00827065	0.089499	0.238706	0.661584
a47	0.0013691	0.00944324	0.0871912	0.274187	0.62781
a37	0.00587824	0.0137146	0.0955062	0.250218	0.634683
a66	0.00786564	0.0148936	0.0909678	0.284583	0.60169
a3	0.0392542	0.0305446	0.147536	0.301914	0.480751
a87	0.34966	0.118407	0.141495	0.163216	0.227223
a23	0.471221	0.205148	0.123314	0.0953226	0.104994
a87	0.209573	0.10223	0.151285	0.204741	0.332171
</S>	0.0352846	0.0251683	0.0868842	0.239597	0.613065
