 	la	fumée	brûle	les	yeux	</S>
a85	0.440252	0.228153	0.130119	0.0756104	0.0593767	0.0664879
a87	0.444535	0.215345	0.139995	0.0984346	0.0586739	0.0430162
a23	0.394809	0.342296	0.122113	0.0661004	0.0424439	0.0322373
a83	0.384162	0.346814	0.10227	0.0514118	0.050561	0.0647816
a38	0.420767	0.269021	0.111116	0.089253	0.0650669	0.044776
a35	0.396551	0.371838	0.113149	0.0807453	0.0265365	0.0111807
a41	0.288781	0.443	0.149932	0.0772955	0.0281721	0.0128189
a27	0.312055	0.286493	0.194828	0.120064	0.0581729	0.0283875
a38	0.148924	0.113886	0.128172	0.178559	0.246474	0.183985
a14	0.22969	0.149795	0.132794	0.17482	0.183803	0.129098
a35	0.190375	0.163183	0.148831	0.212238	0.181418	0.103955
a26	0.166523	0.0943644	0.100146	0.198382	0.251676	0.188909
a35	0.141489	0.0810188	0.0943435	0.195276	0.251509	0.236363
a34	0.0488382	0.0239691	0.0402674	0.196804	0.336101	0.35402
a26	0.0115338	0.0162504	0.0306859	0.152143	0.335602	0.453785
a43	0.0131058	0.0122511	0.0158234	0.0952398	0.297837	0.565743
a11	0.0108634	0.00511775	0.0040353	0.038734	0.237494	0.703756
a24	0.00719687	0.00321409	0.00290788	0.0352197	0.23235	0.719112
a9	0.0102786	0.00813235	0.00875095	0.0419101	0.201115	0.729813
a87	0.0185138	0.011003	0.00917104	0.0478275	0.248592	0.664893
</S>	0.0152787	0.00868373	0.00934268	0.0375411	0.208838	0.720316
