 	c'	est	un	gros	battant	de	cloche	</S>
a23	0.292672	0.193056	0.112302	0.079514	0.0889111	0.0773778	0.068261	0.0879064
a87	0.355104	0.224839	0.162126	0.107831	0.0607313	0.0237006	0.0303291	0.0353387
a23	0.220515	0.181672	0.175192	0.145326	0.105211	0.0501065	0.0598689	0.0621069
a50	0.221648	0.163684	0.1537	0.12086	0.0823316	0.0553855	0.0872507	0.115141
a83	0.374383	0.332407	0.184711	0.0615971	0.026087	0.00887575	0.00566712	0.00627183
a9	0.338678	0.318301	0.19758	0.0742952	0.0368174	0.0136842	0.0112709	0.00937316
a62	0.257368	0.256796	0.209053	0.111574	0.0776092	0.0317691	0.0262034	0.0296266
a98	0.223217	0.267187	0.225152	0.119051	0.0821447	0.0314801	0.0262276	0.0255409
a61	0.158567	0.219003	0.228047	0.147459	0.113447	0.0495476	0.0409262	0.0430028
a41	0.175726	0.226373	0.231477	0.147008	0.106416	0.0403441	0.0349313	0.0377247
a24	0.149097	0.188274	0.219794	0.149848	0.120486	0.0602782	0.0558721	0.0563513
a41	0.147062	0.162959	0.20458	0.173081	0.14672	0.0635565	0.0543579	0.047683
a32	0.159015	0.164065	0.195016	0.166823	0.139702	0.0634394	0.0621372	0.0498036
a11	0.115928	0.111813	0.152234	0.206444	0.183729	0.0747266	0.075581	0.0795442
a24	0.0919079	0.0872452	0.125324	0.197661	0.187374	0.0994646	0.109529	0.101494
a18	0.052272	0.0487166	0.069909	0.137352	0.157898	0.152398	0.212182	0.169273
a75	0.0560364	0.0470568	0.0637166	0.139868	0.179514	0.161264	0.202178	0.150366
a41	0.058427	0.0473847	0.0479673	0.076417	0.0980055	0.128661	0.245406	0.297732
a37	0.0610912	0.0456387	0.0446264	0.0760792	0.113489	0.160863	0.242001	0.25621
a24	0.0534777	0.0413932	0.0429329	0.0667587	0.0904563	0.150781	0.278618	0.275582
a41	0.0243531	0.0183661	0.0191919	0.0340822	0.0549591	0.157045	0.35886	0.333143
a94	0.030916	0.0207099	0.0211593	0.0387765	0.0604513	0.16789	0.317708	0.342389
a76	0.0245912	0.0166566	0.0175845	0.0310493	0.0426667	0.136752	0.359834	0.370865
a32	0.0356684	0.0234762	0.0220875	0.0336164	0.0404808	0.114055	0.301492	0.429123
a75	0.0142564	0.00958992	0.0106448	0.0195436	0.0260523	0.0941792	0.324806	0.500928
a76	0.0210127	0.014485	0.0156351	0.0256822	0.0335226	0.107376	0.294182	0.488104
a94	0.0269502	0.0182102	0.0189214	0.0271513	0.0341249	0.112216	0.297467	0.464959
a98	0.0155796	0.00988904	0.0114035	0.0206847	0.0244401	0.0761852	0.265131	0.576687
a73	0.0259039	0.0158187	0.0159946	0.0261522	0.028636	0.080504	0.226076	0.580914
a94	0.0170122	0.0108053	0.0120206	0.0220344	0.0256248	0.0777261	0.219588	0.615188
a35	0.0166666	0.00961548	0.0112456	0.0228205	0.0265032	0.0709515	0.202354	0.639843
a98	0.0363886	0.0200487	0.0209876	0.0376393	0.0379163	0.0894654	0.183161	0.574393
a73	0.0230486	0.014362	0.015995	0.0253504	0.0283461	0.0829622	0.195921	0.614015
a26	0.0170969	0.0112148	0.0141496	0.0258009	0.0262625	0.0610441	0.155428	0.689003
a57	0.00940668	0.0054255	0.00613423	0.013472	0.0177159	0.0513355	0.166531	0.729979
a87	0.0073905	0.00435469	0.00368552	0.00666782	0.00976659	0.0446288	0.185749	0.737757
a23	0.0139034	0.00974227	0.0084167	0.0135359	0.0215492	0.0907973	0.212795	0.62926
a98	0.0337992	0.0211296	0.0150801	0.0171328	0.0211651	0.0824813	0.260654	0.548558
a71	0.0388227	0.0193408	0.0150827	0.0281355	0.0421745	0.0909741	0.224587	0.540883
a62	0.0102319	0.00537768	0.00540157	0.0143986	0.0272123	0.0951815	0.285921	0.556275
a12	0.0117426	0.00772497	0.00867329	0.0188164	0.028943	0.0975925	0.255182	0.571326
a96	0.00880297	0.00632675	0.00747143	0.0167383	0.0257477	0.0874881	0.242063	0.605362
a41	0.00643099	0.00478234	0.00588915	0.013296	0.0192905	0.0667878	0.1994	0.684124
a27	0.00189127	0.00128969	0.00163882	0.00450096	0.00767527	0.0474113	0.208106	0.727487
a25	0.00169029	0.00125729	0.00133633	0.00260745	0.00417254	0.0278384	0.169882	0.791216
a87	0.00507645	0.00326774	0.00323016	0.00571085	0.00886137	0.0473212	0.196212	0.73032
</S>	0.0101794	0.00603273	0.00532461	0.00915058	0.014108	0.0785449	0.265222	0.611438
