 	il	est	à	bout	de	forces	</S>
a23	0.335266	0.211377	0.152684	0.0958485	0.0671398	0.0615793	0.0761052
a53	0.429126	0.265925	0.152578	0.0725957	0.0335683	0.0186053	0.0276014
a20	0.311963	0.217254	0.160596	0.0884802	0.0715475	0.0820781	0.0680823
a15	0.385764	0.281247	0.209098	0.0773955	0.0242837	0.0134489	0.00876375
a37	0.323814	0.276842	0.22974	0.0962228	0.0344658	0.022952	0.0159632
a11	0.245421	0.231378	0.23953	0.13909	0.0669674	0.0440243	0.0335891
a56	0.186045	0.204309	0.244249	0.171031	0.0890206	0.0590027	0.0463425
a43	0.169157	0.183754	0.235676	0.17163	0.107503	0.0738921	0.0583885
a11	0.132313	0.147511	0.208298	0.190039	0.148017	0.100016	0.0738059
a90	0.103144	0.115225	0.169952	0.187375	0.193153	0.136222	0.0949276
a25	0.0524227	0.0639149	0.112045	0.152511	0.209536	0.233443	0.176128
a15	0.0373448	0.0453979	0.0807269	0.12862	0.217038	0.277895	0.212977
a7	0.00994722	0.0117584	0.0211544	0.0375341	0.130519	0.397752	0.391335
a84	0.0122635	0.0137959	0.0215635	0.0355734	0.11307	0.379307	0.424427
a57	0.0127208	0.0133263	0.0164208	0.0280645	0.0768036	0.220065	0.632599
a87	0.017811	0.0159023	0.0197486	0.0385392	0.0779798	0.228532	0.601487
a23	0.107518	0.0865341	0.0883274	0.111057	0.132384	0.226459	0.24772
a87	0.0486496	0.0445695	0.059465	0.100877	0.171331	0.259349	0.315759
</S>	0.0085068	0.0100271	0.0205283	0.0497493	0.124489	0.347152	0.439547
