 	elle	lui	donne	un	coup	de	bâton	</S>
a87	0.323111	0.237376	0.10167	0.0551425	0.0504155	0.0778915	0.0825717	0.071822
a23	0.163771	0.109567	0.0960473	0.111014	0.134028	0.139693	0.129211	0.116668
a79	0.264188	0.178428	0.119417	0.0827242	0.0718953	0.0809188	0.0926821	0.109747
a4	0.366552	0.262082	0.11465	0.0579425	0.0363021	0.0385284	0.0498891	0.0740539
a58	0.288517	0.292864	0.211332	0.102608	0.0432167	0.0252287	0.018528	0.0177059
a82	0.21981	0.215935	0.192906	0.1512	0.0766955	0.0535722	0.0432386	0.0466426
a50	0.141531	0.139021	0.138759	0.150936	0.0951493	0.0945827	0.105871	0.13415
a83	0.166625	0.171141	0.198433	0.166135	0.093201	0.068758	0.0644455	0.0712614
a61	0.148371	0.149192	0.183352	0.181619	0.124417	0.0817948	0.0665503	0.0647034
a62	0.0918922	0.0941911	0.139661	0.186309	0.178285	0.126968	0.0983263	0.0843678
a83	0.0695195	0.0663582	0.106872	0.172541	0.215906	0.16491	0.115248	0.0886447
a11	0.0447341	0.0415337	0.0713041	0.146959	0.211732	0.198471	0.157322	0.127944
a90	0.0259034	0.0230778	0.0392382	0.0940247	0.192402	0.241786	0.208192	0.175376
a69	0.02002	0.0202717	0.0369096	0.0919809	0.189577	0.245137	0.219261	0.176843
a84	0.0111281	0.0122709	0.0213835	0.0548948	0.140431	0.251021	0.269018	0.239853
a57	0.00273751	0.00241437	0.00274061	0.00549719	0.0221153	0.122169	0.296046	0.54628
a87	0.00694102	0.00488991	0.0043349	0.00626557	0.0183686	0.0837919	0.253188	0.62222
a23	0.0742735	0.0475215	0.0300756	0.0264103	0.0445582	0.132072	0.274473	0.370616
a87	0.038218	0.0238796	0.0208216	0.0275029	0.0798079	0.221531	0.316257	0.271982
</S>	0.035517	0.0204938	0.0157698	0.025825	0.0823397	0.196018	0.298643	0.325394
