 	cela	vaut	bien	le	double	</S>
a23	0.206969	0.211574	0.127086	0.123628	0.145643	0.1851
a87	0.267798	0.22622	0.151226	0.115662	0.095681	0.143414
a23	0.169344	0.192758	0.179122	0.154337	0.142329	0.162111
a94	0.0981336	0.1346	0.115015	0.150458	0.193175	0.308618
a76	0.434178	0.306633	0.137161	0.0708366	0.0311633	0.0200276
a90	0.40591	0.254846	0.15051	0.0940211	0.0578212	0.0368909
a11	0.434605	0.260628	0.15948	0.0794573	0.038312	0.0275173
a24	0.419987	0.281126	0.169691	0.070329	0.0330631	0.0258038
a94	0.29558	0.294749	0.213159	0.104956	0.051918	0.0396366
a98	0.266921	0.299207	0.22805	0.109421	0.0531958	0.0432061
a73	0.261218	0.302078	0.22925	0.111647	0.051942	0.0438646
a26	0.205282	0.28447	0.251648	0.128761	0.065221	0.0646177
a57	0.139325	0.255448	0.259096	0.172848	0.0907981	0.0824847
a38	0.131475	0.236489	0.237436	0.199945	0.117904	0.0767505
a41	0.145116	0.241012	0.236003	0.158583	0.107967	0.111319
a21	0.12268	0.187283	0.155181	0.139422	0.157293	0.238142
a12	0.110858	0.165224	0.171252	0.173633	0.184228	0.194806
a21	0.0982839	0.107089	0.125481	0.161284	0.220713	0.28715
a41	0.0858059	0.111395	0.130999	0.172904	0.236854	0.262042
a18	0.0475685	0.0645559	0.0676192	0.121532	0.234714	0.464011
a24	0.092115	0.122562	0.0949392	0.11115	0.216515	0.362718
a41	0.0475739	0.0606169	0.0490747	0.0768489	0.204161	0.561724
a24	0.0264135	0.0413996	0.0347827	0.0702732	0.221193	0.605938
a98	0.0337625	0.0504209	0.0368766	0.0517735	0.170017	0.657149
a71	0.040423	0.0520626	0.0411858	0.0646464	0.189956	0.611726
a38	0.0215206	0.0477402	0.0382111	0.05825	0.175416	0.658862
a73	0.0202316	0.0412596	0.0293696	0.0413926	0.134053	0.733693
a84	0.0131401	0.0276339	0.0217914	0.036982	0.145795	0.754658
a57	0.00924288	0.0226042	0.0186102	0.0360484	0.140648	0.772847
a87	0.00871933	0.0141373	0.0117159	0.0253321	0.120514	0.819582
</S>	0.0186665	0.0189637	0.0198385	0.0623744	0.217485	0.662672
