 	celui-ci	est	mon	champ	celui-là	est	à	mon	oncle	</S>
a66	0.350499	0.186664	0.113265	0.0852725	0.0776626	0.0639107	0.0504065	0.0351447	0.0230593	0.0141165
a87	0.314297	0.171505	0.109983	0.0802653	0.0862978	0.0791943	0.0733009	0.0457842	0.0257545	0.0136174
a23	0.26962	0.207191	0.150438	0.13045	0.119902	0.0662459	0.0330251	0.0109713	0.00585911	0.0062976
a99	0.297049	0.171531	0.108783	0.101194	0.142064	0.086478	0.045185	0.0202992	0.0138111	0.0136049
a50	0.323807	0.152191	0.0869313	0.073048	0.111005	0.0902754	0.0599897	0.0351392	0.0311148	0.036499
a70	0.171486	0.125052	0.0906855	0.0942674	0.148073	0.12522	0.0994522	0.0585855	0.0421094	0.0450684
a99	0.175529	0.177421	0.16151	0.147609	0.127312	0.0705025	0.0564792	0.0347622	0.0216196	0.0272567
a34	0.0837985	0.116679	0.143345	0.166146	0.169338	0.103254	0.0848698	0.0618245	0.0344579	0.0362875
a79	0.0621787	0.0996199	0.14024	0.165181	0.153483	0.11204	0.0850752	0.0669208	0.0547989	0.060463
a37	0.0954625	0.143537	0.173436	0.170369	0.138243	0.088565	0.0659887	0.0478887	0.0355924	0.0409172
a70	0.0372123	0.0568835	0.08972	0.11828	0.143737	0.131659	0.101505	0.0922819	0.103976	0.124745
a99	0.0218072	0.0363188	0.0703343	0.106987	0.137553	0.140692	0.107278	0.0943483	0.123442	0.161239
a54	0.0164576	0.0256782	0.0506694	0.0871282	0.14937	0.14928	0.111547	0.100719	0.131792	0.17736
a37	0.0337441	0.0547995	0.122383	0.183765	0.197481	0.133001	0.0899249	0.059681	0.0554909	0.0697299
a26	0.0184495	0.0259949	0.0575077	0.109141	0.164719	0.165163	0.12685	0.0939304	0.0976206	0.140624
a3	0.00690437	0.0100582	0.0230665	0.0525538	0.143896	0.190962	0.15435	0.123771	0.121692	0.172745
a99	0.00267192	0.00337418	0.00691481	0.0187011	0.0824346	0.158659	0.155732	0.164956	0.180856	0.2257
a83	0.00446297	0.00487251	0.0084957	0.0174463	0.0571689	0.116725	0.141166	0.191552	0.236591	0.221519
a50	0.00182996	0.00202651	0.00361905	0.00801693	0.0349238	0.0946577	0.123656	0.177123	0.263983	0.290164
a90	0.00127634	0.00155277	0.00283987	0.00549036	0.021675	0.0648884	0.0967546	0.16144	0.304556	0.339526
a4	0.00169876	0.00193335	0.00345932	0.0068086	0.0254538	0.0684118	0.0993831	0.147799	0.269702	0.375351
a53	0.000842404	0.0009548	0.00172931	0.00345883	0.0133036	0.0438025	0.078601	0.148033	0.31195	0.397324
a70	0.00077169	0.000890853	0.00173432	0.00370309	0.0132317	0.0416756	0.0690814	0.123919	0.285345	0.459647
a34	0.000421274	0.000510196	0.000955504	0.00190811	0.0071408	0.0252573	0.0472612	0.106028	0.318355	0.492163
a70	0.000583815	0.000673996	0.00124621	0.00220592	0.00740681	0.0250767	0.0497655	0.117206	0.335901	0.459934
a99	0.000467133	0.000606782	0.0012509	0.00234784	0.00824397	0.0280609	0.0543036	0.121988	0.339752	0.442979
a13	0.000669322	0.00081357	0.00169241	0.00343781	0.0105366	0.0320391	0.0512088	0.104846	0.318621	0.476135
a9	0.00173727	0.00176954	0.00299433	0.00514038	0.0105336	0.0260901	0.0423178	0.0888913	0.321138	0.499387
a3	0.0115634	0.00770477	0.00973924	0.0128384	0.0196621	0.0363367	0.0501345	0.0951565	0.326315	0.430549
a99	0.0965781	0.058569	0.0548344	0.0561538	0.0683077	0.0818608	0.0890496	0.10077	0.166551	0.227326
a87	0.130412	0.0883669	0.0909147	0.0944879	0.0914946	0.0987071	0.0978436	0.0818407	0.103105	0.122827
a23	0.0988746	0.0882469	0.0987715	0.103663	0.118262	0.122708	0.116069	0.0872901	0.0817758	0.0843386
a87	0.181224	0.128553	0.119433	0.100383	0.103934	0.0843137	0.089427	0.0629263	0.054136	0.0756695
</S>	0.173426	0.117699	0.111145	0.102791	0.105204	0.0810462	0.089058	0.0620381	0.0602231	0.0973698
