 	va	avertir	le	notable	que	le	recensement	commence	demain	</S>
a66	0.180997	0.132887	0.140522	0.12586	0.111225	0.0966636	0.0726347	0.0601274	0.0476237	0.0314596
a87	0.26488	0.176813	0.107089	0.0862231	0.0836867	0.06816	0.0663502	0.0687808	0.0434466	0.0345697
a57	0.275727	0.243136	0.139231	0.123196	0.105044	0.0614938	0.0267106	0.00895252	0.00689761	0.00961057
a87	0.257517	0.231443	0.135469	0.127159	0.123444	0.0646025	0.0261569	0.0144469	0.00879708	0.0109651
a57	0.256515	0.233478	0.160391	0.124292	0.101863	0.0536539	0.0253945	0.0183523	0.0119142	0.0141456
a9	0.38202	0.254528	0.109594	0.0727569	0.0635307	0.0362244	0.0171108	0.018207	0.0168687	0.0291599
a83	0.352564	0.2091	0.0921631	0.0795	0.0750043	0.0536252	0.0316685	0.0310916	0.0279421	0.047341
a44	0.414379	0.192832	0.0796907	0.0701996	0.0685726	0.055165	0.0305466	0.025695	0.021882	0.0410381
a96	0.320337	0.184152	0.134174	0.103533	0.0762167	0.0650648	0.0424223	0.0246017	0.018465	0.0310331
a34	0.19174	0.186747	0.169661	0.14809	0.0955499	0.0740482	0.0543978	0.0300463	0.022583	0.0271364
a96	0.0963225	0.142172	0.17517	0.189093	0.124126	0.0937672	0.0723977	0.0398253	0.0318908	0.0352351
a70	0.0723264	0.125947	0.165263	0.187695	0.124166	0.0941206	0.082986	0.0480556	0.0458757	0.0535639
a96	0.0510109	0.0989343	0.147636	0.187283	0.130897	0.100608	0.10326	0.0589553	0.0555214	0.065893
a54	0.0378206	0.07619	0.121639	0.166413	0.122427	0.101055	0.129868	0.0763608	0.0769377	0.0912891
a7	0.0479901	0.102522	0.158658	0.181971	0.130918	0.102207	0.1011	0.0555146	0.0516345	0.0674834
a44	0.0278968	0.0614662	0.125194	0.165463	0.129984	0.106288	0.136163	0.0768193	0.0746051	0.096121
a70	0.0260351	0.045609	0.105823	0.162447	0.138155	0.118497	0.140672	0.0852103	0.0727917	0.104761
a44	0.014806	0.0261863	0.0712183	0.140788	0.126967	0.121205	0.167672	0.112234	0.0920946	0.126828
a69	0.0185002	0.0279256	0.0772507	0.145025	0.132904	0.132214	0.160456	0.110926	0.080697	0.114102
a4	0.0104348	0.0129252	0.0410497	0.113214	0.121	0.137533	0.171459	0.130912	0.103807	0.157667
a54	0.00647711	0.00837494	0.0245573	0.0781129	0.0866752	0.109353	0.174857	0.15616	0.148683	0.20675
a56	0.00882182	0.0113309	0.0353782	0.0968886	0.104574	0.134356	0.164267	0.122588	0.135657	0.18614
a44	0.00557397	0.00722607	0.0211992	0.0662368	0.0742003	0.107292	0.188003	0.162758	0.159006	0.208505
a53	0.00176139	0.00203009	0.00514608	0.0240035	0.0327027	0.0561795	0.124184	0.174484	0.230964	0.348545
a44	0.00196181	0.00257345	0.00759623	0.032972	0.0425252	0.0697664	0.148679	0.168921	0.21665	0.308355
a54	0.00101646	0.00119937	0.00302244	0.0151671	0.022547	0.0415404	0.0894043	0.144503	0.251265	0.430335
a56	0.00119868	0.00144146	0.00339746	0.0135025	0.017814	0.0340186	0.0715198	0.111528	0.250916	0.494663
a37	0.000770763	0.000829123	0.00175307	0.00705357	0.0102123	0.0206632	0.0514478	0.102147	0.281612	0.523511
a70	0.000383456	0.000401385	0.000544964	0.00192375	0.00275194	0.00642826	0.0255448	0.0858641	0.300685	0.575472
a83	0.00033596	0.000370615	0.000481425	0.00142759	0.00206221	0.00499122	0.0237391	0.0964333	0.327287	0.542872
a99	0.000445392	0.000503894	0.000621242	0.00169651	0.00241735	0.00586978	0.0282221	0.0962706	0.31848	0.545473
a83	0.000432911	0.000506389	0.000548459	0.00149444	0.00201058	0.00426626	0.0230251	0.0928984	0.33479	0.540028
a50	0.000631919	0.000714126	0.000808038	0.00210818	0.00278819	0.00557775	0.0260947	0.0939502	0.31717	0.550157
a83	0.00108788	0.00120908	0.00118728	0.00274241	0.00357963	0.00650924	0.0284524	0.0989728	0.343041	0.513218
a9	0.000902747	0.000986632	0.00098729	0.00236326	0.00308461	0.0058774	0.0259035	0.0932262	0.335902	0.530766
a3	0.00488909	0.00489156	0.00331527	0.00486228	0.00544549	0.0100561	0.0416322	0.100877	0.328579	0.495452
a9	0.0694782	0.0498796	0.0260107	0.0253333	0.0253932	0.0313405	0.0652687	0.0966944	0.227164	0.383437
a87	0.0991852	0.0765718	0.0534885	0.059906	0.0631963	0.0850625	0.130146	0.111642	0.139501	0.1813
a97	0.0976803	0.0962311	0.0778925	0.0948618	0.0972563	0.126148	0.140506	0.0892647	0.0845868	0.0955717
a87	0.0764302	0.0918192	0.0876316	0.121307	0.132973	0.142945	0.130307	0.0787949	0.0639231	0.0738699
a23	0.0840697	0.116375	0.115312	0.13225	0.134195	0.119983	0.0991364	0.0687549	0.0558644	0.0740599
a97	0.181471	0.140743	0.0983261	0.0996607	0.102554	0.0823493	0.0734312	0.0617761	0.0504222	0.109267
a82	0.211333	0.170683	0.104645	0.0915979	0.0963539	0.0684401	0.0589122	0.055103	0.0469334	0.0959985
</S>	0.196613	0.175461	0.11722	0.103007	0.109752	0.0756969	0.0543665	0.0468544	0.0403649	0.080665
