 	quelles	nasses	tu	viens	de	vérifier	</S>
a66	0.511818	0.264458	0.0996493	0.0507017	0.0322991	0.0259071	0.0151666
a87	0.248833	0.219254	0.198771	0.138176	0.0891921	0.0709281	0.034845
a23	0.496556	0.23275	0.104898	0.0641713	0.0476283	0.0345119	0.0194845
a83	0.625529	0.192124	0.0826319	0.0354107	0.0214179	0.0194379	0.0234485
a90	0.466375	0.156508	0.0869459	0.0735186	0.07097	0.0641926	0.0814896
a25	0.323513	0.193178	0.130513	0.0954747	0.0934427	0.0845298	0.0793482
a92	0.166076	0.136061	0.113892	0.100662	0.16011	0.171684	0.151515
a98	0.137399	0.171527	0.1537	0.132288	0.14183	0.149182	0.114074
a41	0.0664861	0.139374	0.150053	0.13732	0.143667	0.204567	0.158533
a24	0.0554011	0.0705616	0.0813075	0.0861433	0.131879	0.303938	0.27077
a18	0.0271073	0.0211152	0.0190853	0.0262133	0.0645359	0.310828	0.531115
a40	0.00910899	0.00785283	0.00678571	0.0106866	0.0383538	0.233338	0.693874
a90	0.00867084	0.00641823	0.00661087	0.0146349	0.0433557	0.254207	0.666103
a92	0.00413798	0.00376325	0.00361541	0.00879845	0.0320216	0.200484	0.747179
a41	0.00213919	0.00149397	0.00194872	0.00578504	0.0222954	0.1586	0.807737
a61	0.00146051	0.00100936	0.00145694	0.00557269	0.0232531	0.157484	0.809764
a88	0.00186242	0.00133296	0.00172236	0.00555669	0.0236094	0.135952	0.829964
a38	0.00126843	0.00148147	0.00193815	0.00770187	0.0323548	0.176936	0.778319
a9	0.00734195	0.00596697	0.00719599	0.0202545	0.0574631	0.220489	0.681288
a87	0.205382	0.164809	0.104709	0.0921235	0.0757901	0.126777	0.230408
a23	0.311824	0.232223	0.135755	0.0873091	0.0593782	0.0825331	0.0909775
a87	0.136882	0.105239	0.051301	0.0611981	0.080066	0.167365	0.397949
</S>	0.0238717	0.0181187	0.00821404	0.014755	0.0468196	0.217351	0.67087
