 	tout	le	village	fut	avisé	de	mon	arrivée	</S>
a87	0.0850786	0.0731261	0.0449583	0.0367855	0.079133	0.10665	0.165316	0.195193	0.21376
a23	0.173127	0.0746206	0.0639714	0.07076	0.0889242	0.107883	0.127168	0.130387	0.163159
a87	0.147715	0.101992	0.0981413	0.127113	0.0958758	0.0976959	0.107173	0.100277	0.124018
a23	0.146799	0.10073	0.10021	0.136289	0.104925	0.0947443	0.108725	0.0968796	0.110699
a53	0.168054	0.139425	0.118669	0.100336	0.057426	0.0692918	0.100746	0.0981829	0.147869
a90	0.376727	0.301547	0.17337	0.0753471	0.0234617	0.0145382	0.0131084	0.00955483	0.0123459
a56	0.378018	0.264049	0.163627	0.107646	0.0419885	0.0166435	0.012402	0.00792822	0.00769815
a66	0.314902	0.264625	0.181747	0.128197	0.049893	0.0187903	0.0162596	0.0123079	0.0132772
a38	0.203815	0.197419	0.179235	0.163785	0.106281	0.0411833	0.0387772	0.0327128	0.036792
a75	0.177327	0.182203	0.1825	0.169666	0.12359	0.0492631	0.0441808	0.0349625	0.036308
a41	0.18827	0.195568	0.182208	0.182692	0.100032	0.0541703	0.0419661	0.0285542	0.0265382
a35	0.165043	0.178028	0.188246	0.198028	0.115838	0.0590682	0.0449148	0.02748	0.0233543
a38	0.118332	0.129605	0.154493	0.187518	0.147729	0.0931713	0.0763921	0.0495399	0.0432191
a11	0.0992574	0.112636	0.156591	0.193659	0.153549	0.0932942	0.0737221	0.0558272	0.0614638
a26	0.0990651	0.107143	0.14694	0.180747	0.162691	0.0927335	0.072855	0.0603953	0.0774301
a98	0.0612564	0.0705043	0.126287	0.162822	0.170562	0.119284	0.0969466	0.0867153	0.105623
a75	0.0652264	0.0748588	0.120286	0.1307	0.157154	0.137992	0.11365	0.0962302	0.103902
a14	0.0712641	0.0894588	0.126835	0.165338	0.160386	0.127032	0.108469	0.0784965	0.0727201
a44	0.0604327	0.0845609	0.102772	0.117716	0.136556	0.144388	0.129453	0.108476	0.115645
a57	0.0614248	0.0758371	0.0983283	0.10918	0.127275	0.158545	0.136134	0.110066	0.123209
a87	0.0325746	0.0371638	0.0604538	0.0701457	0.172315	0.214144	0.167921	0.123446	0.121835
a40	0.0378902	0.0535908	0.0756771	0.069129	0.101641	0.160991	0.183904	0.161165	0.156013
a30	0.0851767	0.0917839	0.0984449	0.0735624	0.0901154	0.0951053	0.116453	0.138445	0.210913
a41	0.0661355	0.0709107	0.0868751	0.0800136	0.140699	0.12727	0.134675	0.124096	0.169325
a24	0.0428113	0.054153	0.0756529	0.0900363	0.187795	0.148528	0.136318	0.118595	0.146111
a41	0.0228039	0.0256293	0.0312041	0.0486615	0.0695915	0.120686	0.161828	0.196302	0.323295
a76	0.0228862	0.0309217	0.0404409	0.0471175	0.0684713	0.121001	0.159653	0.19671	0.312798
a73	0.0280136	0.0441647	0.0632536	0.0841562	0.119004	0.152924	0.155009	0.15519	0.198285
a76	0.0211618	0.0292904	0.0372636	0.042696	0.0781443	0.135319	0.162291	0.204493	0.289342
a14	0.0453193	0.0596327	0.0776694	0.101169	0.11278	0.107614	0.115263	0.15059	0.229964
a35	0.0218647	0.0327457	0.0443914	0.0583652	0.0986949	0.13716	0.158005	0.180091	0.268683
a21	0.0144686	0.0203327	0.02972	0.0436962	0.0731673	0.109153	0.145909	0.2111	0.352454
a12	0.0151153	0.0169895	0.0195866	0.031306	0.0578098	0.0965362	0.138596	0.216283	0.407777
a98	0.00821339	0.0109597	0.0152959	0.0280948	0.0508122	0.101637	0.146941	0.235085	0.402961
a26	0.00593985	0.00859093	0.0130859	0.0206582	0.0361153	0.0831598	0.133525	0.2393	0.459625
a98	0.00619512	0.00733179	0.00949719	0.0167842	0.0643118	0.137945	0.165481	0.253108	0.339346
a62	0.00780183	0.0103424	0.0153563	0.0220585	0.0375779	0.0722707	0.112888	0.224	0.497704
a21	0.00592527	0.00717574	0.00963775	0.019088	0.0357557	0.0718933	0.111627	0.221214	0.517683
a98	0.0100364	0.0100888	0.0122727	0.017698	0.0275887	0.0553314	0.100608	0.225179	0.541198
a14	0.00568677	0.00666342	0.0074122	0.0124353	0.021432	0.0561708	0.105662	0.238925	0.545613
a73	0.0126615	0.013287	0.0153683	0.0244461	0.0368098	0.0657593	0.108923	0.227998	0.494747
a44	0.00584472	0.00540287	0.00695417	0.0124709	0.0322258	0.0701164	0.11495	0.254896	0.497139
a57	0.00708644	0.00578926	0.00755483	0.0122462	0.0509195	0.108635	0.14884	0.270954	0.387975
a87	0.00660752	0.00453041	0.00394001	0.00575457	0.0291957	0.0832239	0.142645	0.320423	0.40368
</S>	0.00559754	0.00427889	0.00313003	0.00397592	0.018185	0.087206	0.160357	0.304429	0.412841
