 	les	gens	se	sont	rassemblés	autour	du	malade	</S>
a23	0.26889	0.164576	0.133108	0.0967681	0.107902	0.100802	0.0630112	0.0375919	0.0273507
a87	0.317246	0.155683	0.0949707	0.0654332	0.108271	0.1058	0.0636712	0.045674	0.0432516
a99	0.242266	0.161477	0.0986481	0.0616694	0.093654	0.101543	0.0710778	0.0695043	0.100162
a54	0.293112	0.171396	0.0895057	0.0491186	0.0715957	0.0863955	0.0629116	0.0755574	0.100407
a47	0.460842	0.226596	0.121853	0.0579154	0.0555224	0.0329731	0.0159321	0.0133216	0.0150451
a85	0.335166	0.242315	0.156719	0.0642779	0.0639144	0.053939	0.0252186	0.0266014	0.0318493
a37	0.367423	0.253492	0.154333	0.055529	0.0502095	0.0449629	0.024284	0.0239166	0.0258495
a61	0.283359	0.235689	0.175881	0.0859171	0.0726461	0.0678578	0.0279343	0.0239662	0.0267491
a62	0.252105	0.216473	0.184174	0.10695	0.0838815	0.0816614	0.031806	0.0213356	0.0216138
a61	0.154385	0.183659	0.178717	0.141284	0.119632	0.119994	0.0485375	0.0274387	0.0263536
a90	0.143588	0.172866	0.160242	0.14128	0.117297	0.130812	0.0669635	0.0368997	0.0300518
a25	0.141987	0.160787	0.153792	0.146805	0.125157	0.136185	0.0653546	0.0369029	0.0330296
a69	0.074541	0.089867	0.0990025	0.136129	0.137224	0.17085	0.125759	0.0892678	0.0773602
a58	0.020295	0.0205126	0.0208289	0.0432515	0.0719132	0.161839	0.229436	0.230432	0.201492
a75	0.00815718	0.00691706	0.00621163	0.0108457	0.0192587	0.0631475	0.162369	0.303549	0.419545
a96	0.0135932	0.0117784	0.0110079	0.0199688	0.02902	0.065829	0.16523	0.31903	0.364543
a62	0.0079554	0.0073095	0.00826459	0.0164297	0.0223914	0.0481134	0.133642	0.299568	0.456326
a83	0.00475771	0.00455258	0.00610842	0.013976	0.0175702	0.0361789	0.123914	0.305889	0.487053
a9	0.0018676	0.00169642	0.00209329	0.00505052	0.00794548	0.0208265	0.0884902	0.281949	0.590081
a87	0.0034036	0.00270802	0.00249109	0.00469093	0.00958409	0.0278046	0.138239	0.329024	0.482054
a23	0.0667349	0.0511109	0.0435276	0.0517559	0.0804187	0.097965	0.187422	0.217064	0.204001
a87	0.0346574	0.0218946	0.0187046	0.0255815	0.0330403	0.0386878	0.121725	0.305547	0.400161
</S>	0.0110176	0.0111764	0.0145254	0.0302871	0.0377346	0.0398811	0.110781	0.291756	0.452841
