 	on	piège	la	pintade	avec	la	fibre	de	palmier	</S>
a66	0.207979	0.165749	0.152738	0.157551	0.110463	0.0940212	0.0581066	0.0234059	0.0168196	0.0131672
a87	0.166041	0.124657	0.120077	0.135066	0.124722	0.106729	0.090799	0.0513326	0.0437985	0.0367793
a97	0.260128	0.171354	0.118426	0.0528884	0.0330754	0.0371082	0.0523716	0.0725686	0.103097	0.0989835
a3	0.270249	0.220609	0.160645	0.0614529	0.0329653	0.0311145	0.0360928	0.0531271	0.0656491	0.0680957
a99	0.265868	0.201904	0.148537	0.0672748	0.0390434	0.0381236	0.0426004	0.0606151	0.0678561	0.0681784
a3	0.262365	0.203629	0.13977	0.063519	0.0369365	0.0433494	0.0504069	0.0709618	0.0641314	0.0649303
a97	0.245899	0.191402	0.137857	0.0648086	0.0376308	0.0435215	0.0505617	0.0783902	0.0727538	0.0771754
a38	0.261696	0.184166	0.114151	0.0644644	0.0357078	0.0448883	0.0548134	0.0890885	0.0746019	0.0764225
a47	0.234091	0.167473	0.104218	0.0530864	0.0306162	0.0385434	0.0526825	0.0893079	0.118886	0.111096
a92	0.227377	0.192593	0.13853	0.0725892	0.0339759	0.0294803	0.0306705	0.0500135	0.099982	0.124789
a79	0.225625	0.250955	0.199185	0.0913012	0.0329326	0.0268965	0.0269135	0.0332019	0.0526626	0.0603271
a47	0.20441	0.231072	0.213869	0.101779	0.0468194	0.0357623	0.0302339	0.0314092	0.0474292	0.0572162
a6	0.118284	0.156759	0.191548	0.160469	0.119604	0.0818529	0.048474	0.0335035	0.0411007	0.048404
a36	0.143763	0.172765	0.208616	0.174423	0.105825	0.0646136	0.037128	0.0250183	0.0319825	0.0358651
a37	0.121297	0.137511	0.165764	0.148454	0.116275	0.0810855	0.0540812	0.0438134	0.0558422	0.0758758
a61	0.0947688	0.105749	0.142844	0.149005	0.134994	0.0882824	0.0597148	0.0520101	0.0685103	0.104122
a21	0.0809545	0.0886976	0.124973	0.194978	0.160095	0.116948	0.0784763	0.0455568	0.0470452	0.062276
a85	0.061331	0.0609164	0.0882479	0.167448	0.168062	0.153868	0.123571	0.059707	0.0547511	0.0620985
a6	0.0169626	0.0161826	0.0279284	0.073934	0.164171	0.198762	0.172561	0.0975518	0.105566	0.126382
a36	0.0142997	0.0134664	0.0218686	0.0451852	0.1046	0.179202	0.194814	0.128481	0.128713	0.16937
a85	0.0169868	0.0141459	0.0175277	0.0258617	0.062961	0.118258	0.14799	0.147182	0.170343	0.278744
a75	0.00518455	0.00424199	0.00649252	0.0157638	0.0465455	0.0990237	0.161774	0.181883	0.196694	0.282398
a61	0.00425021	0.00388043	0.00630788	0.0139677	0.0364172	0.0931047	0.166385	0.208989	0.205152	0.261547
a96	0.00650484	0.00531396	0.00765546	0.0128711	0.0319213	0.0754376	0.137619	0.190239	0.219223	0.313215
a70	0.00305421	0.00270125	0.00386339	0.00745272	0.0195477	0.0459616	0.106896	0.172025	0.248288	0.39021
a66	0.00182312	0.00155105	0.0021591	0.0038689	0.0113762	0.0287087	0.0792541	0.171527	0.256783	0.44295
a9	0.00575483	0.00372783	0.00301439	0.00410326	0.0105708	0.0333714	0.107839	0.212353	0.245989	0.373276
a26	0.0378982	0.02109	0.0138617	0.0211901	0.0354682	0.0570459	0.0883022	0.167672	0.186026	0.371446
a3	0.0921052	0.0492834	0.0306737	0.0393743	0.0477836	0.0646765	0.0865457	0.158679	0.158407	0.272471
a82	0.0959951	0.05761	0.0394611	0.0389925	0.0427437	0.064904	0.0951399	0.160384	0.174799	0.229971
a40	0.0852575	0.0526527	0.0407813	0.0432177	0.0555297	0.0901006	0.111896	0.156501	0.172171	0.191893
a26	0.0245259	0.0156561	0.0153099	0.0210738	0.0238925	0.03868	0.0581049	0.148055	0.249321	0.405381
a57	0.000943729	0.000704854	0.000870253	0.00186661	0.00339224	0.00897553	0.0256076	0.112864	0.250647	0.594129
</S>	0.00282543	0.00176326	0.00165671	0.00301633	0.00661589	0.0177266	0.0472857	0.138045	0.270709	0.510357
