 	je	viens	d'	abattre	un	arbre	dans	mon	champ	</S>
a87	0.228055	0.166838	0.140063	0.135969	0.125014	0.105708	0.0579404	0.0212578	0.0104599	0.00869414
a23	0.342437	0.213841	0.0992529	0.0783403	0.0663591	0.0657131	0.0531097	0.0333823	0.0240562	0.0235083
a83	0.157736	0.155695	0.133593	0.138062	0.115858	0.0866571	0.0505129	0.0391114	0.0510086	0.0717651
a62	0.326318	0.265122	0.146486	0.0972366	0.0520632	0.0305622	0.0197543	0.0176429	0.019274	0.0255412
a70	0.301103	0.261093	0.188235	0.132564	0.0578471	0.0264012	0.0125477	0.00769437	0.00651608	0.00599875
a4	0.245152	0.237236	0.195037	0.161243	0.0723006	0.0359727	0.019639	0.0131727	0.0106757	0.00957249
a93	0.169273	0.187258	0.185926	0.191977	0.102203	0.05622	0.032531	0.0250754	0.0236328	0.0259027
a56	0.117457	0.148054	0.174278	0.19096	0.110161	0.0668895	0.0417574	0.0400964	0.0479003	0.0624471
a70	0.113985	0.137009	0.182727	0.223315	0.142606	0.0778768	0.0357043	0.0257213	0.0256837	0.035372
a11	0.0872151	0.116969	0.176732	0.233882	0.156502	0.0873164	0.0368228	0.0288757	0.0322362	0.0434491
a34	0.0860462	0.119734	0.167311	0.208135	0.123602	0.0748188	0.0361739	0.0356974	0.056001	0.0924813
a21	0.0925756	0.111305	0.159696	0.200087	0.15835	0.113046	0.0498619	0.0331707	0.0343424	0.0475654
a47	0.0951607	0.110326	0.159263	0.199206	0.157266	0.107152	0.0514284	0.0362422	0.036069	0.0478856
a0	0.0678437	0.0834415	0.123495	0.176687	0.152396	0.129798	0.0691956	0.0507395	0.0591714	0.0872327
a62	0.0353526	0.0443739	0.068793	0.116918	0.130325	0.14083	0.101483	0.092346	0.107754	0.161824
a88	0.03161	0.0315662	0.0433006	0.0717727	0.0955791	0.13503	0.130945	0.133559	0.135623	0.191014
a11	0.0162151	0.0159804	0.0219265	0.0363467	0.0539199	0.0879217	0.10323	0.154423	0.215067	0.294969
a90	0.0112268	0.0113134	0.0152558	0.0230966	0.0355412	0.0630606	0.0825798	0.150376	0.249878	0.357672
a98	0.00876162	0.00701409	0.00904929	0.0124458	0.0163477	0.0343488	0.0676926	0.145516	0.260853	0.437971
a92	0.00657795	0.0057689	0.00790319	0.0101718	0.0127223	0.023539	0.0515668	0.127735	0.290821	0.463194
a11	0.00449872	0.00392951	0.00573634	0.00743175	0.00990031	0.0195409	0.0439982	0.116879	0.285062	0.503023
a75	0.000749967	0.000664005	0.000891486	0.00132308	0.00220388	0.00546109	0.0153698	0.0651298	0.270096	0.638111
a79	0.00312742	0.00256497	0.00340817	0.0041976	0.00584681	0.0120391	0.0338433	0.115493	0.295738	0.523742
a96	0.00202869	0.00179058	0.00238757	0.00291461	0.0043766	0.00937013	0.0248291	0.0841363	0.285463	0.582704
a83	0.000369967	0.000318704	0.000404943	0.000575932	0.000996424	0.0028224	0.009845	0.0525899	0.262027	0.670049
a93	0.000467494	0.000493904	0.000592988	0.00074141	0.00121042	0.00271363	0.00807381	0.0470691	0.249649	0.688988
a83	0.000503183	0.000444796	0.000551432	0.000765754	0.00129412	0.00323199	0.00960836	0.0467868	0.246014	0.690799
a18	0.00054209	0.000519536	0.000538262	0.000618074	0.00100257	0.00222787	0.00682095	0.0377658	0.23011	0.719855
a27	0.008328	0.00524174	0.00438975	0.00383369	0.00398788	0.00593937	0.0159188	0.0706246	0.255613	0.626123
a57	0.0208602	0.00959859	0.00560562	0.00424601	0.0043313	0.0063474	0.0157468	0.0596214	0.208749	0.664894
a87	0.0633892	0.0391242	0.0264672	0.0224161	0.0254434	0.033603	0.0574641	0.112908	0.219356	0.399829
a23	0.149284	0.118081	0.0834382	0.075089	0.0699337	0.0734621	0.082751	0.0901484	0.116243	0.14157
a87	0.0574481	0.040561	0.0280963	0.0296385	0.0446205	0.0722883	0.127263	0.175097	0.206405	0.218582
</S>	0.0283827	0.0322018	0.0290797	0.0371252	0.0509331	0.0624125	0.0865623	0.133294	0.230358	0.30965
