 	ils	se	sont	anuités	dans	la	forêt	ils	n'	ont	pas	pu	rentrer	</S>
a87	0.177671	0.217906	0.107939	0.181056	0.0784009	0.0495209	0.040436	0.0216184	0.0174111	0.0169671	0.0198891	0.0213646	0.0226892	0.0271298
a23	0.167351	0.125674	0.0728416	0.105173	0.0713584	0.062451	0.0570078	0.0399878	0.0302183	0.0294106	0.0357969	0.0405877	0.057834	0.104308
a38	0.0700156	0.0812525	0.0767061	0.158675	0.0994513	0.0819212	0.0658445	0.0327585	0.0273381	0.0306118	0.0404873	0.0516483	0.0751658	0.108125
a30	0.147469	0.21906	0.167708	0.269594	0.0845044	0.0372353	0.0205605	0.0103052	0.00850962	0.00694207	0.00594244	0.00601995	0.00753718	0.00861218
a14	0.216377	0.212876	0.145182	0.24708	0.0881278	0.0427773	0.0173216	0.00563987	0.00437289	0.00378676	0.00339214	0.00354942	0.00475437	0.00476286
a44	0.17844	0.141346	0.115423	0.273979	0.107251	0.0710171	0.0388462	0.0186467	0.0141449	0.0113032	0.00909117	0.0074193	0.00674282	0.00634959
a38	0.152653	0.133056	0.141682	0.245494	0.10443	0.0782238	0.0482513	0.0248053	0.0184893	0.0150147	0.0118859	0.00925062	0.00843232	0.00833154
a75	0.131987	0.111723	0.13173	0.208888	0.125789	0.100404	0.0633516	0.03455	0.0258847	0.0203005	0.0155612	0.0111018	0.00957668	0.00915193
a70	0.108215	0.105394	0.1342	0.198568	0.121535	0.104337	0.074565	0.0466996	0.0356489	0.0254673	0.0163775	0.0104394	0.00927615	0.0092767
a11	0.0822938	0.0806894	0.128074	0.176481	0.139249	0.127191	0.0908769	0.054006	0.0377718	0.0265161	0.0179667	0.0130357	0.0126088	0.0132396
a38	0.050081	0.0516547	0.106087	0.177894	0.160579	0.154771	0.107875	0.058011	0.038566	0.0271616	0.0189908	0.0149914	0.0161604	0.0171768
a35	0.0413329	0.0463795	0.0989497	0.156026	0.13647	0.138066	0.106772	0.0779143	0.0574308	0.042423	0.0292022	0.021778	0.0230232	0.0242324
a32	0.0371384	0.0389316	0.080586	0.129711	0.136049	0.1463	0.119486	0.0878967	0.0668581	0.0522393	0.0343313	0.0229317	0.0230553	0.0244859
