 	ce	jeune	garçon-ci	est	fumeur	</S>
a66	0.364507	0.327576	0.19331	0.064072	0.0397864	0.0107493
a87	0.549741	0.274427	0.0975475	0.033666	0.0310162	0.0136027
a23	0.57068	0.27123	0.0982308	0.0320062	0.0165851	0.0112677
a87	0.524512	0.192321	0.101103	0.0578998	0.0570458	0.0671197
a83	0.530813	0.234163	0.111875	0.0507073	0.0400181	0.0324243
a98	0.433673	0.245105	0.150803	0.0573653	0.0573374	0.0557161
a6	0.394999	0.267502	0.21906	0.0655441	0.0359691	0.016926
a92	0.222563	0.227338	0.230759	0.175238	0.113612	0.0304903
a75	0.200859	0.190469	0.21467	0.194319	0.151218	0.048464
a37	0.195361	0.198122	0.230742	0.188466	0.130056	0.0572525
a98	0.182202	0.162966	0.187297	0.209488	0.171374	0.0866735
a15	0.0720618	0.121071	0.268774	0.256427	0.178392	0.103274
a98	0.0570357	0.0866508	0.184433	0.232057	0.261298	0.178526
a47	0.0396169	0.0805913	0.208288	0.235251	0.253046	0.183207
a37	0.0253589	0.0534912	0.167462	0.181484	0.323232	0.248973
a92	0.0225273	0.0361691	0.104303	0.159137	0.311793	0.36607
a47	0.0184399	0.0280012	0.0724652	0.106586	0.284575	0.489932
a36	0.0062417	0.00815175	0.0250562	0.0566531	0.263641	0.640256
a21	0.00335073	0.00259532	0.00463659	0.0127403	0.135467	0.84121
a12	0.00256226	0.00227974	0.00447772	0.0136008	0.119659	0.857421
a18	0.000883924	0.000753458	0.00162484	0.00668598	0.0726544	0.917397
a25	0.00452872	0.00325574	0.00491108	0.0202774	0.118453	0.848574
a82	0.0373472	0.0294955	0.0358857	0.0647001	0.220675	0.611896
a87	0.294828	0.172038	0.104402	0.0748649	0.116776	0.237092
a23	0.303365	0.18043	0.078407	0.0504105	0.108401	0.278986
a87	0.0476603	0.0219853	0.00976159	0.00777707	0.0607025	0.852113
</S>	0.0090813	0.00359663	0.00194881	0.00350803	0.058467	0.923398
