 	j'	irai	chez	lui	l'	an	prochain	</S>
a87	0.460016	0.154231	0.062241	0.0718606	0.0922798	0.0822996	0.0471937	0.0298776
a10	0.539398	0.105313	0.0759153	0.0798144	0.0765901	0.0572531	0.0381335	0.0275828
a30	0.301498	0.11909	0.158556	0.0996869	0.0744132	0.0821695	0.0866594	0.0779278
a87	0.465146	0.167374	0.115744	0.0598518	0.0477346	0.0541454	0.0482193	0.0417851
a23	0.361383	0.177045	0.13149	0.0799432	0.0690728	0.0703071	0.058934	0.0518241
a10	0.222803	0.136639	0.122034	0.101203	0.109028	0.118784	0.0963428	0.0931665
a38	0.148354	0.16054	0.126402	0.0904976	0.106258	0.122988	0.121351	0.123609
a94	0.200622	0.337304	0.205918	0.0770419	0.0527354	0.0431538	0.0459436	0.0372807
a75	0.201628	0.399466	0.220485	0.0719364	0.0368462	0.025396	0.023893	0.0203495
a14	0.154647	0.274509	0.228673	0.135401	0.0795508	0.046622	0.0402427	0.0403554
a35	0.150134	0.228444	0.240807	0.168852	0.0950131	0.0487987	0.0357224	0.0322292
a24	0.14849	0.200799	0.257068	0.177338	0.0997783	0.0527487	0.0344479	0.0293302
a71	0.107917	0.127258	0.270414	0.236018	0.126447	0.0626405	0.0382296	0.0310772
a38	0.0567752	0.0793604	0.216261	0.221278	0.171009	0.103218	0.08061	0.071488
a98	0.0426287	0.0509678	0.176494	0.23589	0.213975	0.118958	0.0847038	0.0763828
a73	0.0668873	0.0708611	0.162799	0.218304	0.189314	0.126117	0.0839834	0.081734
a35	0.0614973	0.0563142	0.117494	0.204676	0.21438	0.153131	0.0977828	0.0947257
a38	0.0456765	0.0442115	0.0792111	0.135145	0.183677	0.192203	0.153278	0.166599
a14	0.0376568	0.0362574	0.0674706	0.131549	0.20325	0.212634	0.152809	0.158374
a73	0.0346478	0.0380675	0.0585304	0.108508	0.15481	0.187329	0.180718	0.237389
a76	0.0234224	0.0195346	0.0408848	0.089877	0.167492	0.231416	0.195173	0.232199
a30	0.0276336	0.0217851	0.0386536	0.070111	0.105025	0.186346	0.225152	0.325294
a57	0.0170278	0.0134142	0.0295817	0.0693983	0.130443	0.240234	0.234238	0.265664
a87	0.0124695	0.00881279	0.0177465	0.0392555	0.0758271	0.172524	0.283179	0.390185
a79	0.00711875	0.00476641	0.00787123	0.0194955	0.0560555	0.187852	0.364999	0.351841
a41	0.00818613	0.00409182	0.00831867	0.0185301	0.0504937	0.16183	0.334173	0.414376
a92	0.00553114	0.0041895	0.00815602	0.0198645	0.0570575	0.155513	0.32373	0.425958
a44	0.0109014	0.00860661	0.0175208	0.0344611	0.0706467	0.160002	0.282734	0.415128
a98	0.00343899	0.00230812	0.00571236	0.0138751	0.0329602	0.110877	0.291036	0.539792
a14	0.00501784	0.00309014	0.00756023	0.0184626	0.0403435	0.1254	0.300473	0.499653
a35	0.00546384	0.00397191	0.0106681	0.0279983	0.059558	0.164066	0.322468	0.405806
a14	0.00202828	0.00120146	0.00404932	0.013993	0.0352105	0.117421	0.307006	0.51909
a41	0.0037775	0.00266322	0.00542648	0.013935	0.0326352	0.113352	0.322325	0.505885
a24	0.00162401	0.000996232	0.00236231	0.00745864	0.0226501	0.0982997	0.302865	0.563744
a41	0.00168944	0.000988047	0.00216924	0.00611033	0.0180582	0.0785704	0.257043	0.635371
a24	0.00148425	0.000772939	0.00180852	0.00642178	0.022398	0.0970606	0.277587	0.592467
a41	0.00247982	0.00107271	0.00197176	0.00527843	0.0150709	0.0676012	0.213372	0.693153
a14	0.00217656	0.000992029	0.00236087	0.00875941	0.030699	0.107403	0.245012	0.602597
a73	0.00356532	0.00150139	0.00323541	0.0120901	0.040564	0.124694	0.242276	0.572074
a57	0.00402125	0.00158713	0.00304852	0.0109365	0.0361663	0.144383	0.243081	0.556776
a87	0.023269	0.00954694	0.0123327	0.0334997	0.0680383	0.179472	0.226305	0.447536
a23	0.0178609	0.0118844	0.0152879	0.0340593	0.0568786	0.177458	0.269616	0.416955
a87	0.0441397	0.0388317	0.0485047	0.0616263	0.0840642	0.17283	0.256665	0.293339
</S>	0.0185963	0.00943067	0.0136621	0.0361682	0.0857236	0.206636	0.279889	0.349894
