 	cette	femme	a	caché	sa	hotte	dans	les	herbes	</S>
a66	0.236358	0.161257	0.11918	0.106608	0.102505	0.107823	0.0710798	0.0401837	0.028694	0.0263113
a10	0.149728	0.117178	0.125022	0.201362	0.159068	0.0799454	0.0445812	0.0334847	0.0419909	0.0476396
a97	0.355311	0.201968	0.124329	0.122839	0.0777287	0.0325986	0.0190597	0.0154069	0.0223804	0.0283788
a3	0.322804	0.18076	0.12173	0.136808	0.0882057	0.0365623	0.021672	0.0205648	0.030654	0.0402384
a30	0.332693	0.170465	0.115481	0.134554	0.0893028	0.0387194	0.0238593	0.023281	0.0315306	0.0401129
a93	0.36638	0.187914	0.121096	0.113764	0.073118	0.0315163	0.0201475	0.0200354	0.0283098	0.0377189
a62	0.394969	0.269163	0.140446	0.0513504	0.0303791	0.0222753	0.0221554	0.0240105	0.0231098	0.0221412
a93	0.274049	0.24775	0.190077	0.118151	0.0667112	0.0337324	0.0224685	0.0170427	0.0150614	0.0149572
a90	0.191691	0.213621	0.204332	0.151651	0.0905206	0.0454274	0.0305293	0.0232167	0.0232123	0.025799
a98	0.131998	0.164266	0.184456	0.167228	0.121966	0.0702911	0.0491218	0.0382407	0.0364214	0.0360116
a79	0.144431	0.163226	0.186736	0.136413	0.122769	0.0857435	0.0580478	0.0411537	0.0327872	0.028694
a92	0.108106	0.125325	0.162636	0.136875	0.143549	0.11381	0.0741623	0.0519494	0.0435799	0.0400075
a12	0.0695177	0.0762645	0.114442	0.139613	0.17708	0.155632	0.101848	0.0660858	0.0515537	0.047964
a43	0.0550066	0.0602522	0.085907	0.133838	0.16157	0.142832	0.0984054	0.0800182	0.0814652	0.100706
a62	0.0485336	0.0555129	0.0739655	0.107016	0.128086	0.146602	0.118571	0.0973858	0.0996776	0.12465
a34	0.0407767	0.046472	0.058912	0.0901181	0.112322	0.144309	0.139812	0.119276	0.113214	0.134787
a56	0.0268787	0.0299417	0.036166	0.0558211	0.0650534	0.100023	0.114694	0.145307	0.197839	0.228277
a25	0.0172101	0.0199722	0.0252659	0.0388451	0.0569317	0.105422	0.140161	0.180624	0.20339	0.212178
a92	0.00715343	0.00899673	0.0100991	0.0138595	0.0215819	0.0547955	0.0994935	0.178001	0.265158	0.340862
a0	0.00372717	0.00425752	0.0050624	0.00715804	0.0121456	0.0333901	0.0750943	0.170515	0.280797	0.407853
a75	0.00593694	0.00708153	0.00676456	0.00693798	0.0081906	0.0217896	0.0538994	0.137916	0.277422	0.474062
a92	0.00241472	0.00257629	0.00274924	0.00330824	0.00428957	0.010632	0.0303919	0.107006	0.26859	0.568042
a56	0.0019648	0.00194618	0.00210393	0.00237612	0.00394923	0.0110766	0.0307018	0.104558	0.250779	0.590545
a70	0.00315367	0.00303603	0.00326469	0.00357618	0.00578323	0.0168835	0.0443426	0.131122	0.265362	0.523476
a13	0.0028895	0.00267996	0.00304365	0.00397559	0.00621452	0.0165563	0.0443798	0.127803	0.255727	0.53673
a3	0.0103266	0.00993641	0.00984537	0.0079703	0.00982023	0.0258119	0.0655301	0.143064	0.249194	0.468501
a97	0.0678503	0.0510724	0.0463826	0.0367963	0.0410463	0.055699	0.0815576	0.118652	0.178251	0.322692
a9	0.129718	0.0743336	0.06902	0.0629745	0.0686838	0.0663857	0.0792834	0.103294	0.134252	0.212054
a97	0.145967	0.0809087	0.0726309	0.0691912	0.0762064	0.0671751	0.0783768	0.105713	0.132935	0.170896
a3	0.14396	0.0816586	0.0706709	0.0652911	0.0791781	0.0771375	0.0899568	0.109455	0.131648	0.151044
a87	0.172925	0.106143	0.0861655	0.0806431	0.086104	0.0666559	0.0684455	0.0816733	0.110814	0.140431
</S>	0.164774	0.101287	0.0850475	0.0773059	0.0865809	0.0696595	0.0750728	0.0891172	0.114971	0.136184
