 	c'	est	ma	soeur	aînée	</S>
a23	0.425538	0.223117	0.136468	0.0931212	0.0735378	0.0482187
a41	0.170129	0.0982153	0.0755406	0.0770214	0.221487	0.357606
a32	0.464137	0.262272	0.121889	0.0466541	0.0687535	0.0362955
a71	0.468545	0.268864	0.118123	0.0448147	0.0664263	0.0332275
a38	0.368249	0.260302	0.140261	0.0713603	0.0931631	0.0666644
a14	0.29269	0.239013	0.165622	0.110935	0.111087	0.0806529
a35	0.309919	0.25148	0.180916	0.112835	0.0929079	0.0519424
a24	0.271742	0.233506	0.179717	0.12451	0.117325	0.0731993
a41	0.259702	0.232458	0.174907	0.123174	0.12587	0.0838898
a14	0.139383	0.156595	0.164649	0.156334	0.200105	0.182934
a30	0.0831748	0.102967	0.135702	0.174442	0.247714	0.256
a35	0.0249051	0.0311484	0.0446204	0.113492	0.302674	0.48316
a14	0.0186975	0.0246352	0.0414409	0.105898	0.314755	0.494574
a41	0.0355076	0.0533915	0.0811876	0.15241	0.288094	0.38941
a14	0.0151612	0.0220603	0.033127	0.0886138	0.25877	0.582267
a44	0.0415942	0.0595884	0.076941	0.127576	0.260869	0.433432
a38	0.0105709	0.0160885	0.0245217	0.0595842	0.213954	0.675281
a90	0.00819775	0.0133112	0.0207673	0.0531585	0.197235	0.707331
a32	0.0256509	0.0366811	0.0448774	0.0733854	0.219064	0.600342
a11	0.0212635	0.03595	0.0463658	0.0751973	0.217111	0.604113
a90	0.0127485	0.0224723	0.0301569	0.0561391	0.195479	0.683004
a9	0.0171258	0.0293307	0.0371704	0.0663759	0.202304	0.647693
a87	0.0219899	0.0367232	0.0478607	0.0799707	0.177638	0.635817
</S>	0.0524225	0.066997	0.0790347	0.119098	0.204848	0.4776
