 	il	taille	une	canne	de	bambou	</S>
a10	0.343569	0.188148	0.109685	0.127138	0.101306	0.0722532	0.0579003
a87	0.323722	0.220565	0.130958	0.123223	0.0799309	0.0613659	0.0602342
a79	0.282779	0.198219	0.103322	0.089345	0.073246	0.10074	0.15235
a20	0.372915	0.237222	0.119764	0.0882032	0.0565186	0.0557313	0.069646
a73	0.482319	0.244823	0.105975	0.0571193	0.0456181	0.0324879	0.0316572
a54	0.410102	0.3234	0.155955	0.06342	0.0248075	0.0118329	0.0104826
a73	0.292509	0.265689	0.18466	0.123849	0.0670741	0.0346895	0.0315296
a84	0.252179	0.243718	0.20817	0.138663	0.0730564	0.0428602	0.0413542
a20	0.131202	0.12533	0.120275	0.160992	0.140432	0.133619	0.18815
a73	0.207581	0.180499	0.160993	0.169223	0.120438	0.0813028	0.0799641
a90	0.201743	0.179811	0.168355	0.171667	0.12148	0.0828606	0.0740848
a57	0.187827	0.180566	0.185437	0.196724	0.118201	0.067907	0.0633388
a38	0.102655	0.0952162	0.104973	0.201067	0.210897	0.147982	0.13721
a94	0.0830229	0.0831179	0.109157	0.212017	0.223818	0.159038	0.129829
a76	0.0656258	0.0712993	0.103786	0.193513	0.234165	0.190497	0.141113
a90	0.054026	0.0587305	0.0804963	0.155089	0.217063	0.220004	0.214592
a13	0.0614459	0.0604473	0.0711723	0.142472	0.21201	0.243145	0.209308
a90	0.0267585	0.0274603	0.0343086	0.0841836	0.170211	0.311344	0.345734
a76	0.0234969	0.0208868	0.0246954	0.0558297	0.139773	0.323483	0.411836
a94	0.0279143	0.025665	0.0311209	0.0653085	0.149496	0.320217	0.380278
a98	0.0114648	0.0122928	0.0150787	0.0374101	0.0999108	0.309438	0.514405
a4	0.0179176	0.0156857	0.0168344	0.0407046	0.112527	0.325542	0.470788
a13	0.00688454	0.00634661	0.00669607	0.0181074	0.0649904	0.290819	0.606156
a57	0.0111527	0.00843535	0.00736096	0.0184463	0.0620612	0.279417	0.613126
a9	0.0151992	0.00976519	0.00776097	0.0204546	0.0615125	0.27215	0.613157
a99	0.0125815	0.00834741	0.00668166	0.0164434	0.0582097	0.285203	0.612533
a87	0.0213832	0.0163068	0.0162094	0.0332168	0.0923864	0.301129	0.519368
a23	0.0358896	0.0257715	0.0228822	0.0450035	0.116297	0.298851	0.455305
a87	0.0626432	0.0515499	0.0486807	0.071956	0.149877	0.277077	0.338216
a23	0.023761	0.0193899	0.0225177	0.0547958	0.13398	0.296798	0.448757
a87	0.0404638	0.0301846	0.026443	0.0481165	0.137114	0.317439	0.40024
</S>	0.0319834	0.0269065	0.0292994	0.0591269	0.13885	0.292295	0.421539
