 	qui	est	ce	qui	vérifie	mes	nasses	</S>
a15	0.299954	0.200381	0.141593	0.105905	0.0922782	0.0775371	0.0464332	0.0359178
a66	0.459107	0.239596	0.126514	0.0653471	0.0407244	0.0305578	0.0197561	0.0183975
a87	0.480728	0.28524	0.13634	0.0448226	0.015623	0.0130775	0.0108763	0.0132926
a23	0.411135	0.298148	0.179492	0.069212	0.0190695	0.0100105	0.0060739	0.00685983
a79	0.465805	0.251337	0.125517	0.0579246	0.0288208	0.0212975	0.0195886	0.0297095
a90	0.428467	0.219033	0.124758	0.0714344	0.0480897	0.0400314	0.0312494	0.0369372
a92	0.293614	0.242574	0.188509	0.121835	0.0753653	0.0362536	0.0220223	0.0198262
a98	0.13455	0.164419	0.16468	0.159587	0.16822	0.114136	0.0541226	0.0402866
a25	0.111344	0.149581	0.164361	0.180711	0.189588	0.117719	0.0534024	0.033294
a79	0.0588082	0.0905767	0.118882	0.149911	0.186263	0.192653	0.120183	0.0827239
a75	0.0622003	0.0761769	0.0960598	0.118227	0.153909	0.203511	0.16208	0.127837
a47	0.0420631	0.050459	0.0775238	0.137969	0.183978	0.218397	0.166136	0.123474
a96	0.0238832	0.0245273	0.0395914	0.0924695	0.160222	0.227306	0.220823	0.211178
a56	0.0116467	0.00892435	0.0100797	0.0295811	0.111939	0.218089	0.305289	0.304452
a25	0.00573135	0.00465259	0.0056938	0.0171423	0.0765907	0.197696	0.334202	0.358292
a92	0.00268627	0.00238137	0.00334167	0.0119253	0.0654291	0.167328	0.328462	0.418446
a85	0.00253729	0.00199225	0.00253179	0.00811114	0.0470376	0.134334	0.323556	0.4799
a37	0.00159127	0.00114037	0.00144588	0.00526909	0.035909	0.114832	0.307768	0.532045
a36	0.0175595	0.0130629	0.0131712	0.022349	0.0545614	0.0981962	0.286485	0.494614
a27	0.0313638	0.0274756	0.0302531	0.0423081	0.0758569	0.109159	0.238494	0.44509
a57	0.0453485	0.0343603	0.0315914	0.0381441	0.0685701	0.11205	0.240352	0.429583
a87	0.244992	0.127795	0.0764433	0.0537289	0.0669522	0.0903256	0.144811	0.194952
a23	0.347513	0.244186	0.153207	0.0884044	0.0597246	0.0425807	0.0356195	0.0287652
a87	0.28301	0.183315	0.122038	0.0880867	0.0739932	0.0703295	0.0839426	0.0952857
a23	0.0690707	0.0473917	0.0371479	0.0494794	0.0908305	0.143697	0.234425	0.327958
a87	0.0933069	0.0710578	0.0575512	0.0675393	0.103506	0.131505	0.207217	0.268317
a23	0.038933	0.0306538	0.0258681	0.0426881	0.103471	0.165881	0.255783	0.336721
</S>	0.0836334	0.0668602	0.0551433	0.0791697	0.131305	0.141289	0.195256	0.247343
