 	papa	tisse	les	nasses	dans	le	lieu	qu'	il	a	aménagé	derrière	la	maison	</S>
a66	0.137935	0.146942	0.153538	0.140664	0.111538	0.0890811	0.0667273	0.0501816	0.041957	0.0322705	0.0178542	0.00500251	0.00259031	0.00195906	0.00175967
a87	0.28954	0.178944	0.115952	0.113562	0.123084	0.0766739	0.0384428	0.015657	0.00953635	0.0107191	0.00865437	0.00527136	0.00434943	0.00481564	0.0047977
a23	0.138532	0.139678	0.118445	0.108791	0.122693	0.10199	0.0810309	0.0532304	0.0345801	0.0304089	0.0234938	0.0117163	0.0108707	0.0112359	0.0133045
a54	0.0934707	0.0994094	0.0874412	0.0837192	0.0987	0.099651	0.103292	0.0733744	0.042742	0.0436759	0.0388855	0.0305952	0.0296303	0.0346027	0.0408103
a6	0.174122	0.14684	0.096348	0.0853253	0.0924208	0.0830849	0.0892414	0.0573553	0.0483124	0.0407385	0.0266476	0.0204505	0.0145677	0.0121754	0.0123702
a85	0.143758	0.13124	0.10419	0.100421	0.129599	0.102992	0.0898751	0.0513241	0.0296555	0.0286409	0.0250593	0.0188856	0.0149494	0.0153122	0.0140983
a6	0.114671	0.139012	0.0914555	0.0846256	0.117451	0.105444	0.090115	0.058798	0.0439496	0.0438947	0.0330558	0.0267516	0.0183475	0.0174424	0.0149872
a36	0.10202	0.115057	0.0799489	0.0764113	0.107028	0.121845	0.116403	0.063904	0.0417046	0.0406562	0.0312349	0.0276546	0.0227439	0.0271445	0.0262446
a79	0.0753681	0.0705226	0.0683018	0.0689205	0.0846327	0.110468	0.124101	0.100424	0.0669887	0.0558955	0.0423982	0.0348046	0.0315991	0.0328256	0.0327497
a44	0.0570669	0.0779275	0.0682482	0.0710179	0.09217	0.121696	0.124091	0.0886865	0.068585	0.0634945	0.0464001	0.0332224	0.0277492	0.0293372	0.0303072
a94	0.0473678	0.0537076	0.0706445	0.074156	0.0844103	0.111544	0.122842	0.11192	0.0896459	0.0745915	0.0521128	0.0315888	0.0254228	0.0243615	0.0256839
a12	0.0184377	0.0241794	0.044614	0.046271	0.0560043	0.088945	0.115311	0.129396	0.110457	0.0945312	0.0733848	0.0491683	0.0467154	0.047743	0.0548415
a62	0.011701	0.0158417	0.0309749	0.0320899	0.0410068	0.0702612	0.101512	0.116702	0.103884	0.103891	0.0935994	0.0713171	0.0662361	0.0652667	0.075716
a88	0.00850221	0.0107356	0.0193617	0.0196082	0.0247319	0.0464164	0.0869882	0.145508	0.137032	0.131065	0.116177	0.0773922	0.0610828	0.055381	0.0600177
a53	0.00865493	0.0134059	0.0213756	0.0251953	0.0306069	0.047834	0.0818551	0.131564	0.120134	0.113815	0.102971	0.0799185	0.0722677	0.0690951	0.081307
a90	0.00919435	0.0108803	0.0163267	0.0174304	0.0235767	0.0384325	0.065504	0.101816	0.110685	0.116351	0.116554	0.111845	0.0999415	0.078776	0.0826867
a56	0.0048451	0.00652075	0.0100938	0.0111416	0.0142937	0.0237086	0.0464312	0.0877074	0.100951	0.108186	0.112697	0.137077	0.130174	0.100436	0.105736
a12	0.0031409	0.00418906	0.00663871	0.00763	0.0096171	0.0159102	0.0322173	0.0708938	0.0913309	0.101557	0.114696	0.164823	0.158505	0.109966	0.108884
a43	0.00181298	0.00222413	0.00323024	0.00390299	0.00494509	0.00776569	0.0156623	0.0400852	0.0564511	0.0653187	0.0924048	0.167382	0.201045	0.164076	0.173694
a21	0.00236958	0.00314213	0.00390416	0.00536639	0.00653695	0.00941798	0.0168123	0.0315445	0.0424598	0.045225	0.0497762	0.104036	0.168838	0.204852	0.305718
a92	0.00114019	0.00145427	0.00168467	0.00185133	0.0022866	0.00321396	0.00567706	0.0122076	0.015859	0.0201408	0.0347706	0.113425	0.217089	0.258528	0.310672
a37	0.000607549	0.00107873	0.001456	0.00177894	0.0023787	0.00382933	0.00812729	0.0195537	0.0258055	0.0305116	0.0411313	0.106349	0.186958	0.240343	0.330092
a75	0.000450797	0.000793832	0.00108001	0.00165556	0.00221205	0.00327068	0.00630126	0.011757	0.014419	0.016581	0.0196688	0.0574158	0.137109	0.252512	0.474774
a92	0.000429482	0.000729931	0.000900536	0.00128364	0.00181745	0.00312455	0.00699507	0.0166507	0.0230862	0.0256832	0.0290477	0.0761041	0.144296	0.241733	0.428119
a34	0.000331581	0.000595436	0.000664208	0.00096743	0.00135303	0.00214973	0.00445033	0.010506	0.0162053	0.0181382	0.0217655	0.0681634	0.144949	0.256134	0.453627
a12	0.000311669	0.000577839	0.000645594	0.000920801	0.0012116	0.00176712	0.00334096	0.0071004	0.0106885	0.0127589	0.0192745	0.0627432	0.150655	0.275336	0.452669
a18	0.000420922	0.000910969	0.000854117	0.00113327	0.00138425	0.00171856	0.0027155	0.00505256	0.00700151	0.00850511	0.0146247	0.0513092	0.138689	0.280272	0.485409
a25	0.00655719	0.0124491	0.0110556	0.0150256	0.0154761	0.0132337	0.0141123	0.0147639	0.0147826	0.0182674	0.0281625	0.076473	0.143097	0.225729	0.390814
a87	0.0665302	0.0723223	0.0525854	0.0626063	0.0604807	0.049404	0.0360577	0.0299923	0.0347171	0.038471	0.057147	0.0767516	0.0897035	0.1083	0.16493
a23	0.0942563	0.128228	0.109846	0.107043	0.0981838	0.0747053	0.0464805	0.0353107	0.0413865	0.0429844	0.0467541	0.0414262	0.041509	0.0411955	0.0506911
a97	0.0165094	0.0171261	0.00920577	0.00981139	0.0133873	0.0158714	0.0201067	0.0251725	0.0409777	0.0512729	0.0565808	0.116986	0.17585	0.203488	0.227655
a23	0.00467904	0.00664276	0.00476726	0.00566982	0.00808424	0.0115972	0.0192257	0.0262654	0.0397208	0.046607	0.0522553	0.0916672	0.143566	0.227637	0.311615
a99	0.00474383	0.00620089	0.00458318	0.00532438	0.00816335	0.0127575	0.0201852	0.0268003	0.0456507	0.0558617	0.0636802	0.105289	0.146881	0.218662	0.275217
a97	0.00932845	0.016723	0.0127403	0.0144836	0.0200825	0.0272736	0.0328573	0.0359177	0.0551288	0.0628111	0.0692542	0.0912089	0.131962	0.189272	0.230957
</S>	0.00464392	0.00991652	0.00680531	0.00737453	0.0100631	0.015017	0.0230959	0.0270829	0.0364973	0.0418487	0.0534959	0.0883352	0.14573	0.227118	0.302975
