 	il	est	très	bavard	</S>
a23	0.439565	0.201127	0.0891309	0.105132	0.165044
a20	0.391494	0.192004	0.108133	0.115853	0.192516
a84	0.357566	0.222791	0.161813	0.135954	0.121876
a54	0.487867	0.307504	0.116606	0.0499313	0.0380912
a41	0.314991	0.27976	0.198797	0.121749	0.0847031
a94	0.280758	0.269318	0.199321	0.136653	0.113951
a76	0.327242	0.277778	0.176491	0.111897	0.106592
a94	0.278935	0.227453	0.17886	0.161786	0.152966
a58	0.204344	0.217319	0.224171	0.188212	0.165955
a11	0.178854	0.198079	0.227515	0.20892	0.186632
a75	0.117014	0.122274	0.182272	0.27461	0.30383
a76	0.0609514	0.0831404	0.164341	0.324422	0.367146
a90	0.0481858	0.0709322	0.144633	0.342953	0.393297
a12	0.056619	0.0697126	0.12684	0.305873	0.440955
a24	0.0353631	0.0468715	0.0987698	0.289814	0.529182
a9	0.0197718	0.0252283	0.06574	0.26227	0.62699
a87	0.017136	0.018865	0.0438076	0.219465	0.700727
</S>	0.00624493	0.00941962	0.0293321	0.229831	0.725172
