 	etes-vous	toujours	là	</S>
a66	0.473382	0.24095	0.141875	0.143793
a87	0.328276	0.258643	0.247989	0.165092
a97	0.539128	0.272337	0.131849	0.0566854
a62	0.531915	0.276756	0.134745	0.056584
a12	0.582596	0.30089	0.0967271	0.0197867
a41	0.574784	0.276458	0.112943	0.0358156
a21	0.418116	0.322512	0.17824	0.081131
a41	0.463662	0.316933	0.151096	0.0683097
a75	0.310147	0.279985	0.224047	0.18582
a85	0.205217	0.231299	0.244443	0.319041
a47	0.107472	0.175302	0.280844	0.436382
a36	0.0175592	0.0641103	0.203799	0.714531
a26	0.0550813	0.0762518	0.171289	0.697378
a57	0.19747	0.165197	0.194439	0.442894
a97	0.230009	0.22905	0.224485	0.316456
a99	0.27096	0.20843	0.203555	0.317054
a97	0.20532	0.197241	0.227427	0.370012
a87	0.183027	0.23463	0.261765	0.320577
a97	0.185907	0.227828	0.260489	0.325776
a99	0.251522	0.292613	0.254867	0.200998
a97	0.168807	0.214019	0.262213	0.354961
a99	0.245101	0.259597	0.235155	0.260147
a97	0.145806	0.236455	0.301835	0.315903
a99	0.145914	0.224505	0.268028	0.361553
a97	0.112991	0.213163	0.28581	0.388036
a23	0.121233	0.218558	0.280353	0.379856
a97	0.113099	0.223707	0.292424	0.370771
</S>	0.118147	0.20997	0.262754	0.409128
