 	le	silure	a	deux	piquants	</S>
a66	0.293641	0.336527	0.220247	0.105465	0.0310662	0.0130552
a87	0.478182	0.283638	0.127477	0.0764542	0.0244789	0.0097696
a23	0.544588	0.271875	0.0868026	0.0541765	0.0253849	0.0171735
a13	0.628848	0.249147	0.0495035	0.0283241	0.016163	0.0280144
a53	0.504361	0.285399	0.0806556	0.0483351	0.0320761	0.0491734
a79	0.451414	0.28712	0.131526	0.0625984	0.0367048	0.0306359
a5	0.240025	0.229984	0.239502	0.148728	0.0979262	0.0438351
a12	0.172765	0.176556	0.217476	0.181887	0.184157	0.0671597
a61	0.163193	0.190257	0.236302	0.179229	0.17258	0.0584372
a88	0.143326	0.177078	0.236764	0.19706	0.18221	0.0635622
a71	0.113698	0.16958	0.232131	0.217975	0.182917	0.0836995
a38	0.0801188	0.140453	0.164772	0.180895	0.23833	0.195432
a93	0.0982836	0.192586	0.207962	0.177253	0.157322	0.166593
a96	0.0780761	0.147409	0.216882	0.216012	0.172618	0.169002
a18	0.0566326	0.0958253	0.156196	0.214122	0.201028	0.276196
a88	0.0313463	0.0406397	0.0546995	0.0760093	0.104069	0.693236
a54	0.00902177	0.0128929	0.0282507	0.0751659	0.132133	0.742536
a36	0.00255224	0.00348227	0.00739603	0.0276837	0.0900198	0.868866
a2	0.0078569	0.00786209	0.013388	0.0299567	0.100948	0.839989
a57	0.0307328	0.0229709	0.0383647	0.0797857	0.184042	0.644104
a87	0.180264	0.0849601	0.0781061	0.113565	0.199754	0.343351
a23	0.377768	0.198078	0.113262	0.11371	0.109333	0.0878481
a87	0.18942	0.0934208	0.0628551	0.108667	0.161681	0.383956
</S>	0.0264001	0.0177697	0.0232456	0.0631325	0.171508	0.697944
