 	les	petits	villages	sont	bâtis	avec	deux	rangées	de	maisons	</S>
a66	0.214364	0.243862	0.213889	0.105854	0.138863	0.0412555	0.0156963	0.00919272	0.00627936	0.00544035	0.00530282
a87	0.462428	0.224114	0.122537	0.0493214	0.0491611	0.0198627	0.0123707	0.0106545	0.0104533	0.014406	0.0246914
a23	0.52801	0.204357	0.0867244	0.0401933	0.0357347	0.0156491	0.00866881	0.0100812	0.0159548	0.0214734	0.0331532
a40	0.361059	0.103111	0.053228	0.0356068	0.0506401	0.041931	0.0296695	0.038537	0.0536071	0.0757295	0.156881
a36	0.335069	0.209716	0.14983	0.0792573	0.0644325	0.0407941	0.0250573	0.018546	0.0221546	0.0237774	0.0313658
a7	0.232819	0.211008	0.199765	0.0931024	0.0572583	0.0334442	0.0212579	0.0208007	0.0324406	0.0382861	0.0598185
a93	0.116129	0.147301	0.192493	0.126254	0.0894141	0.0684867	0.0563046	0.049018	0.048895	0.0462831	0.0594206
a56	0.0817722	0.116485	0.171632	0.141804	0.126344	0.0989714	0.0808959	0.0533461	0.0451797	0.039676	0.0438944
a98	0.114441	0.108419	0.139242	0.124544	0.133548	0.0952714	0.0716331	0.0426764	0.0531038	0.0532847	0.0638359
a47	0.109334	0.160764	0.226609	0.157197	0.121578	0.072316	0.045343	0.0252414	0.0243308	0.0245127	0.032774
a6	0.0984523	0.121847	0.161657	0.128451	0.147525	0.0871863	0.0599311	0.038049	0.0434098	0.0478286	0.0656637
a36	0.0817872	0.121348	0.16711	0.14174	0.151363	0.101528	0.07051	0.0390585	0.0375479	0.0381409	0.0498658
a85	0.0490899	0.0861146	0.116125	0.127881	0.161086	0.108722	0.0795214	0.0509457	0.0615048	0.0710396	0.08797
a6	0.043453	0.100533	0.151208	0.13986	0.161456	0.0992655	0.0743506	0.0578967	0.0540344	0.0530478	0.0648948
a36	0.0230083	0.0677468	0.103042	0.122421	0.163156	0.132975	0.110123	0.0805944	0.0666583	0.0627851	0.0674894
a85	0.0110427	0.0262659	0.0378933	0.0898053	0.122667	0.157074	0.148923	0.102183	0.102555	0.0943582	0.107233
a6	0.00589133	0.0183094	0.0322785	0.0699903	0.0994635	0.117994	0.122309	0.119491	0.13162	0.133746	0.148908
a61	0.00420694	0.0110793	0.0183134	0.0525097	0.077016	0.137409	0.179861	0.164213	0.136102	0.109697	0.109593
a12	0.00714347	0.0106503	0.0116533	0.0250216	0.0395346	0.102242	0.173256	0.170117	0.18396	0.143855	0.132566
a75	0.00547253	0.00871417	0.00993737	0.0179801	0.0279272	0.0775718	0.148094	0.168478	0.190954	0.175595	0.169276
a85	0.000949338	0.0018505	0.00265891	0.00690829	0.0113393	0.0425713	0.105541	0.160233	0.189066	0.226006	0.252877
a47	0.00060571	0.00132242	0.00212858	0.00643702	0.0101191	0.0342586	0.0792569	0.133815	0.187375	0.245516	0.299166
a79	0.000218642	0.000397802	0.000455366	0.00126695	0.0019439	0.0101225	0.0410688	0.134006	0.238395	0.273842	0.298283
a98	0.000359976	0.000730834	0.000784229	0.00185141	0.00246932	0.0112508	0.0394293	0.121716	0.225381	0.30061	0.295418
a47	0.000180097	0.000293821	0.000321783	0.000886127	0.0013301	0.00625452	0.0274639	0.108138	0.196541	0.296438	0.362153
a36	0.000129624	0.000226609	0.000247238	0.000743138	0.0010884	0.00567359	0.0268457	0.116619	0.199373	0.286421	0.362632
a47	0.00198697	0.00257017	0.00229174	0.00309684	0.00380339	0.00949448	0.0294213	0.122156	0.153484	0.269924	0.401771
a36	0.00116128	0.00174428	0.00176705	0.00276482	0.00319048	0.00900656	0.0277692	0.117111	0.164657	0.28324	0.387589
a2	0.00944216	0.0120954	0.0119527	0.0145722	0.0144398	0.0244846	0.0480521	0.142304	0.157662	0.232613	0.332382
a57	0.017964	0.0265281	0.0273457	0.0275495	0.027492	0.0352558	0.0570609	0.138441	0.144447	0.206234	0.291681
a87	0.0394035	0.0402457	0.0376884	0.0366586	0.0421807	0.0520033	0.0767799	0.148971	0.132406	0.182121	0.211542
a23	0.105876	0.0955632	0.0649053	0.057057	0.0661903	0.0682977	0.0787931	0.125312	0.0984455	0.119775	0.119785
a99	0.0900258	0.056645	0.0387607	0.0328925	0.0284875	0.0318287	0.0542476	0.104741	0.15501	0.197289	0.210073
a30	0.0390198	0.0257346	0.0179743	0.0197894	0.0188711	0.0324532	0.063363	0.107713	0.185706	0.23111	0.258266
</S>	0.00506854	0.00498029	0.00484747	0.00892693	0.010117	0.0191492	0.0417786	0.0809567	0.174713	0.26972	0.379742
