 	il	recherche	la	moindre	bribe	de	tabac	</S>
a85	0.350102	0.269991	0.129727	0.0661392	0.0612168	0.0492614	0.0359199	0.037643
a87	0.202448	0.173069	0.168232	0.129819	0.085996	0.0746741	0.0894591	0.0763023
a23	0.256618	0.161321	0.119864	0.0966012	0.0644258	0.0728642	0.0927493	0.135556
a13	0.284148	0.240139	0.149417	0.0717363	0.0403194	0.0418201	0.0629712	0.109449
a20	0.455086	0.21752	0.124017	0.0671965	0.041243	0.0310881	0.0305697	0.0332804
a30	0.331141	0.274854	0.154517	0.104174	0.0393342	0.0314611	0.0282501	0.0362678
a7	0.327509	0.29867	0.215556	0.0916921	0.0235967	0.0139925	0.0116289	0.0173553
a30	0.343062	0.221525	0.199011	0.101394	0.0364698	0.025545	0.0268781	0.0461152
a41	0.308821	0.186454	0.163666	0.118903	0.0568018	0.0415368	0.0442899	0.0795274
a24	0.239383	0.148742	0.122893	0.0991421	0.0785656	0.0795631	0.0905439	0.141168
a35	0.151526	0.111888	0.0898727	0.0843014	0.0940123	0.113629	0.150518	0.204253
a75	0.0838918	0.0668316	0.0658686	0.074811	0.101059	0.147326	0.220341	0.239872
a35	0.0540085	0.0364871	0.0312459	0.0503334	0.101558	0.174382	0.27205	0.279936
a24	0.0516833	0.0374781	0.032667	0.0503565	0.109851	0.178788	0.262778	0.276399
a41	0.015229	0.0199175	0.0229683	0.0436648	0.11144	0.200532	0.291435	0.294813
a24	0.00702051	0.00904757	0.0132651	0.0325308	0.0902856	0.193035	0.353357	0.301458
a25	0.0101267	0.0153038	0.0161483	0.0360327	0.0888402	0.181934	0.335608	0.316006
a10	0.0187315	0.026897	0.0259221	0.0412859	0.0899955	0.167383	0.289766	0.340019
a61	0.0248108	0.0328276	0.0299152	0.0351566	0.0855408	0.149487	0.319904	0.322358
a41	0.0232669	0.0271213	0.0225999	0.0333943	0.0970442	0.15119	0.328837	0.316547
a18	0.00858501	0.00955131	0.00923515	0.0227856	0.0931308	0.171229	0.356728	0.328756
a25	0.0185803	0.01622	0.0115227	0.021145	0.0655015	0.138647	0.386566	0.341818
a87	0.0404153	0.0340299	0.0281261	0.0396738	0.0847089	0.146435	0.318677	0.307934
</S>	0.0129841	0.0135643	0.0175467	0.0399618	0.103371	0.174929	0.318176	0.319467
