 	les	co-épouses	ont	déclenché	une	bagarre	devant	leur	mari	</S>
a87	0.100909	0.119294	0.162423	0.134895	0.157034	0.155826	0.0693089	0.0385538	0.0319858	0.0297708
a40	0.0532955	0.0886365	0.0940192	0.0799	0.077571	0.0671979	0.0923482	0.113268	0.162482	0.171281
a47	0.253973	0.14363	0.122583	0.0666222	0.0554732	0.0685795	0.0493365	0.0493211	0.0755078	0.114973
a44	0.300161	0.223253	0.196976	0.0933236	0.038268	0.0369741	0.0200485	0.0218566	0.0279594	0.0411801
a70	0.284753	0.224851	0.227429	0.107496	0.0433292	0.0430795	0.0136479	0.0122874	0.0177312	0.0253967
a98	0.305712	0.296323	0.250243	0.0710056	0.0219863	0.0242789	0.00671528	0.00541705	0.00823154	0.0100871
a41	0.188333	0.232314	0.256868	0.125649	0.0656975	0.0694025	0.0205744	0.0118781	0.0144169	0.014867
a37	0.169233	0.24905	0.269938	0.138311	0.0705979	0.060337	0.0141294	0.00821128	0.00894148	0.0112514
a75	0.131029	0.21657	0.267263	0.147094	0.0787147	0.0666949	0.0243388	0.0176903	0.0230924	0.0275122
a85	0.106006	0.162749	0.231157	0.199513	0.123653	0.0843512	0.0301876	0.0188726	0.0186663	0.0248446
a73	0.0901844	0.149073	0.24001	0.195302	0.112331	0.0721306	0.0390468	0.0313324	0.0307293	0.0398612
a26	0.0465671	0.0658503	0.168749	0.200295	0.163806	0.106855	0.0599603	0.047933	0.0586909	0.0812934
a38	0.0196273	0.0542666	0.147107	0.198965	0.159939	0.110798	0.0770305	0.061126	0.0762347	0.0949054
a11	0.042769	0.0594231	0.126553	0.150535	0.147289	0.10333	0.0907819	0.0737297	0.0895593	0.11603
a66	0.036984	0.0565238	0.146536	0.176972	0.144212	0.107658	0.0864334	0.068229	0.0787177	0.0977337
a70	0.0158111	0.0369175	0.10539	0.176626	0.169256	0.143645	0.099084	0.0743341	0.0818245	0.0971123
a0	0.0265142	0.0444662	0.101569	0.130591	0.14137	0.142793	0.117226	0.0875432	0.0961517	0.111775
a47	0.016581	0.0361183	0.0816834	0.12775	0.151067	0.149807	0.118521	0.0918624	0.102951	0.12366
a83	0.0197705	0.0462533	0.0948646	0.164153	0.203067	0.153392	0.103024	0.0717163	0.0669941	0.0767654
a9	0.0217759	0.0393967	0.0817061	0.130827	0.151067	0.140336	0.136644	0.104877	0.0968616	0.0965077
a38	0.0123819	0.0261085	0.0547525	0.105159	0.162378	0.12755	0.141606	0.124997	0.116507	0.128561
a50	0.0213674	0.0419003	0.070051	0.0947777	0.127649	0.113952	0.130085	0.113459	0.127072	0.159687
a70	0.0155859	0.0276745	0.0407218	0.0515801	0.0832085	0.0913934	0.13695	0.152283	0.187518	0.213085
a93	0.0259858	0.0375252	0.059489	0.0726745	0.090406	0.0914612	0.118323	0.124616	0.17349	0.206029
a70	0.0211619	0.029096	0.0501028	0.0677401	0.0826966	0.082438	0.0980905	0.11761	0.195497	0.255567
a96	0.00707926	0.0134805	0.0221265	0.0297701	0.0443167	0.0510789	0.110368	0.156976	0.249872	0.314932
a61	0.00524369	0.00988536	0.0167735	0.0246389	0.0398287	0.0473855	0.110447	0.164876	0.257992	0.32293
a0	0.00842683	0.0133657	0.0199729	0.0249066	0.0397895	0.040526	0.0826159	0.134921	0.255433	0.380042
a96	0.00147157	0.00404156	0.00545822	0.0100266	0.0206595	0.0207931	0.0633673	0.142408	0.28121	0.450565
a93	0.00100486	0.00299722	0.00419816	0.00852681	0.0188284	0.0204743	0.0663674	0.158125	0.287268	0.432209
a34	0.00137491	0.0029019	0.00447077	0.00766443	0.0165576	0.0210644	0.0588761	0.122656	0.267806	0.496628
a56	0.0019443	0.00497675	0.00683039	0.00996923	0.0222026	0.0249462	0.0610203	0.121183	0.260672	0.486256
a70	0.000655127	0.00202722	0.00305216	0.00561707	0.0129022	0.0151094	0.0477072	0.11115	0.264733	0.537047
a83	0.000453574	0.00179318	0.00272898	0.00458628	0.0100871	0.0106733	0.039655	0.0989964	0.257995	0.573032
a9	0.000401301	0.00181048	0.00271458	0.00514342	0.0122392	0.0115576	0.0513166	0.134919	0.268341	0.511557
a87	0.00326075	0.00575137	0.00908643	0.0116888	0.0250102	0.015485	0.0861218	0.175469	0.268899	0.399228
a23	0.00660638	0.0077469	0.0142818	0.0161204	0.0315978	0.0243206	0.0856951	0.183636	0.282605	0.34739
a87	0.00444641	0.00472364	0.00826014	0.00823323	0.0183682	0.0166875	0.0515934	0.111823	0.265	0.510865
a23	0.00459067	0.00529898	0.00990322	0.00850937	0.0118466	0.0100337	0.0295765	0.0849243	0.243026	0.59229
a87	0.00942633	0.00843279	0.0135379	0.010947	0.0155442	0.0134295	0.0421469	0.101598	0.258846	0.526092
</S>	0.00874335	0.00748996	0.009811	0.00774834	0.0103799	0.00908858	0.0308457	0.0887673	0.248371	0.578755
