 	il	a	assemblé	les	travailleurs	</S>
a23	0.517483	0.265452	0.141445	0.0192027	0.0177728	0.0386443
a85	0.512797	0.287892	0.131888	0.0205384	0.0191916	0.0276931
a87	0.259733	0.190412	0.192053	0.0945407	0.130878	0.132384
a23	0.293475	0.197325	0.199098	0.0710417	0.0961281	0.142932
a20	0.19395	0.113501	0.143673	0.0777264	0.170291	0.300858
a73	0.162951	0.150354	0.240649	0.120156	0.164211	0.161679
a2	0.163369	0.179868	0.264727	0.203947	0.132925	0.0551646
a30	0.180569	0.217351	0.260665	0.16148	0.117418	0.062518
a41	0.0929225	0.110923	0.145387	0.199406	0.232778	0.218584
a0	0.147381	0.158588	0.178093	0.179585	0.177677	0.158677
a2	0.11057	0.135901	0.169565	0.229693	0.241517	0.112753
a38	0.0980231	0.119759	0.158884	0.221615	0.254757	0.146962
a41	0.127978	0.149671	0.152836	0.211694	0.200503	0.157318
a0	0.0810282	0.100502	0.113334	0.20097	0.271081	0.233085
a11	0.038157	0.046396	0.0559278	0.201535	0.344151	0.313833
a24	0.0608697	0.0628959	0.0618652	0.162527	0.277587	0.374256
a9	0.0436202	0.0446178	0.0548739	0.125431	0.242551	0.488906
a87	0.088614	0.0752963	0.0611701	0.0784623	0.133653	0.562804
a23	0.0114435	0.0114076	0.0128008	0.0276617	0.109806	0.826881
a40	0.00501523	0.00423408	0.00571539	0.0225978	0.169123	0.793315
a73	0.00839396	0.00726086	0.012122	0.0467202	0.223259	0.702244
a32	0.00235573	0.00254184	0.00423355	0.0241823	0.182632	0.784054
a20	0.00489408	0.00485348	0.00682478	0.022528	0.149719	0.811181
a41	0.00602764	0.00597216	0.00868589	0.0261671	0.161867	0.79128
a56	0.00359275	0.00376673	0.00642395	0.0278127	0.162811	0.795592
a61	0.00967769	0.0088646	0.0125556	0.0338598	0.156571	0.778471
a88	0.0175417	0.0146969	0.0168273	0.0442801	0.159131	0.747523
a71	0.00783638	0.00700346	0.0101117	0.0353952	0.149977	0.789676
a25	0.00687669	0.00476712	0.00574154	0.0221914	0.121874	0.838549
a87	0.00300371	0.00181426	0.00205519	0.0122483	0.120774	0.860104
</S>	0.00766307	0.0054316	0.0109427	0.0333	0.134478	0.808184
