 	les	hyènes	font	du	bruit	dans	la	forêt	</S>
a87	0.651569	0.153797	0.025251	0.0253494	0.0278709	0.0251928	0.0292005	0.0304416	0.0313284
a23	0.342581	0.0710951	0.0184631	0.0275335	0.0474427	0.0683351	0.0866119	0.141159	0.196778
a40	0.205858	0.0746447	0.0367407	0.0400546	0.0631788	0.0995113	0.111339	0.162931	0.205743
a7	0.631197	0.151795	0.0354874	0.023562	0.0270149	0.0280424	0.0306104	0.0355159	0.0367749
a0	0.604425	0.204678	0.0541348	0.0272866	0.0229823	0.0193397	0.0186875	0.0225701	0.0258963
a11	0.394103	0.25466	0.0937679	0.0435744	0.0313815	0.0350389	0.0362325	0.0506318	0.0606098
a90	0.210897	0.256276	0.156578	0.0647826	0.0467984	0.0535554	0.0548318	0.0720355	0.0842449
a69	0.123244	0.200931	0.182323	0.0741891	0.0589544	0.0699492	0.0718298	0.09547	0.12311
a15	0.0704463	0.150137	0.177874	0.0867231	0.0779255	0.0865499	0.0907119	0.115817	0.143816
a47	0.0579735	0.107445	0.176046	0.101887	0.0964244	0.0988071	0.103383	0.119876	0.138158
a36	0.0756063	0.143926	0.206621	0.101851	0.0860453	0.0811495	0.0838452	0.0973013	0.123655
a5	0.0396767	0.0624575	0.156039	0.0904704	0.0934175	0.10216	0.111989	0.140387	0.203403
a37	0.0687054	0.108236	0.179145	0.100313	0.0872606	0.0954091	0.0991431	0.113225	0.148563
a90	0.0386045	0.077523	0.164883	0.109874	0.0982848	0.108097	0.111285	0.125988	0.165461
a44	0.0330172	0.055201	0.140054	0.0923403	0.096719	0.117631	0.134523	0.151195	0.179319
a4	0.0136666	0.0455912	0.154673	0.0991479	0.104102	0.118772	0.133812	0.146587	0.183647
a93	0.0128705	0.0430707	0.138676	0.0972514	0.104138	0.128389	0.14693	0.154543	0.174131
a44	0.0036265	0.0151097	0.112044	0.0938541	0.114426	0.141486	0.165277	0.16712	0.187057
a11	0.00162298	0.007932	0.0671058	0.0746888	0.103894	0.135708	0.165342	0.187262	0.256443
a75	0.00149157	0.00538811	0.0322667	0.0466803	0.0711527	0.1018	0.14539	0.212285	0.383546
a79	0.00246521	0.00815175	0.0366152	0.0361184	0.05349	0.0819266	0.133058	0.230982	0.417193
a7	0.00109087	0.00500953	0.0299858	0.031737	0.0519163	0.0847678	0.143182	0.240867	0.411444
a69	0.000431783	0.00269773	0.0230969	0.0434509	0.0776617	0.117914	0.172124	0.228332	0.334291
a58	0.00149074	0.0059983	0.0331934	0.042191	0.0712464	0.106765	0.159294	0.23049	0.349331
a82	0.000239918	0.00115333	0.0091831	0.0225917	0.0563118	0.102874	0.175206	0.254368	0.378071
a87	0.00185071	0.00237828	0.00715225	0.019057	0.064641	0.146834	0.210646	0.264361	0.283079
a23	0.236729	0.0788159	0.031994	0.0408234	0.0661791	0.0951391	0.131195	0.163795	0.155329
a87	0.120366	0.0576362	0.0326761	0.0407659	0.0824869	0.103707	0.162869	0.195845	0.203649
</S>	0.0229272	0.0204738	0.0213183	0.0329383	0.0762687	0.119542	0.204502	0.25981	0.242219
