 	il	joue	au	tambour	</S>
a23	0.443001	0.261182	0.158733	0.0789401	0.0581447
a79	0.231424	0.237167	0.275518	0.167712	0.0881794
a54	0.30103	0.293474	0.219578	0.120196	0.0657217
a14	0.402364	0.373298	0.150558	0.0509934	0.0227867
a35	0.330052	0.35515	0.206395	0.0825435	0.0258587
a14	0.309525	0.338416	0.227973	0.0922917	0.0317949
a26	0.27357	0.318984	0.25372	0.112581	0.0411447
a75	0.191004	0.271178	0.271237	0.187976	0.0786043
a41	0.133601	0.188882	0.225219	0.233663	0.218635
a26	0.0723693	0.111986	0.20132	0.330914	0.28341
a24	0.0420851	0.0669212	0.143443	0.342134	0.405417
a43	0.0419954	0.0565266	0.11439	0.323433	0.463655
a11	0.0497889	0.0634533	0.0992658	0.285729	0.501763
a24	0.0386564	0.0514845	0.0910509	0.306808	0.512
a62	0.0382113	0.046781	0.077217	0.257678	0.580113
a83	0.0410436	0.0530814	0.103107	0.299579	0.503189
a54	0.0273456	0.0375103	0.0794979	0.279585	0.576061
a73	0.051646	0.0618488	0.10563	0.289036	0.491838
a57	0.0493022	0.0510261	0.0807481	0.275323	0.543601
a87	0.0672697	0.0713671	0.122809	0.264978	0.473576
</S>	0.183354	0.182937	0.19951	0.188863	0.245335
