 	avec	tout	son	courage	il	est	resté	pauvre	</S>
a23	0.382201	0.153363	0.0698891	0.0559883	0.0492276	0.0525637	0.0689485	0.0766289	0.0911903
a44	0.410025	0.151973	0.110145	0.075163	0.0481317	0.0421237	0.0500901	0.0532244	0.0591231
a98	0.429978	0.253663	0.102441	0.0541279	0.0330998	0.0273043	0.0288684	0.0259975	0.0445208
a73	0.561801	0.256586	0.0813105	0.0358566	0.0188809	0.013021	0.0100726	0.00914355	0.0133277
a94	0.415428	0.263475	0.140439	0.0686771	0.0369339	0.0216316	0.0172941	0.0158936	0.0202275
a38	0.299676	0.266286	0.19705	0.0954465	0.0459778	0.0251849	0.0209621	0.0215309	0.0278856
a41	0.211887	0.232682	0.234105	0.13314	0.0628209	0.033626	0.0273819	0.0282012	0.0361549
a26	0.182959	0.203367	0.208437	0.143034	0.0865678	0.052133	0.0404769	0.0376343	0.0453906
a38	0.175703	0.194444	0.227121	0.145207	0.0746782	0.0426088	0.0362577	0.0417319	0.0622492
a75	0.157677	0.193805	0.23416	0.148895	0.0850812	0.050854	0.0415286	0.0386553	0.0493438
a73	0.126054	0.13944	0.189191	0.143897	0.0987115	0.0810095	0.0753318	0.0715973	0.0747686
a20	0.103894	0.117597	0.175563	0.142198	0.101911	0.082581	0.087266	0.0864256	0.102565
a58	0.0954289	0.0857652	0.0867347	0.0938226	0.107157	0.117857	0.131336	0.138016	0.143882
a82	0.0666443	0.0664854	0.0880261	0.104017	0.107902	0.116575	0.138704	0.151671	0.159975
a11	0.0326694	0.0342265	0.0642674	0.109539	0.133558	0.14696	0.15976	0.154929	0.16409
a90	0.0442634	0.0416875	0.0650313	0.0941639	0.107465	0.119738	0.147911	0.168678	0.211062
a69	0.0614778	0.0528262	0.0594938	0.074918	0.0925852	0.106723	0.135857	0.191866	0.224253
a58	0.053401	0.0434604	0.0495134	0.0606383	0.0897404	0.124008	0.144727	0.20434	0.230172
a82	0.0578187	0.0435753	0.0509671	0.0641116	0.101386	0.148573	0.140187	0.174886	0.218495
a87	0.0329011	0.0259993	0.0300175	0.0437543	0.097728	0.14883	0.148165	0.189138	0.283467
a40	0.0116035	0.0111732	0.0159233	0.0335449	0.0712113	0.131701	0.158903	0.262411	0.303529
a73	0.0273753	0.0118872	0.00761674	0.00671101	0.00864161	0.0228634	0.0524782	0.208906	0.65352
a58	0.0260224	0.0209063	0.0254983	0.0410329	0.0617267	0.0890082	0.111176	0.200759	0.42387
a57	0.0213923	0.0172767	0.0176119	0.0238316	0.03979	0.0706283	0.0967953	0.203371	0.509303
a53	0.0137451	0.0109609	0.0110617	0.0176302	0.0330869	0.0724162	0.119888	0.221154	0.500058
a4	0.0227045	0.015034	0.0138461	0.0182725	0.032477	0.0716325	0.124425	0.239314	0.462295
a38	0.0252688	0.0230053	0.0269197	0.0310792	0.04904	0.0854661	0.130718	0.21771	0.410793
a94	0.0130453	0.0108742	0.0131832	0.016083	0.0252992	0.0541007	0.107707	0.248871	0.510837
a62	0.0151086	0.0130469	0.0160227	0.0189122	0.0286495	0.0572284	0.108481	0.243627	0.498923
a47	0.00719347	0.00638592	0.00816351	0.0103646	0.0172484	0.0397066	0.0910689	0.263358	0.55651
a62	0.00681872	0.00493037	0.00616423	0.00734321	0.0138882	0.0365794	0.0873474	0.270716	0.566212
a93	0.00488061	0.0041939	0.00586115	0.00757956	0.015227	0.0374236	0.0854954	0.267997	0.571342
a4	0.0035781	0.00356231	0.00600563	0.00869762	0.0187792	0.0444786	0.0946759	0.253593	0.56663
a57	0.00321447	0.00272568	0.0041438	0.00563983	0.0111384	0.0280789	0.0716293	0.245096	0.628334
a82	0.001354	0.000981665	0.00147177	0.00287877	0.00782574	0.0309101	0.0763088	0.300745	0.577524
a3	0.00133334	0.000850409	0.00115612	0.00284198	0.00855091	0.039858	0.0827331	0.339805	0.522871
a87	0.0106314	0.00529951	0.00378935	0.0073847	0.0198973	0.0761473	0.149444	0.352222	0.375184
</S>	0.0476757	0.0209646	0.0114891	0.0149454	0.0315563	0.0923371	0.139812	0.277926	0.363293
