 	j'	ai	une	ampoule	au	pied	ma	chaussure	me	blesse	</S>
a23	0.120404	0.102694	0.11658	0.10503	0.119476	0.0922843	0.0850533	0.0838224	0.0760114	0.0552921	0.0433518
a83	0.336077	0.171982	0.0964167	0.0753603	0.0597173	0.0491852	0.0438532	0.0384817	0.0387294	0.0338974	0.0562991
a26	0.316851	0.217528	0.183068	0.0770565	0.0610139	0.0621196	0.0263437	0.01862	0.0151871	0.00968631	0.0125263
a24	0.36938	0.281727	0.227333	0.0564994	0.0309864	0.0168425	0.0065224	0.00403609	0.00277365	0.0016549	0.00224467
a66	0.358793	0.275346	0.195661	0.0554048	0.0448938	0.0304619	0.0162854	0.01091	0.00683123	0.002795	0.00261808
a26	0.278065	0.257622	0.185704	0.0727291	0.0686361	0.0475121	0.032403	0.0241364	0.0169032	0.00810911	0.00818023
a21	0.225717	0.225065	0.178006	0.0879186	0.091536	0.0603242	0.0446484	0.0343946	0.0248263	0.0134603	0.0141041
a26	0.20735	0.20042	0.176962	0.100131	0.0983552	0.0694707	0.0538573	0.0415806	0.0315167	0.0118597	0.00849683
a83	0.192997	0.197919	0.156846	0.0850658	0.0898431	0.0693514	0.0670955	0.0595595	0.0453892	0.018928	0.0170053
a25	0.128155	0.153467	0.158686	0.125459	0.124036	0.095571	0.0826601	0.0645982	0.0437717	0.0140354	0.00955993
a99	0.0639533	0.0838472	0.119135	0.124745	0.141689	0.135908	0.120679	0.0999561	0.068955	0.0221946	0.0189381
a38	0.0411788	0.0517413	0.0736968	0.0788776	0.122311	0.153796	0.146388	0.135928	0.103103	0.0471803	0.0457989
a76	0.0702754	0.0819663	0.1096	0.0912096	0.113791	0.115053	0.109881	0.107333	0.103643	0.0535651	0.0436828
a35	0.0743589	0.0901891	0.117757	0.126091	0.131656	0.118106	0.0890354	0.0736155	0.0696732	0.053575	0.0559428
a66	0.0464423	0.0559857	0.0722877	0.0891425	0.115743	0.132402	0.126719	0.111312	0.104749	0.0700919	0.0751254
a75	0.0296713	0.0354275	0.048593	0.0638334	0.107293	0.147868	0.152816	0.13583	0.119268	0.0759485	0.0834501
a41	0.0222177	0.0278804	0.0471634	0.0699538	0.114128	0.148224	0.137316	0.120961	0.114116	0.0882635	0.109775
a32	0.0166252	0.0209008	0.0361774	0.0613744	0.104272	0.144494	0.132316	0.12205	0.115409	0.101856	0.144524
a25	0.0174044	0.0181555	0.0254603	0.0333704	0.0656142	0.116576	0.15298	0.151581	0.135784	0.117409	0.165666
a27	0.0157363	0.0157986	0.0200305	0.031271	0.0752003	0.136685	0.184948	0.171802	0.133998	0.105526	0.109004
a57	0.0125652	0.0107304	0.0121639	0.0196671	0.0484868	0.0953122	0.154335	0.180092	0.13317	0.150048	0.183429
a53	0.0250089	0.0181245	0.0179633	0.0282385	0.0561683	0.0908456	0.121051	0.137606	0.111919	0.154248	0.238827
a4	0.0290763	0.022159	0.0279933	0.0314147	0.0671572	0.130112	0.142125	0.135751	0.120129	0.119072	0.175011
a13	0.0290784	0.0266285	0.0361166	0.037131	0.0604334	0.0941916	0.112401	0.121097	0.114666	0.140396	0.227861
a57	0.030562	0.0240213	0.0258573	0.0328472	0.0520183	0.0763356	0.0937964	0.103788	0.117018	0.156059	0.287697
a82	0.0134411	0.00884247	0.00923688	0.0141375	0.0312843	0.0619611	0.10564	0.137957	0.148261	0.184723	0.284516
a87	0.027412	0.0150327	0.0114664	0.0111383	0.0166428	0.034775	0.0800065	0.121415	0.140261	0.210933	0.330917
a97	0.0551548	0.0344851	0.0293964	0.0343312	0.0375985	0.0436353	0.0555069	0.0645045	0.0714265	0.16759	0.406371
a87	0.047728	0.0409878	0.0420299	0.0472713	0.0470915	0.047392	0.0438479	0.0517846	0.0631491	0.163348	0.40537
a23	0.0983709	0.0788555	0.0801331	0.0770985	0.0711895	0.0670835	0.0375541	0.0389961	0.0498824	0.118643	0.282193
a83	0.0222485	0.0193038	0.0177791	0.0169797	0.0244854	0.0387061	0.0460143	0.0665242	0.0942238	0.229464	0.424271
