 	cet	assesseur	a	le	pouvoir	mystique	de	retenir	les	faits	</S>
a87	0.148599	0.120375	0.138815	0.145993	0.106311	0.0919442	0.0886945	0.0695001	0.0339114	0.034363	0.021493
a30	0.120582	0.085287	0.113929	0.157393	0.146937	0.141358	0.0806985	0.043614	0.0416186	0.0438481	0.0247354
a70	0.160939	0.1091	0.125585	0.147183	0.182902	0.109607	0.0420754	0.0258008	0.0177124	0.0452092	0.0338859
a99	0.196446	0.137184	0.125116	0.102974	0.118864	0.0772031	0.0388313	0.0344761	0.0375955	0.0717422	0.059568
a34	0.226521	0.158042	0.125608	0.0770006	0.0689588	0.0527896	0.0501093	0.0373716	0.0398316	0.066383	0.0973847
a75	0.297112	0.192584	0.162679	0.108592	0.0947348	0.0399901	0.0210042	0.0124908	0.0135849	0.0237711	0.0334579
a21	0.255811	0.204812	0.170952	0.121998	0.111788	0.0426461	0.0170953	0.0127653	0.0137466	0.0218747	0.0265108
a75	0.239398	0.229359	0.176852	0.124804	0.11878	0.0430742	0.0167113	0.0107435	0.0103836	0.0138115	0.0160831
a34	0.210294	0.21599	0.173389	0.117862	0.103931	0.0560831	0.0332942	0.0210892	0.0193703	0.022149	0.0265482
a56	0.148691	0.189404	0.179903	0.142452	0.118775	0.0697009	0.0434175	0.0271678	0.0238597	0.0240373	0.0325919
a34	0.0735231	0.12644	0.129511	0.105972	0.0739931	0.0841768	0.0818746	0.0748269	0.0713366	0.0801552	0.09819
a83	0.0686916	0.112122	0.120787	0.107986	0.0851993	0.098758	0.0884602	0.0774542	0.0727536	0.0762593	0.0915294
a18	0.048055	0.0771502	0.081628	0.0738067	0.0576253	0.0987298	0.106903	0.116785	0.102903	0.106644	0.129771
a38	0.0127702	0.0248344	0.0300646	0.0282394	0.0214168	0.0407141	0.0580751	0.137097	0.198661	0.228399	0.219729
a93	0.0095349	0.0183365	0.0240893	0.0265318	0.0322259	0.0579261	0.0620125	0.124149	0.15869	0.219971	0.266533
a75	0.00627462	0.0117549	0.0142639	0.0151833	0.0192948	0.0503982	0.085839	0.157668	0.190991	0.217759	0.230573
a92	0.00932744	0.0154515	0.0149426	0.0144512	0.012906	0.0331444	0.06654	0.141999	0.206139	0.21104	0.274059
a34	0.0122936	0.0209328	0.0220091	0.0213679	0.0165503	0.0387251	0.0677811	0.135176	0.2214	0.202496	0.241268
a70	0.00303153	0.00494519	0.00640382	0.0085457	0.0111399	0.0324975	0.0496152	0.125665	0.255266	0.279192	0.223699
a98	0.000906953	0.00112761	0.00151615	0.00215839	0.0029312	0.0134146	0.0314811	0.131161	0.213845	0.301757	0.299701
a47	0.000443444	0.000471864	0.000510536	0.000641163	0.0010474	0.00575961	0.0168893	0.0953996	0.24377	0.343875	0.291193
a85	0.000741249	0.00099656	0.000963339	0.00116347	0.00162016	0.00672339	0.0175092	0.0860547	0.239396	0.372093	0.272739
a47	0.00101788	0.00139843	0.00132106	0.00145548	0.00201719	0.00814647	0.0181795	0.0738669	0.191403	0.370776	0.330418
a26	0.00118291	0.00196181	0.00169523	0.00180042	0.00216107	0.0114314	0.03224	0.0860347	0.229313	0.348334	0.283845
a57	0.00176887	0.00179044	0.00223926	0.00286786	0.00380875	0.0210617	0.034986	0.0844736	0.15486	0.346906	0.345237
a87	0.012588	0.00953162	0.00884255	0.00811523	0.00841048	0.0213149	0.0234704	0.0621633	0.112149	0.282252	0.451163
a10	0.0368775	0.0367011	0.0346544	0.0384203	0.0448884	0.053877	0.0435916	0.0764695	0.10043	0.229382	0.304709
a87	0.0494014	0.0502591	0.0450718	0.0437734	0.0439557	0.0455141	0.0440039	0.0708461	0.121179	0.213145	0.27285
a23	0.044197	0.0441509	0.0393072	0.0391244	0.0457203	0.0423795	0.0380327	0.071119	0.122843	0.225703	0.287422
a10	0.00575961	0.00463285	0.0046179	0.00456055	0.0080436	0.0233815	0.0389386	0.0666171	0.197029	0.245612	0.400807
a87	0.0103846	0.00664838	0.00635737	0.00564334	0.0084145	0.0198049	0.0293924	0.0520259	0.162542	0.26138	0.437407
</S>	0.00817976	0.00430486	0.00433848	0.00406725	0.00569264	0.0151739	0.021651	0.04233	0.144592	0.286647	0.463024
