 	celui	qui	cause	avec	moi	dans	ce	quartier	c'	est	toi	seul	</S>
a15	0.393324	0.226486	0.0930161	0.0604168	0.0533309	0.0366834	0.0269579	0.0184249	0.0146353	0.0156625	0.016345	0.0197821	0.0249346
a66	0.314647	0.162875	0.0873177	0.0685929	0.0602239	0.050129	0.0435356	0.0353178	0.0230965	0.0318837	0.033793	0.0403383	0.048249
a87	0.455616	0.217253	0.073869	0.0512905	0.0368494	0.030017	0.025073	0.0200612	0.0151133	0.0140102	0.0162265	0.0201924	0.0244287
a23	0.490004	0.26928	0.0864675	0.0423932	0.0203405	0.014513	0.0127608	0.011642	0.0100027	0.00953306	0.00966611	0.0106571	0.0127407
a79	0.391027	0.244257	0.108308	0.0532446	0.0226464	0.0138991	0.0134607	0.0161152	0.0184605	0.0212905	0.0262191	0.0303881	0.040685
a69	0.218173	0.167192	0.111429	0.090249	0.0698748	0.0541961	0.0469014	0.0346631	0.0318602	0.0312187	0.0382204	0.0447779	0.0612448
a94	0.15158	0.185735	0.172474	0.141238	0.0966434	0.0698466	0.0457049	0.0258568	0.0211189	0.0194632	0.0203791	0.0192823	0.0306777
a90	0.107415	0.175317	0.240099	0.163217	0.122627	0.0679919	0.0282376	0.012667	0.0117357	0.0128763	0.0144821	0.0149202	0.028414
a25	0.0723748	0.118407	0.219761	0.188953	0.166673	0.101789	0.0385532	0.0148316	0.0143011	0.0128134	0.0128691	0.0133646	0.025309
a76	0.0457532	0.0837432	0.171786	0.184812	0.199728	0.159317	0.0618486	0.0183906	0.0157711	0.0119785	0.0118786	0.0129928	0.0220005
a0	0.0465258	0.0774383	0.129987	0.165371	0.195082	0.177918	0.0743989	0.0258168	0.0210211	0.0165344	0.0171545	0.020876	0.0318755
a12	0.0476997	0.0732631	0.133206	0.19343	0.21464	0.161657	0.0589821	0.0201904	0.017547	0.0155689	0.0166598	0.0189231	0.0282328
a75	0.0307293	0.0479181	0.0911186	0.163774	0.222957	0.201082	0.0864294	0.0309325	0.0257459	0.021823	0.0220122	0.0228784	0.0325994
a85	0.0144743	0.0212451	0.039977	0.0751449	0.142239	0.166269	0.101985	0.0667123	0.0698056	0.0657312	0.0687218	0.0728216	0.0948731
