 	il	m'	a	beaucoup	fait	marcher	</S>
a23	0.381738	0.206262	0.122878	0.105063	0.0752688	0.0528125	0.0559776
a87	0.406952	0.213652	0.11862	0.082218	0.0579946	0.0645123	0.0560508
a30	0.303813	0.213828	0.129787	0.0917449	0.0747132	0.0883335	0.0977802
a53	0.235617	0.145929	0.0828888	0.0601362	0.0635633	0.130547	0.281319
a15	0.356328	0.202861	0.108258	0.0760843	0.0540102	0.0704592	0.132
a79	0.317048	0.237317	0.14215	0.0851926	0.0548143	0.0657373	0.0977402
a37	0.285141	0.23243	0.141925	0.0851276	0.05829	0.074638	0.122449
a5	0.209387	0.208199	0.15358	0.108513	0.0759454	0.0976005	0.146775
a96	0.16913	0.182232	0.16004	0.127132	0.0917197	0.109026	0.16072
a62	0.150766	0.165356	0.15649	0.13873	0.0973143	0.120103	0.171242
a0	0.148448	0.167609	0.176794	0.167193	0.106533	0.105984	0.127438
a62	0.10625	0.119227	0.134539	0.165529	0.120643	0.153299	0.200512
a75	0.051568	0.0653063	0.102588	0.189313	0.197727	0.206058	0.18744
a25	0.0540385	0.0592106	0.0753356	0.128469	0.157134	0.218181	0.307632
a56	0.0503522	0.0560738	0.0730097	0.132039	0.172145	0.22846	0.287921
a34	0.0176777	0.0201101	0.0316507	0.0830696	0.151443	0.288909	0.407141
a21	0.0172654	0.0204322	0.0324495	0.085792	0.153478	0.278241	0.412342
a62	0.00867899	0.00840275	0.0108585	0.0264068	0.0666907	0.245738	0.633224
a83	0.00255507	0.00242514	0.00378104	0.0130809	0.0451806	0.226085	0.706892
a9	0.00224579	0.00208365	0.00348694	0.0136093	0.047512	0.227822	0.70324
a87	0.00433005	0.00328743	0.00520591	0.0186993	0.0708286	0.262966	0.634683
a23	0.0299459	0.0232675	0.0312892	0.070517	0.13939	0.298468	0.407122
a87	0.00702101	0.00581183	0.00846797	0.0243179	0.0701268	0.294436	0.589819
</S>	0.0133028	0.0127732	0.0197324	0.0484271	0.110286	0.292378	0.503101
