 	la	graisse	de	boeuf	s'	est	coagulée	</S>
a15	0.274733	0.24312	0.220683	0.18836	0.0402591	0.0188751	0.00934383	0.00462656
a66	0.382937	0.220771	0.186437	0.137412	0.0343268	0.0180797	0.0136283	0.00640825
a87	0.371965	0.261786	0.186997	0.111687	0.0331463	0.0152893	0.00953322	0.00959549
a23	0.34381	0.281466	0.189805	0.118699	0.0325527	0.0134373	0.0101307	0.0100995
a40	0.279176	0.2899	0.196551	0.125026	0.0298368	0.0159161	0.0278773	0.0357158
a15	0.192231	0.151761	0.162263	0.181056	0.0895292	0.0708357	0.0858212	0.0665025
a79	0.175855	0.153242	0.145111	0.173077	0.156332	0.0843689	0.0760479	0.0359662
a90	0.144616	0.151662	0.170529	0.186849	0.191778	0.0881571	0.0491721	0.0172361
a98	0.120081	0.101154	0.120517	0.14451	0.24309	0.15517	0.0833671	0.0321115
a15	0.0597291	0.0495045	0.0657052	0.0821221	0.227934	0.23382	0.176768	0.104417
a79	0.0594207	0.0470377	0.0503671	0.0702228	0.213714	0.240328	0.181407	0.137503
a98	0.0714885	0.0462176	0.0480163	0.0641257	0.212192	0.21676	0.183897	0.157303
a79	0.0408929	0.0336081	0.0521664	0.0830005	0.251002	0.228642	0.169921	0.140767
a98	0.0454872	0.0364465	0.0665698	0.110202	0.276541	0.228293	0.142499	0.0939607
a15	0.0386913	0.0338089	0.0649548	0.103526	0.217593	0.21201	0.159693	0.169724
a7	0.02275	0.0219388	0.0627071	0.114619	0.25185	0.230293	0.145174	0.150668
a44	0.0095707	0.0093198	0.0258452	0.0441239	0.174271	0.279568	0.231769	0.225532
a56	0.00824449	0.00872408	0.0166993	0.0242262	0.0972938	0.209848	0.285132	0.349832
a75	0.00700469	0.00671657	0.0107266	0.013897	0.0562689	0.145401	0.288265	0.47172
a79	0.00263076	0.00260812	0.00410002	0.00545668	0.0262125	0.0882609	0.269206	0.601525
a7	0.000913424	0.000988168	0.0016974	0.00232207	0.0142757	0.0602558	0.213903	0.705644
a44	0.000490096	0.000905914	0.00178363	0.0018271	0.00575553	0.025209	0.19255	0.771479
a93	0.000660006	0.00108736	0.00200327	0.00232517	0.00919461	0.0340667	0.213838	0.736825
a44	0.00040447	0.000593131	0.000919537	0.00100699	0.00482201	0.0193974	0.148409	0.824448
a37	0.000558595	0.000861032	0.00144675	0.00195694	0.00848804	0.0291045	0.169217	0.788367
a26	0.000578837	0.000683684	0.00122219	0.00193238	0.0109256	0.0400972	0.191559	0.753001
a82	0.0172543	0.0212998	0.0468628	0.0543151	0.0874248	0.136766	0.226193	0.409884
a87	0.146578	0.108973	0.117634	0.0818745	0.0866973	0.100261	0.130288	0.227693
a23	0.199036	0.20507	0.226702	0.143337	0.070892	0.0503806	0.0521502	0.0524329
a99	0.052436	0.0407807	0.0315737	0.016865	0.0240562	0.0518894	0.188741	0.593658
a97	0.0209041	0.0144324	0.0121865	0.00794966	0.0246321	0.0706543	0.178941	0.6703
</S>	0.0133677	0.010813	0.01064	0.00870951	0.0322673	0.0718034	0.179917	0.672482
