 	j'	ai	acheté	du	poisson	à	la	femme	du	chef	</S>
a23	0.236382	0.143275	0.110059	0.102036	0.0862575	0.087567	0.0658493	0.0529765	0.0400986	0.0375926	0.0379063
a87	0.419849	0.123781	0.0597149	0.061115	0.0533562	0.0545051	0.0468365	0.0419541	0.0401593	0.0459142	0.0528151
a23	0.231426	0.15682	0.124095	0.104138	0.0695225	0.051613	0.0356993	0.0333069	0.0412982	0.0606211	0.0914607
a79	0.300601	0.198505	0.147888	0.0974088	0.0559991	0.0361478	0.0238891	0.0205796	0.0254748	0.0375327	0.055974
a75	0.425431	0.270601	0.167878	0.0628829	0.0308392	0.0168953	0.00769899	0.00430646	0.00391179	0.00398678	0.00556798
a14	0.272803	0.301201	0.234579	0.103769	0.0448356	0.0195099	0.00818399	0.0046169	0.00374076	0.00338202	0.00337935
a35	0.218723	0.268073	0.226556	0.125957	0.0698869	0.0384644	0.0196993	0.0115073	0.00795294	0.00653682	0.00664358
a24	0.233819	0.261703	0.232613	0.123255	0.0649727	0.0318621	0.0164809	0.0109078	0.00854761	0.00773499	0.00810454
a32	0.225822	0.21112	0.213123	0.138188	0.0842064	0.0436493	0.0231982	0.0168065	0.0143339	0.0140819	0.0154709
a54	0.183099	0.151555	0.164372	0.150445	0.123517	0.0805626	0.0446171	0.0302195	0.0234945	0.0230303	0.0250878
a73	0.123742	0.111989	0.136742	0.139733	0.130491	0.104905	0.0720939	0.0555851	0.0432379	0.0409743	0.0405069
a35	0.0596013	0.0586842	0.0890246	0.12683	0.14002	0.144639	0.104767	0.0804941	0.06194	0.0655229	0.0684776
a98	0.0993494	0.0964967	0.111876	0.125892	0.135962	0.128539	0.0892072	0.0681625	0.0519138	0.0476835	0.0449184
a14	0.0826713	0.0809551	0.0932128	0.100231	0.117223	0.118792	0.103415	0.0895658	0.0775022	0.0730435	0.0633889
a32	0.0759377	0.0775955	0.0750348	0.0685724	0.0798312	0.101812	0.118335	0.115164	0.102476	0.0990335	0.0862084
a11	0.0639496	0.0644236	0.0598609	0.0537099	0.0575897	0.0772979	0.117161	0.135498	0.126856	0.126776	0.116877
a75	0.0419784	0.0390371	0.0444575	0.0482593	0.0578004	0.0884322	0.114886	0.137792	0.13882	0.150006	0.138532
a41	0.0261997	0.0242234	0.0289801	0.0311521	0.0401393	0.0705526	0.119563	0.148304	0.161932	0.183199	0.165755
a35	0.0160983	0.0147763	0.0193311	0.0238355	0.0305749	0.0511886	0.104424	0.157518	0.188975	0.210332	0.182946
a73	0.014302	0.0127399	0.0173608	0.0222793	0.0283564	0.0459984	0.0952161	0.15264	0.190368	0.221678	0.199061
a35	0.0137242	0.0105729	0.0142863	0.0198313	0.0259316	0.044912	0.089328	0.148868	0.189528	0.226891	0.216127
a76	0.0145365	0.00945068	0.0112758	0.0143416	0.0192552	0.0346815	0.0762141	0.137111	0.190562	0.2427	0.249871
a41	0.0243626	0.016033	0.0175061	0.0181847	0.0238871	0.0370265	0.0730625	0.129032	0.1851	0.235709	0.240097
a32	0.0133891	0.00940793	0.0118506	0.0133411	0.016898	0.0269399	0.0533127	0.109055	0.181619	0.270123	0.294063
a75	0.00976808	0.00567362	0.00639919	0.00785465	0.0104525	0.0167503	0.0329168	0.0720754	0.151483	0.289911	0.396716
a76	0.0155556	0.00909034	0.0100978	0.0110868	0.0158373	0.0258663	0.0511141	0.098044	0.170592	0.274358	0.318358
a90	0.0177609	0.0116356	0.013914	0.015764	0.0212749	0.0319575	0.0564198	0.0988648	0.163833	0.258464	0.310111
a82	0.0235462	0.0107372	0.0121339	0.0153235	0.0200608	0.0290566	0.0467457	0.0795752	0.14508	0.258849	0.358892
a53	0.00845336	0.00307871	0.00232021	0.00366769	0.00602604	0.0120085	0.0289452	0.0672168	0.146139	0.299715	0.42243
a93	0.0169393	0.00814984	0.00763738	0.00909718	0.0111041	0.0186741	0.0306242	0.0647505	0.1334	0.27743	0.422194
a70	0.00892114	0.00336808	0.00294088	0.00505453	0.00726417	0.0129944	0.0267716	0.0635706	0.140589	0.290871	0.437654
a13	0.0150285	0.00471559	0.00362024	0.00598355	0.00907204	0.0157758	0.0309935	0.0607517	0.131449	0.284335	0.438275
a9	0.0268306	0.0106113	0.00661628	0.00776294	0.00991124	0.0169037	0.0316921	0.0609393	0.134203	0.285793	0.408737
a0	0.00993518	0.00535699	0.00442927	0.00456395	0.004652	0.00867922	0.0210443	0.0555517	0.142907	0.309277	0.433603
a9	0.00808744	0.00530286	0.00406214	0.00383998	0.00340049	0.00589422	0.01516	0.0483539	0.137672	0.321803	0.446424
a87	0.0294147	0.022412	0.0143649	0.0121635	0.00891064	0.0110178	0.0227655	0.0609467	0.141303	0.287279	0.389422
a23	0.0318402	0.0258036	0.0174057	0.0127898	0.0101017	0.0136859	0.0274809	0.0569789	0.12318	0.260502	0.420232
a87	0.035467	0.0271611	0.0187705	0.01582	0.0135905	0.0183253	0.0399598	0.082694	0.159812	0.260357	0.328043
</S>	0.0425385	0.0238217	0.0149985	0.0135465	0.0142332	0.0228285	0.0403692	0.0656858	0.124949	0.230764	0.406265
