 	les	femmes	se	dandinent	</S>
a57	0.544601	0.204473	0.127243	0.0673467	0.0563361
a40	0.191723	0.116539	0.157321	0.258463	0.275954
a85	0.337359	0.126465	0.109845	0.152834	0.273498
a21	0.473401	0.233953	0.112558	0.0604868	0.119602
a12	0.557231	0.281665	0.0891239	0.0300927	0.0418873
a75	0.429533	0.281595	0.147995	0.0687558	0.0721209
a70	0.373164	0.235227	0.153867	0.128767	0.108976
a98	0.389513	0.26681	0.149774	0.10638	0.0875236
a85	0.24035	0.254465	0.216856	0.156164	0.132165
a37	0.143545	0.175744	0.221833	0.258552	0.200326
a75	0.152944	0.187117	0.223582	0.227185	0.209172
a47	0.0729166	0.117164	0.206014	0.282947	0.320958
a88	0.0295253	0.0415671	0.0806502	0.329892	0.518365
a61	0.0297717	0.0397962	0.0753943	0.30432	0.550718
a0	0.0127237	0.0227515	0.0645453	0.324036	0.575944
a75	0.00271334	0.00516867	0.0171486	0.217647	0.757323
a85	0.00756095	0.0143811	0.0321543	0.195665	0.750238
a61	0.00961294	0.0166274	0.0358158	0.231809	0.706135
a75	0.00204662	0.00559168	0.0212759	0.240892	0.730194
a56	0.00397012	0.00898411	0.0252775	0.212452	0.749316
a66	0.00167763	0.00432764	0.0187042	0.221943	0.753348
a9	0.00860631	0.0147132	0.0401872	0.182248	0.754245
a97	0.0289712	0.0334387	0.0621104	0.181495	0.693985
a87	0.115985	0.0851215	0.106547	0.291396	0.40095
a23	0.0527084	0.0416143	0.0727523	0.397274	0.435651
a87	0.0120525	0.0106104	0.0209198	0.270807	0.68561
</S>	0.003487	0.0049905	0.0190539	0.266208	0.706261
