 	j'	ai	quitté	le	village	à	cause	de	toi	</S>
a66	0.244973	0.148076	0.108789	0.0897576	0.0912869	0.0935518	0.0869671	0.0644408	0.0418835	0.030275
a87	0.384334	0.177568	0.0842537	0.0746227	0.0757588	0.0784231	0.0595334	0.0346921	0.0181459	0.0126679
a23	0.355044	0.24549	0.114114	0.0636214	0.0515064	0.0443753	0.042017	0.0345336	0.0262826	0.0230159
a99	0.369123	0.254601	0.104861	0.0673261	0.0467571	0.03697	0.0299892	0.0261123	0.0278637	0.036396
a83	0.303825	0.243282	0.102917	0.0529122	0.0441055	0.0430358	0.0442745	0.0460058	0.053549	0.0660921
a88	0.320434	0.273072	0.0874238	0.0406601	0.0400163	0.0404475	0.0435102	0.0491092	0.0511739	0.0541531
a71	0.192753	0.25348	0.155953	0.0998542	0.0730287	0.0541319	0.0473704	0.044879	0.0401037	0.0384457
a62	0.127149	0.178889	0.163037	0.127467	0.0959718	0.0702393	0.0604906	0.0592674	0.0564409	0.0610487
a21	0.102876	0.158661	0.213584	0.18521	0.118646	0.0710481	0.0457029	0.0365613	0.0326232	0.0350866
a12	0.075542	0.114105	0.1864	0.185405	0.127256	0.0819016	0.0592907	0.0550585	0.0540182	0.0610228
a62	0.0690246	0.0837424	0.185556	0.205334	0.149708	0.0985031	0.0626239	0.048912	0.0455754	0.0510202
a88	0.0569343	0.0534435	0.148067	0.192676	0.173789	0.132369	0.0873737	0.0583296	0.0478344	0.0491838
a93	0.0234164	0.0206188	0.0868769	0.159596	0.171636	0.159496	0.127082	0.0951597	0.0774754	0.0786428
a70	0.0207226	0.0189696	0.0749137	0.14452	0.165515	0.163266	0.136604	0.105873	0.0849651	0.08465
a61	0.0159125	0.0128091	0.0357133	0.0803581	0.124611	0.152816	0.171508	0.154532	0.129011	0.122727
a21	0.00818825	0.00594619	0.0165972	0.0460282	0.0808901	0.110639	0.15481	0.187146	0.193917	0.195838
a5	0.00378887	0.00279219	0.00630614	0.0190254	0.0399105	0.0634871	0.112477	0.186254	0.261014	0.304945
a37	0.00159212	0.00110613	0.00226069	0.00724732	0.0179863	0.0338922	0.0756576	0.161409	0.303362	0.395487
a26	0.00106121	0.00064443	0.00114902	0.00326657	0.00910539	0.0232523	0.0607917	0.144778	0.309312	0.446639
a82	0.00624068	0.00372862	0.00276544	0.00473181	0.0127527	0.0345821	0.0806528	0.155913	0.291641	0.406992
a87	0.0513832	0.0316498	0.0220572	0.0324933	0.054472	0.0814635	0.123984	0.150262	0.204568	0.247668
a99	0.143052	0.102178	0.0653926	0.0810279	0.103788	0.106848	0.110506	0.0951994	0.0942655	0.0977429
a97	0.069571	0.049378	0.037514	0.046841	0.0654019	0.0906578	0.12329	0.151274	0.176249	0.189824
a87	0.0206238	0.0119856	0.0148274	0.026957	0.0347849	0.0463986	0.0728939	0.129951	0.23476	0.406818
a23	0.0745451	0.0416394	0.0377324	0.0549597	0.0597827	0.0646797	0.0818771	0.12334	0.189772	0.271671
a87	0.041233	0.0354093	0.0442231	0.0655534	0.0761141	0.0886688	0.106555	0.135068	0.180731	0.226444
</S>	0.0290772	0.0205197	0.0226117	0.034181	0.0434614	0.0584236	0.0797668	0.132877	0.226737	0.352345
