 	il	est	à	bout	de	forces	</S>
a30	0.465265	0.232339	0.125295	0.0380448	0.031435	0.0444722	0.0631493
a10	0.332381	0.182413	0.123547	0.0880788	0.0830119	0.0859833	0.104584
a11	0.258189	0.15484	0.121228	0.0765291	0.0791073	0.110205	0.199901
a53	0.177262	0.103731	0.0897236	0.084873	0.100858	0.15975	0.283803
a54	0.253682	0.177232	0.168503	0.121975	0.104384	0.0901301	0.0840938
a47	0.37844	0.277761	0.184958	0.0802131	0.0418936	0.0207873	0.0159472
a7	0.316195	0.301375	0.227817	0.0815751	0.0338551	0.0206279	0.0185545
a61	0.324217	0.293002	0.236272	0.0817868	0.0332068	0.0167024	0.0148132
a66	0.181629	0.201354	0.247652	0.184143	0.0958349	0.0511876	0.0381992
a25	0.128176	0.112889	0.141705	0.190173	0.182117	0.130007	0.114934
a38	0.0656511	0.0518678	0.0725771	0.140467	0.229176	0.237766	0.202495
a85	0.0514875	0.041739	0.0578476	0.120227	0.231023	0.284324	0.213351
a37	0.025875	0.023863	0.0359708	0.0868878	0.208995	0.363764	0.254644
a61	0.0224401	0.0221184	0.0340317	0.0719629	0.159312	0.346181	0.343954
a38	0.00994781	0.011584	0.0218367	0.0551062	0.135947	0.340446	0.425133
a27	0.00663172	0.00693981	0.0133704	0.0387035	0.108654	0.288426	0.537274
a75	0.00540757	0.0052572	0.00881973	0.0209712	0.0740146	0.227703	0.657826
a85	0.001287	0.00156527	0.00403267	0.0143225	0.0660699	0.314335	0.598388
a47	0.00575687	0.00700943	0.0155569	0.0438777	0.115268	0.300674	0.511857
a36	0.0142854	0.0154076	0.0282801	0.0620569	0.144993	0.327121	0.407855
a2	0.0138881	0.0146049	0.024468	0.0567213	0.142749	0.273748	0.473821
a57	0.0768545	0.0510348	0.047828	0.0507139	0.0883298	0.181473	0.503766
a10	0.204757	0.136066	0.0994121	0.0642018	0.0711376	0.12426	0.300166
a87	0.234323	0.173577	0.135105	0.0830919	0.0909606	0.123593	0.15935
a23	0.198988	0.153816	0.132184	0.0965701	0.115969	0.140295	0.162178
a87	0.0427187	0.0380005	0.0506732	0.0761984	0.16498	0.293304	0.334126
</S>	0.00981686	0.0103046	0.0184912	0.0480094	0.133865	0.349051	0.430463
