 	notre	vie	a	été	bouleversée	par	l'	arrivée	des	blancs	</S>
a23	0.215296	0.119947	0.122299	0.132745	0.113079	0.105527	0.0733333	0.0460391	0.0313997	0.0223804	0.0179553
a79	0.247147	0.135747	0.103087	0.106078	0.118238	0.116981	0.0727089	0.0406369	0.0245358	0.0180344	0.0168071
a20	0.18303	0.0996694	0.0746511	0.0743935	0.0910527	0.109096	0.0954929	0.0895742	0.0683687	0.0540398	0.0606317
a37	0.327702	0.139692	0.0920638	0.106701	0.0733645	0.0641344	0.0497288	0.0423763	0.0430176	0.0317057	0.0295145
a54	0.429939	0.190068	0.0891902	0.0975064	0.0579311	0.0382896	0.0245861	0.016965	0.0169201	0.0171079	0.0214964
a56	0.25376	0.155293	0.103009	0.118252	0.0922568	0.0777756	0.0535622	0.0361473	0.0353468	0.0349032	0.0396935
a37	0.263274	0.192853	0.113738	0.130093	0.0912997	0.0526478	0.0336362	0.0231664	0.0278656	0.0321145	0.0393114
a98	0.191423	0.161999	0.115465	0.134782	0.112688	0.0655924	0.0438742	0.0337974	0.0389602	0.0457271	0.0556917
a47	0.0860505	0.0824895	0.0745745	0.0895705	0.100164	0.0916865	0.0843485	0.0746992	0.084186	0.10675	0.12548
a26	0.0813287	0.0833843	0.0771199	0.0940494	0.11997	0.0876278	0.0666443	0.0607433	0.079578	0.108471	0.141083
a11	0.0621042	0.0822609	0.090231	0.127718	0.186809	0.116194	0.0797556	0.0558714	0.0540023	0.0639705	0.0810831
a75	0.0565042	0.0824159	0.0947425	0.122023	0.18617	0.109437	0.0732864	0.057583	0.059308	0.0703205	0.0882096
a47	0.0277236	0.0343126	0.0448212	0.060218	0.0894282	0.0786458	0.0859138	0.0947099	0.121069	0.161162	0.201996
a44	0.0259596	0.030466	0.0408254	0.0497239	0.0827225	0.0741514	0.0788926	0.0818474	0.116789	0.184778	0.233844
a26	0.0244207	0.0283808	0.0374375	0.0453695	0.089959	0.0782679	0.0902072	0.0955388	0.122491	0.173022	0.214906
a54	0.00992085	0.0118396	0.0176962	0.0228574	0.0456554	0.0409637	0.0587952	0.0871281	0.148628	0.231001	0.325515
a98	0.00787956	0.0128119	0.0185987	0.0239962	0.0445284	0.0500255	0.0660248	0.0897997	0.118913	0.211957	0.355465
a37	0.00564345	0.00876556	0.0134201	0.0184259	0.030649	0.0343123	0.0501943	0.0897437	0.146258	0.254299	0.348289
a43	0.00352085	0.00657314	0.0106067	0.0123291	0.0222783	0.0234915	0.0378921	0.0769546	0.144718	0.278706	0.382931
a75	0.00334923	0.00586514	0.00904605	0.00990837	0.0163785	0.0171372	0.0288182	0.0633915	0.128132	0.275767	0.442207
a85	0.00436285	0.00635488	0.00967703	0.0139015	0.0238552	0.0251098	0.0366688	0.0724192	0.140073	0.265169	0.402409
a37	0.00596211	0.00674518	0.00894788	0.0114199	0.0162244	0.0205351	0.0338646	0.0775978	0.161328	0.290104	0.36727
a43	0.000853767	0.0015356	0.00255126	0.00290895	0.00555977	0.00695081	0.0174154	0.0557829	0.126186	0.288906	0.491349
a61	0.000534558	0.000902012	0.00161663	0.00174675	0.00336296	0.00652705	0.0194739	0.0605177	0.120747	0.260572	0.524
a66	0.000951453	0.00140821	0.0021516	0.00219851	0.00426036	0.00617343	0.0151013	0.0479353	0.11222	0.273401	0.534199
a75	0.00114176	0.0015586	0.0023532	0.00250487	0.00429357	0.00882426	0.0230367	0.0569638	0.119757	0.253876	0.525691
a47	0.000843734	0.00102626	0.00160879	0.00209238	0.00430855	0.0077073	0.0187982	0.0537048	0.120648	0.290951	0.49831
a37	0.000232475	0.000372373	0.000740227	0.000977889	0.00181865	0.00467957	0.0171952	0.0591832	0.135209	0.29178	0.487811
a85	0.000728507	0.0010547	0.00166059	0.00176537	0.00260473	0.00704361	0.0211066	0.0553039	0.108365	0.255529	0.544838
a47	0.00135211	0.00185754	0.0027939	0.00311093	0.00408526	0.0120982	0.0273978	0.0655266	0.1094	0.246631	0.525747
a21	0.000719165	0.00099935	0.00161631	0.00186654	0.0026497	0.00910476	0.025187	0.0679265	0.124832	0.270746	0.494353
a85	0.00144843	0.00162063	0.00225236	0.00235497	0.00330977	0.00760768	0.0215845	0.0566258	0.110937	0.283792	0.508467
a36	0.00614896	0.00762575	0.0108293	0.0126197	0.0181974	0.0322789	0.0515457	0.10333	0.153118	0.271158	0.333148
a2	0.000779653	0.00131619	0.00216188	0.00225576	0.00339292	0.0111803	0.0336332	0.0854585	0.134447	0.265454	0.459921
a57	0.00776583	0.00786913	0.0123687	0.0154799	0.0207008	0.0509933	0.0832874	0.105095	0.127756	0.203678	0.365006
a87	0.0420288	0.032802	0.0372608	0.0411687	0.0565907	0.0892726	0.114204	0.122727	0.119335	0.149362	0.195248
a23	0.048679	0.0341496	0.0375175	0.0422713	0.0701028	0.0961519	0.126892	0.133299	0.138165	0.134102	0.138669
a87	0.0167222	0.0137695	0.0156228	0.0188772	0.0396788	0.0572305	0.0960719	0.132292	0.179366	0.227453	0.202916
a97	0.00399212	0.00499429	0.00845753	0.0108394	0.0236464	0.0391322	0.0731744	0.133081	0.184942	0.246016	0.271724
a57	0.0112576	0.0110515	0.0153781	0.0190172	0.0374902	0.0534267	0.0865769	0.131824	0.175932	0.213381	0.244665
</S>	0.018565	0.0177874	0.020526	0.0246579	0.0436425	0.0566605	0.0867643	0.122138	0.170875	0.204758	0.233625
