 	le	vent	soufflait	et	le	voyageur	avait	de	plus	en	plus	froid	</S>
a82	0.165062	0.107599	0.090941	0.0991852	0.0821243	0.073728	0.0572147	0.0611938	0.0676733	0.0638485	0.0552075	0.0455277	0.0306945
a10	0.277774	0.191699	0.155137	0.0842496	0.0466766	0.04635	0.0428658	0.0357619	0.0320272	0.026906	0.0205734	0.0186569	0.021323
a87	0.309418	0.253835	0.195511	0.0958145	0.0501098	0.0394223	0.0153026	0.0111455	0.00689589	0.00463222	0.00409805	0.00570731	0.00810764
a23	0.259756	0.272854	0.23358	0.107663	0.0477349	0.0363822	0.0110928	0.00790409	0.00479053	0.0038761	0.00353168	0.0045825	0.00625171
a87	0.220695	0.233548	0.262235	0.112366	0.0664182	0.0491681	0.0186879	0.0099422	0.00605262	0.00501589	0.00435794	0.0048497	0.00666341
a23	0.255213	0.204603	0.221335	0.0968104	0.0630204	0.0514451	0.0276595	0.0176375	0.0125969	0.0125249	0.0123804	0.0114119	0.0133626
a58	0.254137	0.197961	0.236541	0.0870493	0.0581553	0.0488209	0.0298955	0.0188139	0.0128428	0.013266	0.0121322	0.0125291	0.0178563
a82	0.10074	0.107096	0.221503	0.198433	0.119737	0.0722855	0.0440345	0.0294149	0.0199711	0.0226389	0.0186301	0.0178991	0.0276169
a53	0.0769445	0.10719	0.235849	0.206315	0.121174	0.0630898	0.0494416	0.0290477	0.0198344	0.0224681	0.0186024	0.0181491	0.0318958
a4	0.103551	0.131332	0.220128	0.184878	0.13735	0.0726173	0.0429012	0.032732	0.0204574	0.0168576	0.0120604	0.0106463	0.0144885
a57	0.073249	0.117023	0.20815	0.16124	0.132272	0.0825369	0.0592247	0.0534892	0.0344421	0.0263532	0.0181387	0.0149414	0.0189401
a53	0.0670419	0.104909	0.173422	0.15938	0.138084	0.0925559	0.0680611	0.0600062	0.0397755	0.0299457	0.0217065	0.0201319	0.0249812
a4	0.077166	0.0935759	0.144842	0.135871	0.139604	0.101057	0.0783699	0.0691747	0.0460632	0.0314414	0.0245744	0.0260757	0.0321837
a99	0.0556225	0.0660141	0.116097	0.142753	0.150746	0.116418	0.089814	0.0819461	0.0524618	0.0350351	0.0277302	0.0298627	0.0354985
a4	0.0356999	0.0397972	0.0674487	0.129662	0.156772	0.136788	0.111118	0.102276	0.0632202	0.0434292	0.0342468	0.0358087	0.0437335
a94	0.0217724	0.0213376	0.0378703	0.0932907	0.154564	0.137052	0.130958	0.118015	0.0810956	0.0561095	0.0450537	0.0459902	0.0568913
a38	0.0150064	0.0150738	0.02884	0.0704823	0.136915	0.139677	0.145128	0.129657	0.093453	0.0621698	0.0479301	0.0508055	0.0648625
a4	0.0132939	0.0110228	0.0190453	0.0404033	0.10219	0.12969	0.152797	0.137795	0.104965	0.0750394	0.0603642	0.0654215	0.0879734
a70	0.00985698	0.00967108	0.0190555	0.0418565	0.111688	0.143292	0.157442	0.129196	0.102925	0.0781976	0.0664204	0.0602549	0.070143
a44	0.0059027	0.00609337	0.0131332	0.0274195	0.0908193	0.152572	0.160485	0.125514	0.0971053	0.0745646	0.0715256	0.0766133	0.098252
