 	j'	ai	mal	à	la	tête	</S>
a79	0.411648	0.184606	0.13659	0.111217	0.0781694	0.0496079	0.0281623
a70	0.436944	0.222894	0.132501	0.0764741	0.0502139	0.0405465	0.0404266
a24	0.476253	0.259661	0.142126	0.0619332	0.0251945	0.0191955	0.0156376
a61	0.351301	0.312368	0.19197	0.0886602	0.0292141	0.0169276	0.00955863
a21	0.308312	0.27753	0.182645	0.115169	0.0555072	0.0379338	0.0229031
a75	0.206663	0.187909	0.175851	0.168773	0.11736	0.0924258	0.0510181
a41	0.132715	0.127422	0.182436	0.201418	0.151385	0.124605	0.0800185
a94	0.0963446	0.0952209	0.150654	0.197126	0.191374	0.164882	0.104399
a57	0.0558915	0.057514	0.122017	0.185437	0.208936	0.213175	0.15703
a53	0.0185556	0.0214293	0.0659114	0.129347	0.199437	0.275641	0.289679
a25	0.0172651	0.0160045	0.051108	0.0988986	0.186469	0.292733	0.337521
a94	0.015665	0.013745	0.0440096	0.0897357	0.170866	0.30161	0.364369
a24	0.0120265	0.00904057	0.025736	0.0579712	0.139499	0.318721	0.437005
a98	0.0155897	0.00980224	0.0187357	0.0382914	0.10629	0.305103	0.506188
a71	0.0140865	0.00887966	0.0175165	0.0314931	0.0846051	0.266708	0.576711
a38	0.00677051	0.00444436	0.00929073	0.0189849	0.0688673	0.267299	0.624344
a53	0.00895541	0.00416898	0.00771616	0.0145799	0.0601074	0.233096	0.671376
a93	0.0132446	0.00578682	0.00897832	0.014544	0.0502904	0.212383	0.694772
a4	0.00422533	0.00252483	0.00552923	0.0111138	0.045564	0.223339	0.707704
a13	0.0110151	0.00583653	0.0106496	0.0169821	0.0523398	0.226605	0.676572
a82	0.0294793	0.0162677	0.0210864	0.0265481	0.0657208	0.209513	0.631385
a87	0.0524335	0.0323379	0.0405573	0.0401652	0.0767257	0.189903	0.567877
</S>	0.0648714	0.0445329	0.0521408	0.0513676	0.0903545	0.204251	0.492481
