 	je	suis	venu	ici	pour	m'	entretenir	avec	toi	concernant	ce	qui	s'	était	passé	entre	nos	deus	femmes	</S>
a66	0.0816585	0.0652841	0.0542585	0.0664932	0.101598	0.102131	0.070388	0.0781178	0.0760038	0.0525892	0.0379776	0.04166	0.0389423	0.0410457	0.035309	0.0200601	0.0144049	0.00938592	0.00631635	0.00637656
a87	0.18518	0.124526	0.10234	0.0771947	0.0917904	0.131072	0.0802176	0.0311312	0.0214507	0.014458	0.0110613	0.0110568	0.0134358	0.0163528	0.0155755	0.0152463	0.0129223	0.0146135	0.0132651	0.0171101
a23	0.290455	0.186082	0.114792	0.0813537	0.0745784	0.0660219	0.0442072	0.029899	0.0298005	0.0133106	0.00739495	0.00985353	0.00956711	0.00874279	0.00767735	0.00598427	0.00456404	0.00498905	0.00510433	0.00562245
a99	0.307258	0.173385	0.125886	0.0728807	0.065592	0.0576116	0.047253	0.0243408	0.0271392	0.0155448	0.0104858	0.0130066	0.011643	0.0101655	0.00764561	0.00704351	0.00538184	0.00507799	0.00556215	0.0070968
a88	0.265054	0.157401	0.135249	0.090482	0.0939635	0.0707928	0.0430742	0.0195887	0.0241776	0.0174387	0.0127821	0.0111691	0.00877993	0.00825987	0.00585616	0.00718275	0.00610619	0.00593982	0.00737316	0.00932897
a31	0.157522	0.115319	0.127777	0.110573	0.139918	0.156767	0.0627855	0.0262073	0.0175139	0.00855175	0.00560937	0.00610556	0.00727717	0.00768021	0.00715579	0.00813571	0.00705893	0.00774775	0.00894741	0.0113471
a21	0.169563	0.148985	0.133836	0.0953229	0.129577	0.205864	0.0651907	0.0125523	0.00627975	0.0042146	0.00255907	0.00184812	0.00208544	0.00209694	0.00183862	0.00297353	0.00324891	0.00413044	0.00390342	0.00393048
a12	0.124689	0.12257	0.139535	0.0893596	0.143597	0.249647	0.0733434	0.013602	0.00716433	0.00470257	0.00335565	0.00207787	0.002219	0.00220713	0.00196797	0.00341656	0.0036757	0.00468754	0.00415197	0.00403127
a75	0.131534	0.147702	0.165491	0.0863095	0.124806	0.203798	0.0706041	0.013386	0.00890546	0.00584665	0.00427442	0.00282149	0.00275821	0.00276293	0.00230762	0.00418677	0.00444881	0.00649995	0.00591378	0.00564441
a6	0.109121	0.130797	0.147049	0.0762609	0.119433	0.215247	0.0820799	0.0182306	0.0113319	0.00944503	0.00829592	0.00464068	0.00428839	0.00401762	0.00374023	0.0074492	0.0093307	0.0143162	0.0130517	0.0118737
a36	0.134818	0.155474	0.155644	0.0816134	0.105052	0.170377	0.0752753	0.0194873	0.0143457	0.0110426	0.00903197	0.00649555	0.00586531	0.00576941	0.00475887	0.00677605	0.00691514	0.0103577	0.0110426	0.00985858
a41	0.0958144	0.100373	0.128065	0.0872847	0.111799	0.145112	0.093885	0.0449574	0.0381354	0.024489	0.0176093	0.0179881	0.0149393	0.0149581	0.0119157	0.0108883	0.00999623	0.0102008	0.0111141	0.0104754
a21	0.0582232	0.0588127	0.0852517	0.0749156	0.104735	0.115922	0.109572	0.0603508	0.0503704	0.0407158	0.033256	0.0335837	0.0320542	0.0293325	0.0267881	0.0218888	0.0189679	0.0159779	0.0154038	0.0138767
a47	0.0310846	0.0318163	0.0521267	0.0603988	0.0948133	0.0974272	0.12134	0.0824433	0.0727666	0.0572811	0.0477007	0.0460587	0.0445133	0.0390726	0.0365124	0.027691	0.0214899	0.0135832	0.0114476	0.0104332
a61	0.00903437	0.00866897	0.0170124	0.0327494	0.062476	0.0411777	0.0857828	0.10919	0.108723	0.0814125	0.0692841	0.0698897	0.0669669	0.0594847	0.0590898	0.0395434	0.0323032	0.0185025	0.0146173	0.0140918
a75	0.00775551	0.00665861	0.0125102	0.0237365	0.051275	0.0296514	0.0674758	0.120239	0.124225	0.08941	0.073742	0.0798379	0.0774567	0.067109	0.063826	0.0376142	0.0273268	0.0151534	0.0122687	0.012728
a92	0.00240781	0.00217108	0.00383949	0.00814584	0.018493	0.013732	0.0302134	0.0814173	0.0902062	0.0828112	0.0847302	0.0889968	0.0933727	0.0746113	0.0862514	0.0695953	0.066129	0.0425017	0.0308721	0.0295022
a85	0.00217503	0.00189599	0.00339063	0.00735476	0.017749	0.0116908	0.0233848	0.0791801	0.0993	0.0881599	0.0883707	0.0893187	0.0910698	0.0751882	0.0881198	0.0691867	0.066489	0.0409141	0.0290803	0.0279819
a6	0.00169713	0.00152752	0.00278733	0.00727722	0.0153711	0.0100194	0.0155887	0.059179	0.0851809	0.0772104	0.0865024	0.0991602	0.0971568	0.0783637	0.0944462	0.0722654	0.0796685	0.0523478	0.0334984	0.030752
a36	0.00165566	0.00137876	0.00212794	0.00410717	0.0102761	0.00647475	0.012851	0.0529067	0.104601	0.120606	0.117065	0.115668	0.10328	0.0773855	0.0819948	0.0558511	0.0552072	0.030054	0.0214787	0.0250301
a79	0.00649717	0.00583518	0.00798839	0.011866	0.0215829	0.0127963	0.00968549	0.0294648	0.0825692	0.136988	0.163219	0.144524	0.0982089	0.0748855	0.0632204	0.0359468	0.029817	0.0198634	0.0181572	0.0268841
a7	0.00212873	0.00158128	0.00233881	0.00416948	0.00912977	0.0065736	0.0093053	0.0321857	0.0708074	0.112382	0.130888	0.123134	0.0989276	0.0681083	0.0717294	0.0517725	0.0641982	0.0490811	0.0400155	0.0515427
a84	0.00946079	0.00846966	0.0112266	0.0155753	0.0249127	0.0160532	0.0110681	0.0272203	0.0612971	0.122629	0.181542	0.146451	0.0910676	0.0623362	0.0548732	0.0346283	0.0315533	0.0247218	0.0264366	0.0384781
a82	0.0234251	0.0213127	0.0273733	0.0339904	0.0474797	0.0330366	0.0258416	0.0520852	0.0853947	0.125168	0.141854	0.111264	0.0732897	0.0544569	0.0434706	0.0246126	0.0202626	0.0160507	0.0161486	0.0234828
a87	0.0430244	0.0316301	0.0324093	0.0310965	0.0456908	0.0343069	0.031203	0.0601819	0.106928	0.119858	0.123218	0.0809336	0.0530168	0.0435237	0.0349109	0.0258416	0.0246046	0.0252467	0.0230052	0.0293704
a23	0.0984308	0.0663961	0.053533	0.0391962	0.0718622	0.0632871	0.057973	0.0314252	0.0509836	0.0532749	0.0617998	0.0261179	0.0210745	0.0195338	0.0191855	0.0253122	0.0315937	0.0479132	0.0607756	0.100332
a83	0.0231483	0.0131292	0.010575	0.0099668	0.021506	0.0197254	0.0294526	0.0292964	0.0427334	0.0422735	0.0513797	0.0391669	0.0411742	0.0377372	0.0498334	0.0435217	0.0616314	0.0900799	0.117207	0.226462
a94	0.0056175	0.00372136	0.00461298	0.00420783	0.0129746	0.00755289	0.012964	0.0151312	0.0201129	0.0264107	0.0387759	0.0188758	0.0198429	0.0184601	0.0211008	0.0395342	0.0691375	0.199005	0.206958	0.255004
a76	0.00290904	0.00208092	0.00312283	0.0034638	0.011688	0.00794539	0.0142005	0.0187418	0.022203	0.0230407	0.0327115	0.0233065	0.0260438	0.0272645	0.0357149	0.0658597	0.0944335	0.200493	0.184019	0.200758
a25	0.0019641	0.00214299	0.00227694	0.00220753	0.00492496	0.00409787	0.00742851	0.0110624	0.016328	0.0266766	0.0342425	0.0210047	0.0213408	0.0198543	0.0253832	0.044028	0.0772664	0.22643	0.225429	0.225911
a85	0.00112599	0.00140008	0.00184282	0.00216127	0.00545631	0.00394051	0.00839447	0.0153724	0.0215894	0.0366641	0.0557077	0.0401258	0.0369299	0.0291758	0.0410661	0.0695463	0.108453	0.168635	0.185016	0.167397
a5	0.00105049	0.00127814	0.00166977	0.00254556	0.00600639	0.00451458	0.00851444	0.0168405	0.0241541	0.0411017	0.0572673	0.041108	0.0392221	0.0297227	0.0379819	0.0623619	0.0996081	0.169895	0.186444	0.168714
a61	0.00131141	0.00120026	0.00138885	0.00246259	0.00575147	0.00425435	0.00718332	0.0244542	0.0384422	0.0498502	0.0658691	0.0688041	0.06816	0.0563226	0.0674508	0.0753126	0.0842821	0.122834	0.13606	0.118606
a12	0.00174027	0.00164879	0.00185131	0.00325602	0.0061626	0.0054574	0.00634732	0.0272959	0.0571918	0.0657249	0.083663	0.100647	0.0864492	0.0826791	0.0822425	0.0674917	0.0740134	0.0845259	0.0877041	0.073908
a47	0.00134916	0.00133897	0.00181437	0.00353435	0.00720421	0.00612655	0.0066022	0.0266546	0.0564924	0.0685715	0.0888978	0.100064	0.0757135	0.0775603	0.068717	0.057621	0.0684263	0.0938774	0.100184	0.0892509
a21	0.00142561	0.00125977	0.002175	0.00413655	0.00985837	0.00700007	0.00674183	0.0299531	0.0630564	0.0830701	0.109331	0.120765	0.0896921	0.0825701	0.0738033	0.0589958	0.0641282	0.0692208	0.0634882	0.0593288
a85	0.00199167	0.00177379	0.00255863	0.00525578	0.00960897	0.00906461	0.0072412	0.0254714	0.0513728	0.064631	0.0842518	0.0976594	0.069577	0.0708314	0.0636803	0.0531783	0.0734785	0.107758	0.104197	0.096418
a47	0.000415706	0.000362862	0.000465338	0.000803564	0.00156516	0.00124213	0.00140743	0.00849242	0.0248199	0.0423559	0.0568349	0.0681767	0.0566071	0.0454119	0.0532061	0.0525098	0.0980753	0.150626	0.161953	0.174669
a36	0.00102856	0.000752563	0.000883967	0.00128917	0.0021307	0.0018684	0.00214096	0.00804941	0.0196832	0.0522695	0.0772536	0.0787112	0.0532437	0.0361525	0.0391534	0.0370582	0.0684324	0.124361	0.182813	0.212725
a54	0.0110461	0.0075759	0.00818272	0.00897794	0.0120363	0.00911495	0.00630202	0.0135783	0.0218861	0.0433869	0.067689	0.0549931	0.0370442	0.024762	0.0229095	0.0214549	0.0362957	0.102172	0.21628	0.274313
a85	0.00186332	0.00127561	0.00143224	0.00171611	0.00274397	0.00290292	0.003334	0.00794243	0.0120917	0.0240945	0.0356702	0.0369703	0.0305832	0.0206971	0.0273148	0.027604	0.0551137	0.144319	0.257286	0.305045
a5	0.000302974	0.000245243	0.000273836	0.000330841	0.000506919	0.000489866	0.000753458	0.00274644	0.00624224	0.0163368	0.0271134	0.0273096	0.0225553	0.0143092	0.0213132	0.0240769	0.0564247	0.138032	0.257424	0.383213
a21	0.00160257	0.00115682	0.00133236	0.00189602	0.00320386	0.00265437	0.00233752	0.00894785	0.018993	0.0332618	0.0469375	0.0448933	0.0333323	0.0239695	0.0244119	0.0246886	0.048988	0.138432	0.241034	0.297927
a85	0.00160086	0.00133547	0.00155575	0.0022466	0.00342868	0.0030983	0.00257985	0.00826343	0.0170518	0.0284867	0.0411002	0.0378286	0.0278818	0.0218891	0.021939	0.0235714	0.0489523	0.1397	0.240943	0.326548
a6	0.000479378	0.00036982	0.000388941	0.000553399	0.000790729	0.000623685	0.000735043	0.00223864	0.0053505	0.0122513	0.0182472	0.0197201	0.0174325	0.0123248	0.0183482	0.023478	0.0639389	0.174793	0.269485	0.358451
a98	0.000516585	0.000384375	0.000401101	0.000450945	0.000761672	0.000713509	0.00125977	0.00375591	0.00674872	0.0191911	0.0297009	0.0256262	0.02176	0.0132306	0.0185757	0.022475	0.049967	0.123402	0.263452	0.397628
a47	0.000561194	0.000367737	0.000401147	0.000541904	0.000917142	0.000812024	0.0014338	0.00471159	0.00724285	0.0194328	0.0287201	0.0263378	0.0236637	0.0142454	0.0201424	0.0240579	0.0504863	0.110491	0.253262	0.412171
a0	0.0014193	0.000780487	0.000861453	0.00109504	0.00152953	0.00102614	0.0011791	0.00389224	0.00616156	0.0141216	0.0210683	0.0192592	0.0170583	0.00916913	0.0120434	0.0137353	0.0283661	0.0918239	0.261325	0.494085
