 	voici	l'	homme	en	question	</S>
a15	0.301642	0.214547	0.178482	0.130775	0.104748	0.069807
a10	0.166885	0.181503	0.198047	0.16988	0.155713	0.127972
a82	0.25811	0.156485	0.136639	0.121936	0.154199	0.172631
a9	0.330834	0.191126	0.135023	0.106753	0.121723	0.114541
a38	0.370323	0.216706	0.13841	0.0986161	0.0990189	0.0769268
a62	0.427524	0.206918	0.126128	0.0902099	0.0825352	0.0666856
a47	0.341063	0.186544	0.132374	0.114511	0.110053	0.115456
a70	0.341425	0.221021	0.140127	0.109564	0.0899385	0.0979245
a98	0.413971	0.253132	0.130626	0.0770615	0.0595786	0.0656317
a85	0.365413	0.233859	0.138702	0.0956121	0.0791776	0.0872361
a18	0.321978	0.222445	0.157872	0.115331	0.0947344	0.0876401
a21	0.175011	0.146651	0.13876	0.145133	0.170933	0.223512
a85	0.248548	0.212505	0.175359	0.134175	0.117884	0.111529
a37	0.166332	0.176902	0.180883	0.163622	0.164733	0.147527
a21	0.0780017	0.0891323	0.121866	0.173598	0.235795	0.301607
a61	0.0812558	0.105785	0.145448	0.190364	0.239337	0.237811
a21	0.0445971	0.0545345	0.0894014	0.159614	0.270653	0.3812
a47	0.0292726	0.042816	0.0751325	0.148366	0.294374	0.410038
a88	0.0186831	0.0270234	0.0494225	0.114293	0.287901	0.502677
a24	0.00467567	0.00819125	0.0200604	0.0727816	0.249009	0.645282
a83	0.00348988	0.00619402	0.0155879	0.061226	0.22711	0.686392
a9	0.00424723	0.00670255	0.0152677	0.0542417	0.210188	0.709353
a87	0.0273999	0.0288607	0.0413424	0.086557	0.232115	0.583725
a23	0.103614	0.07548	0.0806328	0.119987	0.260646	0.35964
a99	0.0699123	0.0514145	0.0608453	0.100652	0.235813	0.481363
a87	0.0336965	0.0300083	0.0433351	0.0903479	0.24532	0.557292
a10	0.0164033	0.0156834	0.0275765	0.0721456	0.239827	0.628365
a38	0.0471394	0.0392977	0.0559643	0.10803	0.249661	0.499907
a97	0.0639815	0.0590037	0.0794904	0.127881	0.251342	0.418301
a87	0.052433	0.0540343	0.0814913	0.137111	0.243115	0.431816
</S>	0.0404315	0.0371676	0.0578207	0.114431	0.245069	0.50508
