 	avant	de	mourir	jésus	lança	une	parole	"	tout	est	accompli	"	</S>
a66	0.178563	0.162335	0.147153	0.100909	0.0981602	0.131743	0.0722699	0.0486575	0.0290567	0.0117769	0.00868967	0.00558712	0.00509865
a87	0.312986	0.157444	0.0800027	0.0508595	0.052399	0.0697956	0.0518626	0.0473087	0.0358661	0.0400387	0.0385396	0.0310299	0.0318684
a23	0.162198	0.132242	0.0996695	0.108573	0.109424	0.10997	0.0499807	0.038061	0.0289228	0.0314746	0.0397641	0.044963	0.044757
a30	0.128888	0.0902392	0.067105	0.102748	0.111268	0.104121	0.0605277	0.04994	0.033009	0.0422285	0.0620376	0.0655473	0.08234
a13	0.128968	0.0999508	0.0795966	0.112511	0.134832	0.149115	0.0843882	0.0635391	0.0350473	0.0295035	0.0267659	0.0257012	0.0300812
a93	0.284151	0.217171	0.190324	0.0771106	0.0598102	0.0628879	0.0241251	0.0200141	0.0164393	0.0132988	0.01339	0.010065	0.0112123
a56	0.205131	0.19703	0.185269	0.102394	0.0683909	0.0756539	0.0334107	0.0272913	0.02539	0.0246387	0.0254664	0.0164576	0.0134769
a75	0.152096	0.183081	0.172082	0.100364	0.0760488	0.0873555	0.042861	0.0355862	0.0307259	0.0310863	0.036891	0.0285381	0.0232836
a56	0.0951963	0.139441	0.145641	0.0898096	0.0686311	0.0812301	0.0586597	0.0511658	0.0452727	0.0497961	0.0717558	0.0549991	0.048402
a12	0.094966	0.127042	0.149014	0.115279	0.0874666	0.102827	0.0680805	0.0474616	0.0349614	0.034705	0.0479914	0.0467758	0.043429
a47	0.0888435	0.115951	0.126423	0.121857	0.092535	0.116046	0.0895512	0.0675041	0.0450796	0.0328986	0.0357128	0.0346683	0.0329295
a56	0.055056	0.0885524	0.130731	0.151132	0.0947862	0.117402	0.0909897	0.0673657	0.0476524	0.0396666	0.0381492	0.0397129	0.0388037
a93	0.0541822	0.0887986	0.120928	0.144388	0.0915287	0.118433	0.0981158	0.075995	0.05193	0.034948	0.0353727	0.0411541	0.0442256
a90	0.0444764	0.077946	0.11356	0.15115	0.0985209	0.127427	0.109032	0.0800612	0.0542019	0.034166	0.031751	0.0373604	0.0403479
a15	0.0240646	0.0487621	0.0847745	0.129532	0.0865612	0.10826	0.100559	0.086144	0.0823349	0.0625072	0.0567082	0.0596094	0.0701825
a98	0.0139209	0.0229619	0.0364231	0.092591	0.0956812	0.130498	0.139136	0.125074	0.0845466	0.060338	0.0529591	0.0627902	0.0830803
a47	0.0145527	0.0292623	0.0465951	0.0943332	0.118872	0.135648	0.154142	0.133298	0.0948513	0.0567942	0.0353143	0.0364238	0.0499136
a36	0.0169061	0.0286154	0.0466435	0.10704	0.111393	0.125692	0.160284	0.136664	0.0958062	0.0550074	0.0333094	0.0338252	0.0488134
a2	0.0117708	0.0177015	0.0237124	0.0694599	0.093741	0.140681	0.21828	0.178803	0.0787626	0.0433791	0.034004	0.0393315	0.0503732
a57	0.0252074	0.0333736	0.0506093	0.0892133	0.124124	0.118235	0.149508	0.144284	0.0670891	0.0441891	0.0363087	0.0500955	0.0677641
a87	0.0298345	0.0343323	0.0439195	0.0840848	0.136644	0.130906	0.146944	0.136538	0.0688976	0.0447352	0.0393959	0.0464082	0.0573591
a23	0.0877552	0.069521	0.055057	0.0568616	0.116543	0.1019	0.0816174	0.0824202	0.0635396	0.0612885	0.0798578	0.0705046	0.0731345
a99	0.0470035	0.0510672	0.0682896	0.0744984	0.0866724	0.0953183	0.0860255	0.108174	0.0985985	0.0831196	0.0725252	0.0585733	0.0701342
a50	0.0092805	0.0123691	0.0221079	0.0215273	0.0374246	0.0366206	0.0428151	0.0538688	0.0860683	0.132899	0.18566	0.150537	0.208823
a88	0.00472402	0.00566134	0.00702165	0.00881	0.0128245	0.0171227	0.0236034	0.0354594	0.0700589	0.127046	0.223931	0.205559	0.258178
a0	0.00284941	0.0032822	0.00306049	0.00436096	0.00568776	0.00883829	0.017761	0.0365806	0.07068	0.115835	0.230604	0.231449	0.269011
a75	0.00368997	0.00372936	0.0032288	0.00568243	0.00975926	0.0168731	0.0397584	0.0771976	0.0976942	0.13144	0.204639	0.195194	0.211114
a79	0.00276122	0.00351803	0.0045453	0.00591835	0.0106786	0.0116443	0.0211448	0.038505	0.0678639	0.122012	0.215827	0.215923	0.27966
a15	0.00384619	0.00570064	0.00875816	0.0138428	0.0248577	0.0254626	0.0390653	0.055531	0.0679463	0.104668	0.180786	0.20461	0.264925
a20	0.00402317	0.00731091	0.0123506	0.0183744	0.0292204	0.0301837	0.0485541	0.0701476	0.0763967	0.112024	0.169342	0.188201	0.233872
a0	0.00253809	0.00416436	0.00658668	0.0115954	0.0203297	0.0194173	0.0310916	0.0517591	0.0585909	0.0953103	0.16484	0.228219	0.305557
a93	0.0014204	0.00175709	0.00254069	0.00463015	0.00767883	0.00851801	0.013998	0.0252457	0.041796	0.0942906	0.190698	0.250319	0.357108
a11	0.0014693	0.00169244	0.00197721	0.00415431	0.00560228	0.00697117	0.0119901	0.0226445	0.0389179	0.0827725	0.186056	0.274724	0.361028
a75	0.000810502	0.000928975	0.00110828	0.00186404	0.0026585	0.00377932	0.0075684	0.0167256	0.0284061	0.0704236	0.154201	0.289405	0.42212
a56	0.000464663	0.000537498	0.000689404	0.00139408	0.00199804	0.00234181	0.00479672	0.0117655	0.0252915	0.0726899	0.158056	0.288457	0.431517
a90	0.000679665	0.000816519	0.0010631	0.00181867	0.00223172	0.00283171	0.00543814	0.0108221	0.0205813	0.0593284	0.129495	0.295772	0.469122
a92	0.000713225	0.000828861	0.00101848	0.00172686	0.00216457	0.00259833	0.00510371	0.0118812	0.0244759	0.0663759	0.132904	0.289003	0.461206
a98	0.000352865	0.000425841	0.000589112	0.00121866	0.00160337	0.00176411	0.00406054	0.0088679	0.0151437	0.0532259	0.109413	0.295469	0.507867
a15	0.000290786	0.000472404	0.000863397	0.00217271	0.0028565	0.002707	0.00641823	0.0117539	0.0184772	0.057721	0.106513	0.272699	0.517055
a98	0.000689307	0.00093698	0.00143414	0.00224735	0.00309367	0.00318286	0.00626316	0.0136876	0.0217162	0.0680765	0.126808	0.263554	0.488311
