 	l'	éléphant	ne	met	bas	qu'	un	seul	petit	</S>
a66	0.409543	0.183578	0.0921874	0.060992	0.0714103	0.0757196	0.0510319	0.025277	0.0155378	0.0147233
a87	0.388053	0.208606	0.11538	0.0708525	0.0530358	0.0533602	0.0370082	0.0230646	0.022923	0.0277164
a23	0.328771	0.247408	0.123412	0.0775731	0.0501117	0.0445915	0.0381114	0.0298018	0.0282547	0.0319656
a97	0.249786	0.300502	0.155217	0.0793709	0.0398628	0.0279824	0.0240254	0.0283663	0.0363454	0.0585422
a38	0.216754	0.235638	0.18846	0.128653	0.0742652	0.0418683	0.0284484	0.0265916	0.0274353	0.0318868
a53	0.22137	0.289048	0.19339	0.0823605	0.0398369	0.0248702	0.0245261	0.0333632	0.0396367	0.0515991
a12	0.236392	0.333118	0.225674	0.0924414	0.044841	0.020887	0.014368	0.0119595	0.0098033	0.0105153
a21	0.129241	0.297225	0.271263	0.14796	0.0674528	0.0278555	0.0176406	0.0148493	0.0126645	0.0138488
a6	0.102761	0.207436	0.270598	0.184966	0.111303	0.0492248	0.0255755	0.0174582	0.0143596	0.0163174
a47	0.0797785	0.151097	0.234358	0.202052	0.12906	0.0755807	0.0449795	0.0296144	0.0249484	0.0285318
a15	0.0475046	0.0923438	0.231117	0.226084	0.159468	0.0882795	0.049823	0.0365141	0.0312555	0.0376105
a7	0.0475514	0.0804465	0.206105	0.211006	0.172127	0.101991	0.0563126	0.041688	0.0366566	0.0461151
a90	0.0342498	0.0487803	0.110035	0.167041	0.171483	0.123665	0.0781332	0.0773225	0.0837671	0.105522
a98	0.0482823	0.0698097	0.120108	0.184087	0.164112	0.116699	0.0753335	0.0636051	0.0667669	0.0911977
a85	0.0344969	0.0512092	0.0714828	0.101654	0.126217	0.122448	0.112568	0.116434	0.113493	0.149997
a6	0.0179915	0.0206058	0.0317261	0.0531161	0.0984102	0.136612	0.144313	0.15624	0.149941	0.191044
a36	0.0118332	0.0130459	0.0205585	0.03752	0.0859569	0.15006	0.16953	0.163659	0.148347	0.19949
a75	0.00594801	0.00608906	0.00964428	0.0207049	0.0449127	0.109409	0.179097	0.206555	0.179042	0.238598
a47	0.00356213	0.00352936	0.00583816	0.0107769	0.0282138	0.0813747	0.157258	0.220015	0.209884	0.279547
a7	0.0018932	0.00197634	0.00338373	0.00654725	0.0175184	0.0509002	0.120182	0.220949	0.23284	0.34381
a79	0.00233141	0.00222328	0.00346532	0.00730707	0.0115747	0.0260468	0.0603833	0.166314	0.270183	0.450171
a7	0.0016594	0.00170484	0.00303289	0.00695242	0.0119576	0.0254007	0.0594348	0.180619	0.288999	0.420239
a79	0.00146711	0.00140673	0.00210758	0.00378471	0.00475434	0.00920422	0.0248513	0.11835	0.312908	0.521165
a69	0.00134574	0.0011551	0.00174434	0.0031883	0.00394213	0.00775026	0.022191	0.106942	0.326522	0.525219
a58	0.00116759	0.000923184	0.00136045	0.00257989	0.0042161	0.00936656	0.0258328	0.107881	0.322944	0.523729
a4	0.00225415	0.00184975	0.0030847	0.00478828	0.00694776	0.0142713	0.0325898	0.10704	0.297923	0.529251
a57	0.00213535	0.00150111	0.00211928	0.00364356	0.00478957	0.0101971	0.0307754	0.11786	0.327449	0.49953
a82	0.00206677	0.00154137	0.00244208	0.00416337	0.00551741	0.0124392	0.0337769	0.116347	0.317765	0.503941
a87	0.0717947	0.0428305	0.0333258	0.0386604	0.0437375	0.0596262	0.0796343	0.132134	0.212326	0.28593
a23	0.317043	0.208763	0.0973156	0.0665588	0.0555015	0.0552537	0.0504339	0.0485596	0.0505769	0.0499943
a87	0.154855	0.100762	0.0661562	0.066705	0.0563037	0.0609951	0.0675117	0.106191	0.159453	0.161067
a23	0.0299895	0.0263044	0.0262706	0.032723	0.0262707	0.0438729	0.0806929	0.168672	0.246384	0.318819
</S>	0.053899	0.0420519	0.0359018	0.044102	0.042612	0.0721425	0.10752	0.1646	0.203083	0.234087
