 	je	noue	le	pan	de	mon	habit	</S>
a10	0.331543	0.194756	0.182827	0.12432	0.0627559	0.0402922	0.0337423	0.0297624
a87	0.266145	0.16747	0.131007	0.146981	0.0903318	0.0619575	0.0540872	0.0820216
a23	0.249353	0.26439	0.154568	0.122508	0.060207	0.0448098	0.0380212	0.0661423
a87	0.344126	0.308627	0.163462	0.0862109	0.0319052	0.0232394	0.0163815	0.0260481
a23	0.356196	0.262921	0.163081	0.0804033	0.0318501	0.0278199	0.0292058	0.0485228
a83	0.563832	0.170486	0.092725	0.0566538	0.0266246	0.0258707	0.0263191	0.0374895
a54	0.588236	0.200926	0.112518	0.0586831	0.0148575	0.00915278	0.00668616	0.00894095
a6	0.39691	0.182911	0.169694	0.124146	0.0495102	0.0299794	0.0215031	0.025346
a37	0.367688	0.207697	0.184371	0.123378	0.0488862	0.0277206	0.0179989	0.0222604
a61	0.287809	0.240623	0.2072	0.126978	0.0559168	0.0312571	0.0208003	0.0294154
a0	0.298672	0.264558	0.198004	0.11345	0.0553304	0.0288543	0.0183112	0.0228214
a11	0.162312	0.282665	0.227239	0.136861	0.0741022	0.0440898	0.0344357	0.0382956
a24	0.152894	0.266705	0.206754	0.133143	0.0790996	0.0499089	0.0495583	0.061938
a70	0.0945441	0.222486	0.198552	0.15814	0.121523	0.0649342	0.0637928	0.0760265
a75	0.0901494	0.229547	0.218067	0.180987	0.129704	0.0668761	0.0430092	0.0416593
a6	0.075456	0.146777	0.167899	0.16269	0.149266	0.117848	0.0879541	0.0921093
a37	0.0531205	0.0987343	0.13065	0.141387	0.178233	0.155996	0.11799	0.123889
a96	0.0571972	0.0844527	0.103902	0.133209	0.194346	0.176389	0.12846	0.122044
a66	0.0627327	0.102213	0.131918	0.164331	0.209586	0.144343	0.0925599	0.0923161
a9	0.0517483	0.0974693	0.12991	0.146911	0.211196	0.134656	0.104252	0.123858
a27	0.027507	0.0628315	0.0921082	0.110068	0.216131	0.150475	0.143186	0.197693
a38	0.0307199	0.0467817	0.062978	0.100477	0.169717	0.145579	0.184076	0.259671
a34	0.0509913	0.0582691	0.0830282	0.0918846	0.121219	0.128262	0.174278	0.292068
a96	0.0416114	0.0618128	0.0957143	0.136383	0.199139	0.163053	0.137204	0.165082
a34	0.0302966	0.0420455	0.0584287	0.100553	0.194681	0.183942	0.169898	0.220156
a90	0.0182239	0.0234165	0.0365841	0.0592644	0.158496	0.184354	0.212835	0.306826
a69	0.0134273	0.0178572	0.0299968	0.0480656	0.170945	0.229093	0.241504	0.24911
a58	0.0108038	0.0147861	0.023425	0.0327113	0.104202	0.172137	0.272626	0.369309
a7	0.00347068	0.00390189	0.00636949	0.0111523	0.0425742	0.107957	0.290494	0.53408
a44	0.002963	0.00318419	0.00541599	0.0105636	0.0378899	0.0993369	0.286564	0.554082
a26	0.0032243	0.00401457	0.00712978	0.0123152	0.047057	0.114422	0.289226	0.522611
a57	0.00180617	0.0019364	0.00288236	0.00578346	0.0245821	0.0824941	0.286639	0.593877
a44	0.00734153	0.00501323	0.00457426	0.00835553	0.02893	0.0970162	0.32829	0.520479
a9	0.00154172	0.00170681	0.00320185	0.00578646	0.0188787	0.0661707	0.287691	0.615023
a38	0.00861526	0.00640595	0.00532011	0.00865641	0.0260003	0.0881594	0.313385	0.543458
a44	0.0102242	0.00849134	0.00848712	0.0139381	0.0333457	0.096665	0.315399	0.513449
a3	0.00293424	0.00252577	0.00290025	0.00448186	0.0149695	0.0605218	0.303781	0.607886
a38	0.0140603	0.00949969	0.008991	0.013861	0.0365422	0.102534	0.304327	0.510185
a44	0.0141845	0.0099369	0.00884924	0.0141626	0.0329317	0.0935572	0.302353	0.524025
a75	0.00442534	0.00364145	0.00424821	0.00684177	0.0202611	0.0725013	0.318639	0.569442
a66	0.00293427	0.00364325	0.00524144	0.00918359	0.0344125	0.106325	0.305523	0.532737
a87	0.000708234	0.000893842	0.00166636	0.00257499	0.012095	0.0535406	0.290463	0.638058
a23	0.0205792	0.0160088	0.0157337	0.0220625	0.0525033	0.113392	0.272108	0.487612
a87	0.0317933	0.0235568	0.0257789	0.0403556	0.0959885	0.17028	0.265301	0.346946
</S>	0.0317172	0.025839	0.0251441	0.0354965	0.0762246	0.137664	0.231027	0.436888
