 	ondongo	m'	a	serré	violemment	la	main	</S>
a53	0.348859	0.15679	0.107234	0.0658641	0.0863731	0.0839465	0.0925868	0.0583468
a90	0.134074	0.119653	0.102395	0.0959273	0.132289	0.12079	0.14602	0.148852
a25	0.364626	0.183837	0.16612	0.0634072	0.0502748	0.0664486	0.0603564	0.0449306
a56	0.380522	0.291635	0.206337	0.0555732	0.0224507	0.0163896	0.0141858	0.0129073
a75	0.316831	0.334105	0.245095	0.0589751	0.01622	0.0109995	0.00888847	0.00888642
a92	0.264148	0.296104	0.241383	0.0928955	0.039296	0.0254368	0.0210558	0.0196807
a85	0.177134	0.216885	0.226523	0.14596	0.0827256	0.0561217	0.049416	0.0452354
a37	0.0975081	0.133163	0.157759	0.156117	0.127136	0.111359	0.111727	0.10523
a24	0.108118	0.150564	0.186827	0.214461	0.13253	0.0812132	0.066434	0.0598517
a61	0.0718307	0.088919	0.114368	0.205525	0.213616	0.124123	0.0963039	0.0853136
a12	0.039231	0.0498159	0.0690264	0.176148	0.263703	0.164931	0.130082	0.107063
a61	0.0213995	0.030597	0.0443469	0.126184	0.275552	0.205562	0.168708	0.127651
a21	0.0177753	0.024221	0.0345513	0.0870597	0.217559	0.205957	0.214909	0.197968
a85	0.0123561	0.0165665	0.0232744	0.0595097	0.181886	0.213734	0.248965	0.243707
a37	0.00838972	0.00882473	0.0108209	0.027129	0.124165	0.211552	0.305662	0.303456
a90	0.00781431	0.00963571	0.012861	0.0308099	0.109807	0.187902	0.300504	0.340666
a25	0.00576959	0.00706883	0.00952134	0.0215211	0.0779194	0.162275	0.309954	0.405971
a94	0.00264038	0.00372895	0.00613519	0.0192359	0.0766453	0.164835	0.309803	0.416977
a58	0.0045274	0.00530981	0.00709409	0.0155094	0.0467692	0.125089	0.293669	0.502032
a57	0.0059489	0.00407766	0.00395075	0.00824668	0.025397	0.0910341	0.319828	0.541517
a3	0.051831	0.0389905	0.0311588	0.0386686	0.0801227	0.129409	0.279379	0.35044
a82	0.0936224	0.081939	0.0623598	0.059066	0.117474	0.159727	0.223558	0.202255
a97	0.0893966	0.0992519	0.0864317	0.0992496	0.127764	0.135263	0.178524	0.18412
a3	0.0644594	0.0762887	0.0812725	0.124619	0.149169	0.142273	0.178069	0.183849
a38	0.0382304	0.0537964	0.0729091	0.11136	0.132605	0.159159	0.207046	0.224893
a82	0.0267285	0.0414937	0.055867	0.098023	0.138635	0.163436	0.213697	0.26212
</S>	0.049335	0.0562536	0.0540634	0.0677933	0.109443	0.147896	0.229633	0.285583
