 	cette	nuit-là	les	étoiles	brillaient	dans	le	ciel	</S>
a66	0.179016	0.179423	0.264274	0.267446	0.0647101	0.0139174	0.0113848	0.0101915	0.00963676
a87	0.606335	0.193195	0.0945465	0.0481289	0.0109576	0.00566623	0.00910549	0.0148761	0.0171897
a23	0.659742	0.199924	0.0595879	0.0292269	0.0137756	0.00638809	0.00581815	0.00930933	0.0162284
a30	0.41407	0.186523	0.0754562	0.0609553	0.0588808	0.0542344	0.0413399	0.0401183	0.0684219
a70	0.435501	0.174484	0.105874	0.107009	0.0586405	0.020272	0.0194938	0.0273715	0.0513545
a88	0.243675	0.154073	0.159012	0.1449	0.132254	0.0572435	0.0402015	0.0320463	0.0365946
a50	0.220167	0.203584	0.180887	0.142534	0.146593	0.0411443	0.0246416	0.0183516	0.0220977
a88	0.128923	0.171078	0.191096	0.174411	0.221236	0.0472713	0.0255141	0.0176025	0.0228675
a83	0.0871886	0.126688	0.159326	0.169039	0.215894	0.0935969	0.0566016	0.0426642	0.0490024
a62	0.0773141	0.111176	0.148806	0.16202	0.204226	0.0984811	0.0664623	0.05939	0.0721249
a12	0.0619137	0.0824762	0.114947	0.136959	0.19647	0.144603	0.0941787	0.0804032	0.0880489
a96	0.06691	0.0947016	0.127388	0.146504	0.186394	0.130212	0.094015	0.0763967	0.0774785
a18	0.0663721	0.0950553	0.144729	0.178554	0.199764	0.114916	0.0773451	0.0627946	0.0604705
a36	0.0381128	0.0506549	0.11883	0.189092	0.209763	0.125315	0.0894529	0.0860723	0.0927074
a5	0.0307515	0.0336696	0.102317	0.238709	0.200901	0.106022	0.0808347	0.0874294	0.119366
a36	0.0192726	0.0261085	0.0757603	0.129961	0.135933	0.138243	0.136289	0.159303	0.179129
a37	0.0158738	0.0173305	0.0507713	0.117573	0.127424	0.140572	0.132036	0.174932	0.223488
a18	0.0123876	0.0124655	0.0290783	0.0761205	0.0890169	0.125755	0.129519	0.2059	0.319758
a88	0.0134915	0.00922359	0.0175519	0.0494647	0.0538163	0.110896	0.137156	0.249691	0.358709
a71	0.00562154	0.00368031	0.00637391	0.0146844	0.0178452	0.0676506	0.112158	0.276413	0.495573
a54	0.00444791	0.00288803	0.00448983	0.00912945	0.0131414	0.0853258	0.155186	0.308775	0.416617
a5	0.00108275	0.000938526	0.00184416	0.00711532	0.0189909	0.0848063	0.126961	0.228921	0.52934
a18	0.000957818	0.00073389	0.00148052	0.00434101	0.0128944	0.0909603	0.154021	0.267174	0.467437
a84	0.000298895	0.000196024	0.000329448	0.00085667	0.00235893	0.0359988	0.0927072	0.259149	0.608105
a57	0.00107538	0.00059865	0.000635547	0.000951348	0.00254783	0.0509983	0.136241	0.3212	0.485752
a3	0.00691292	0.00366989	0.0030002	0.0034658	0.00615835	0.0536475	0.1357	0.313399	0.474047
a87	0.103669	0.065886	0.057333	0.0533714	0.0342246	0.0706474	0.122567	0.197965	0.294337
a23	0.130666	0.104003	0.107092	0.108734	0.0791225	0.0761385	0.101411	0.124561	0.168272
a87	0.128544	0.0567236	0.0626637	0.0836675	0.0854712	0.0953448	0.127457	0.138947	0.221181
</S>	0.0279395	0.0150458	0.0192579	0.0315127	0.0515974	0.0936754	0.157865	0.212739	0.390367
