 	le	ruisseau	vouma	a	beaucoup	de	poissons	blancs	abhélélé	</S>
a66	0.182835	0.164578	0.160869	0.130855	0.171755	0.0840081	0.0626504	0.0170298	0.0139464	0.0114725
a87	0.305572	0.175968	0.117422	0.0936152	0.106832	0.0923112	0.061151	0.0235036	0.0156254	0.00800017
a23	0.178945	0.131486	0.109584	0.102356	0.124921	0.128528	0.104679	0.0445221	0.0454549	0.029524
a87	0.280093	0.195792	0.137181	0.109376	0.112764	0.0521186	0.0476864	0.0238026	0.0156779	0.0255081
a23	0.242364	0.18652	0.159254	0.118976	0.119031	0.0605071	0.0474895	0.0219119	0.0197572	0.0241897
a30	0.221261	0.182109	0.149706	0.114643	0.104011	0.0576075	0.0662741	0.0426579	0.023596	0.0381336
a93	0.224245	0.213218	0.188596	0.143554	0.116011	0.0421131	0.0353907	0.0167302	0.00881639	0.0113266
a90	0.217155	0.216584	0.138497	0.134687	0.158655	0.0770939	0.0458616	0.00751857	0.00160681	0.00234077
a5	0.212667	0.215669	0.147765	0.142335	0.141327	0.0850842	0.0447199	0.00665644	0.00150059	0.00227489
a98	0.141187	0.148397	0.0974425	0.131534	0.187363	0.152024	0.101861	0.0183458	0.00919185	0.0126544
a85	0.0951482	0.119132	0.0833606	0.119532	0.164337	0.198281	0.128976	0.0385368	0.0211539	0.0315431
a92	0.0875975	0.11014	0.0825263	0.104746	0.143273	0.15103	0.122814	0.0679805	0.0541807	0.075712
a75	0.0980901	0.12041	0.105693	0.113385	0.132139	0.112577	0.123077	0.0779895	0.0559206	0.0607194
a85	0.0574159	0.0803117	0.091392	0.0964519	0.119732	0.0951263	0.137201	0.123921	0.101276	0.0971709
a47	0.06595	0.0774927	0.0803773	0.0881866	0.116299	0.09525	0.15333	0.110918	0.10204	0.110155
a21	0.0295674	0.0324087	0.0384878	0.0417066	0.0469535	0.0465334	0.115171	0.186167	0.197756	0.265249
a12	0.016222	0.0165988	0.0206901	0.0213888	0.0211594	0.0200585	0.050475	0.138664	0.382127	0.312617
a21	0.00934978	0.00764522	0.00784582	0.00926989	0.0100697	0.0125886	0.0388457	0.125479	0.444891	0.334015
a12	0.00940127	0.00810178	0.00791289	0.00850615	0.00903579	0.0111504	0.0388345	0.142607	0.395675	0.368775
a21	0.00347953	0.00238165	0.00179172	0.00193012	0.0021567	0.00303021	0.0114796	0.087997	0.408433	0.477321
a12	0.00189058	0.00134471	0.00103702	0.000992111	0.00104257	0.00155703	0.00684981	0.0635469	0.428839	0.4929
a18	0.00061404	0.000413412	0.000322339	0.000329024	0.00036107	0.000831136	0.00361816	0.0418228	0.33026	0.621428
a25	0.00113848	0.000828407	0.00083883	0.00134957	0.00160012	0.00493927	0.0118689	0.055036	0.243671	0.67873
a10	0.00905692	0.00680082	0.00588482	0.00802343	0.00739407	0.0148128	0.0227186	0.0552629	0.289207	0.580839
a97	0.0521239	0.0341928	0.0302784	0.0333175	0.0340925	0.0437848	0.0533228	0.0642393	0.290906	0.363742
a87	0.0519716	0.0360334	0.0334836	0.032553	0.0318118	0.0325007	0.0407746	0.0601274	0.249973	0.430771
a23	0.0770147	0.0511353	0.0456373	0.0453173	0.0512543	0.0545344	0.0718024	0.0864591	0.201634	0.315211
a87	0.0154583	0.00707634	0.00467214	0.00394046	0.00367008	0.00639344	0.0119473	0.0441771	0.206793	0.695872
a23	0.00498177	0.00241902	0.00186868	0.00190712	0.00194197	0.00492853	0.0115496	0.0396094	0.153213	0.777581
a99	0.00496112	0.00289591	0.00222349	0.00238622	0.00233538	0.00552576	0.0141709	0.0511896	0.190548	0.723764
a38	0.0025426	0.0016172	0.00158796	0.00177007	0.00187325	0.00542206	0.0104299	0.0369823	0.148419	0.789356
a26	0.00360588	0.00279629	0.00289463	0.00369998	0.00359946	0.0104952	0.0191667	0.0545571	0.180602	0.718583
</S>	0.00357874	0.00269599	0.00255777	0.00274627	0.00249775	0.00542848	0.00951976	0.0300144	0.116378	0.824583
