 	ce	jeune	garçon	est	encore	incirconcis	</S>
a66	0.376467	0.292068	0.173991	0.082102	0.0393894	0.0221562	0.0138266
a87	0.513887	0.266319	0.110621	0.049128	0.0191245	0.0206359	0.0202847
a23	0.623492	0.210272	0.0678429	0.0301861	0.0145449	0.0261093	0.0275526
a53	0.35732	0.140039	0.0666092	0.056196	0.0504368	0.137083	0.192316
a54	0.576824	0.195199	0.060976	0.0389649	0.0268134	0.0500155	0.051207
a6	0.333883	0.217992	0.143141	0.102099	0.0650818	0.0804631	0.0573405
a36	0.182262	0.185552	0.208192	0.158951	0.106137	0.101812	0.0570944
a37	0.107175	0.132831	0.195282	0.208393	0.171294	0.125098	0.0599276
a18	0.135083	0.142262	0.156373	0.16069	0.153293	0.177258	0.0750417
a54	0.0927147	0.103732	0.119051	0.136326	0.148793	0.247509	0.151875
a15	0.0588077	0.0670292	0.104511	0.149873	0.194227	0.242494	0.183059
a79	0.0430398	0.0459504	0.0849593	0.144721	0.221849	0.256435	0.203046
a44	0.03252	0.0329474	0.0651881	0.116192	0.215214	0.31414	0.223799
a4	0.021979	0.0230208	0.039595	0.0783187	0.159458	0.322232	0.355397
a11	0.00843	0.00916648	0.0176946	0.0420027	0.11332	0.290116	0.519271
a13	0.00612465	0.00520339	0.0105171	0.0236368	0.0802766	0.307052	0.567189
a3	0.00810564	0.00622813	0.0107378	0.0227843	0.0558636	0.20369	0.692591
a87	0.0547807	0.0365887	0.043429	0.0556101	0.104806	0.197417	0.507368
a23	0.456345	0.210473	0.0991077	0.0633124	0.0529071	0.0549965	0.0628582
a87	0.263269	0.122298	0.0822127	0.077918	0.107023	0.182027	0.165253
</S>	0.0924548	0.0545862	0.062158	0.0814981	0.176877	0.25611	0.276316
