 	il	épluche	la	mangue	</S>
a23	0.163461	0.151853	0.155435	0.225	0.304251
a79	0.23841	0.185981	0.178549	0.178316	0.218743
a20	0.22157	0.241519	0.19855	0.157789	0.180573
a54	0.404886	0.35003	0.116039	0.0608939	0.0681513
a47	0.395393	0.401796	0.087452	0.0532066	0.0621524
a73	0.29885	0.388909	0.113638	0.087043	0.11156
a7	0.330103	0.348398	0.129234	0.0894733	0.102792
a26	0.33815	0.320498	0.13258	0.0950406	0.113731
a90	0.5041	0.278535	0.0772221	0.0643982	0.0757443
a25	0.347002	0.282454	0.130283	0.105673	0.134588
a98	0.240598	0.263269	0.191254	0.142524	0.162354
a47	0.156968	0.20324	0.219523	0.19706	0.223209
a73	0.148758	0.21056	0.221739	0.193975	0.224968
a37	0.193008	0.25007	0.199663	0.169671	0.187589
a44	0.198258	0.271168	0.198734	0.149097	0.182743
a98	0.161209	0.265427	0.215731	0.173459	0.184174
a41	0.0984547	0.158017	0.221431	0.252271	0.269826
a96	0.056971	0.107425	0.213561	0.295066	0.326978
a66	0.0604778	0.12341	0.19334	0.265839	0.356934
a61	0.010816	0.0330476	0.111387	0.252634	0.592116
a88	0.0291194	0.0691762	0.147148	0.258929	0.495628
a9	0.0114038	0.0322579	0.116503	0.252293	0.587542
a87	0.0102089	0.0447842	0.138581	0.271119	0.535306
a23	0.107739	0.0894453	0.163166	0.246621	0.393029
a87	0.0215341	0.0242883	0.106034	0.282774	0.565369
</S>	0.00827935	0.0167076	0.119969	0.285471	0.569573
