 	les	abeilles	font	beaucoup	de	miel	</S>
a40	0.366196	0.205267	0.126323	0.0991043	0.072924	0.0661691	0.0640171
a30	0.312082	0.162515	0.0731639	0.0759379	0.0842165	0.131886	0.160198
a35	0.524707	0.235806	0.0935249	0.0448716	0.0274504	0.0334505	0.0401895
a66	0.530153	0.209432	0.114779	0.0487276	0.0284463	0.0317267	0.0367348
a38	0.443768	0.257474	0.167052	0.0580771	0.0264491	0.0225042	0.0246756
a94	0.298475	0.234	0.205898	0.105652	0.0574643	0.047895	0.0506164
a76	0.322386	0.251744	0.216893	0.108096	0.0477716	0.0286246	0.0244854
a25	0.307807	0.238494	0.196842	0.113967	0.0639692	0.0422697	0.0366514
a41	0.323438	0.246272	0.194015	0.113247	0.059811	0.0366013	0.0266166
a66	0.262383	0.236886	0.195463	0.131071	0.0782292	0.0548152	0.0411514
a38	0.193746	0.242884	0.220766	0.147561	0.0788618	0.0586889	0.0574927
a14	0.131025	0.197088	0.213933	0.173754	0.10634	0.0897926	0.0880681
a30	0.118168	0.171317	0.180192	0.16701	0.128817	0.120893	0.113603
a2	0.0875673	0.130704	0.138983	0.153858	0.140942	0.175668	0.172277
a57	0.0318239	0.0508033	0.0806076	0.149133	0.179762	0.248288	0.259582
a87	0.0106856	0.0169079	0.0311816	0.0904469	0.169322	0.313069	0.368386
a23	0.062045	0.0579003	0.0774306	0.144624	0.190147	0.231509	0.236344
a40	0.0565785	0.05846	0.0607889	0.12195	0.179602	0.267751	0.254869
a30	0.0902406	0.0646067	0.0729727	0.0943552	0.137134	0.229235	0.311456
a73	0.0763796	0.0724092	0.081424	0.0844751	0.104818	0.207402	0.373092
a57	0.0243951	0.0336293	0.0534991	0.0864271	0.125974	0.250063	0.426012
a76	0.0175841	0.0210231	0.0291319	0.0613847	0.113486	0.28062	0.47677
a94	0.0481179	0.0641373	0.0858865	0.117517	0.149349	0.222472	0.31252
a20	0.0247846	0.0338139	0.0406052	0.0660192	0.106043	0.238778	0.489956
a73	0.0116398	0.015067	0.019	0.0340077	0.0721516	0.246041	0.602093
a69	0.00435165	0.00618597	0.00902522	0.0209443	0.0570289	0.245081	0.657383
a76	0.00627002	0.00724423	0.00840913	0.0173969	0.0450444	0.205135	0.710501
a98	0.012342	0.0135142	0.0117158	0.0214216	0.0491286	0.201368	0.690509
a14	0.0140505	0.0149622	0.0140904	0.0262139	0.0568391	0.21527	0.658574
a41	0.0124716	0.0121655	0.0110091	0.0220745	0.0491037	0.219278	0.673898
a47	0.0150139	0.0132816	0.0112323	0.0221257	0.0497364	0.226807	0.661803
a24	0.00914554	0.00732845	0.005722	0.0134135	0.0345522	0.200134	0.729704
a9	0.0167641	0.0115891	0.00693086	0.0158716	0.039747	0.210931	0.698166
a87	0.0349258	0.0286673	0.0206149	0.0421184	0.0799935	0.241465	0.552215
</S>	0.0351867	0.0232139	0.0168392	0.0359536	0.0784395	0.227787	0.58258
