 	cet	homme	entend	le	vrombissement	d'	un	camion	</S>
a66	0.238011	0.195675	0.198103	0.142745	0.0849281	0.0558268	0.0336744	0.0276277	0.0234088
a87	0.284883	0.198411	0.139427	0.112492	0.069335	0.059912	0.045754	0.0436593	0.046126
a97	0.249785	0.169848	0.145548	0.113499	0.0777901	0.065421	0.0500475	0.0543154	0.0737455
a87	0.257704	0.184969	0.176598	0.129215	0.073749	0.0450589	0.0396859	0.0409961	0.0520242
a97	0.266653	0.181374	0.155586	0.111995	0.0764612	0.0507323	0.0485384	0.0500535	0.0586069
a87	0.262451	0.183048	0.143464	0.109859	0.0731601	0.0541091	0.0532753	0.054634	0.0659986
a97	0.244977	0.166911	0.125906	0.101725	0.0758466	0.0636929	0.0667494	0.0712781	0.0829141
a79	0.248791	0.172438	0.124273	0.0958103	0.0663013	0.0645711	0.0698967	0.0744808	0.083438
a4	0.261127	0.22242	0.169579	0.0941504	0.0583518	0.0485346	0.0459954	0.0493311	0.0505106
a93	0.347861	0.268726	0.175386	0.0590072	0.0276108	0.0245936	0.0262871	0.0348808	0.0356474
a4	0.264456	0.23905	0.18533	0.0796858	0.0459108	0.0391532	0.037749	0.0513125	0.0573535
a93	0.210759	0.22389	0.197899	0.103266	0.0630866	0.0447098	0.0406355	0.0542365	0.0615182
a90	0.159344	0.218172	0.206081	0.115968	0.0669478	0.0519885	0.0481831	0.0615796	0.0717359
a25	0.159084	0.214343	0.196383	0.125295	0.0686466	0.0492474	0.0477108	0.0635891	0.0757003
a98	0.171575	0.220107	0.194068	0.126168	0.0667939	0.0429222	0.0405189	0.0587917	0.0790551
a79	0.109446	0.173069	0.166308	0.126447	0.0961921	0.0699495	0.064947	0.0835723	0.110069
a90	0.1044	0.169436	0.191492	0.155992	0.103059	0.0585489	0.0541941	0.0695861	0.093292
a25	0.100262	0.143203	0.191793	0.160467	0.100266	0.0546715	0.0574912	0.0825812	0.109264
a21	0.0608547	0.10502	0.165603	0.175	0.117048	0.0629023	0.0685897	0.0995326	0.145449
a85	0.0715881	0.0862648	0.122811	0.153594	0.124576	0.0822458	0.0853614	0.110819	0.16274
a92	0.0335621	0.0610056	0.0974681	0.128052	0.124441	0.0951712	0.120329	0.149791	0.190181
a44	0.0332138	0.0474506	0.0843243	0.126821	0.129996	0.0993384	0.13041	0.164546	0.1839
a90	0.02793	0.0350305	0.0622138	0.12249	0.159221	0.121511	0.132328	0.156034	0.183242
a25	0.0113941	0.0147201	0.0295129	0.0803362	0.157468	0.138014	0.169118	0.192935	0.206501
a69	0.00988993	0.0144362	0.0278695	0.0627658	0.14275	0.126316	0.178509	0.211383	0.226082
a94	0.0108566	0.0121744	0.0174543	0.041156	0.122814	0.120333	0.177673	0.223468	0.27407
a90	0.00471724	0.00524277	0.00717777	0.0194833	0.0862453	0.0879819	0.173234	0.263947	0.351971
a94	0.00380809	0.00451986	0.00759004	0.0248447	0.0886509	0.0956242	0.175274	0.273034	0.326654
a62	0.00230805	0.00266154	0.00388243	0.0102557	0.0524984	0.0572951	0.148131	0.299706	0.423262
a96	0.00553573	0.00606038	0.00783751	0.0151562	0.0678251	0.07171	0.131755	0.249982	0.444139
a93	0.0026396	0.00282837	0.00364326	0.00780239	0.041452	0.0526917	0.126118	0.276545	0.48628
a56	0.001334	0.00160979	0.00227127	0.00551892	0.0345144	0.046916	0.114566	0.26654	0.52673
a43	0.000534931	0.000634409	0.000932219	0.00246989	0.0146272	0.0247446	0.0867825	0.279869	0.589406
a93	0.000651622	0.000840896	0.00122679	0.00296424	0.0196265	0.0351765	0.107192	0.291859	0.540463
a96	0.000339173	0.000438305	0.00070674	0.00185454	0.0102124	0.0176708	0.0704281	0.265916	0.632434
a70	0.000520486	0.000646858	0.00115139	0.0030646	0.0165164	0.024789	0.0838431	0.285772	0.583696
a66	0.000522179	0.00068646	0.00129821	0.00351114	0.0206229	0.0315151	0.0955092	0.285984	0.560351
a26	0.00435585	0.00484412	0.00673138	0.0146469	0.0487234	0.0769346	0.170124	0.303726	0.369913
a57	0.0138353	0.0121566	0.0110696	0.0212506	0.0672419	0.0780492	0.172461	0.279353	0.344583
a97	0.0419221	0.0270312	0.0227941	0.0369892	0.079464	0.103547	0.184833	0.249538	0.253882
a87	0.0636367	0.0360868	0.0297469	0.0491909	0.0943738	0.131053	0.191793	0.214776	0.189343
a97	0.0600384	0.0391406	0.0337191	0.0526152	0.10096	0.1308	0.181885	0.213872	0.186971
a87	0.0577177	0.0373531	0.0419759	0.085922	0.106855	0.107608	0.135763	0.198381	0.228424
a97	0.0512756	0.0371668	0.0468957	0.0845868	0.0964316	0.0949558	0.12393	0.201338	0.263419
a87	0.0504214	0.044456	0.064081	0.0915664	0.0848672	0.0780079	0.0998723	0.179526	0.307202
a97	0.0501931	0.0475846	0.0600535	0.076753	0.0737959	0.075238	0.0969551	0.177018	0.342409
</S>	0.0612665	0.0561691	0.0720196	0.0881794	0.0785567	0.07977	0.0972291	0.16374	0.30307
