 	cette	maison	est	encombrée	</S>
a66	0.490139	0.199382	0.138638	0.118831	0.0530102
a87	0.276431	0.284603	0.233533	0.145874	0.0595592
a23	0.403746	0.244226	0.158108	0.131472	0.0624482
a38	0.551404	0.233336	0.0964716	0.0781242	0.0406639
a83	0.556362	0.183817	0.0946686	0.10535	0.0598024
a21	0.575574	0.234731	0.112227	0.0515911	0.0258777
a47	0.386473	0.358293	0.184046	0.0481327	0.0230553
a21	0.258345	0.316035	0.268898	0.100171	0.0565517
a47	0.195556	0.278629	0.303009	0.145572	0.0772332
a61	0.176995	0.214034	0.228427	0.199218	0.181325
a21	0.112098	0.166729	0.238915	0.265449	0.216808
a5	0.103563	0.139767	0.221083	0.290358	0.245229
a36	0.0444265	0.0708612	0.161545	0.385457	0.33771
a21	0.0146109	0.00988088	0.0229385	0.270814	0.681755
a85	0.00872499	0.0110155	0.0301785	0.29084	0.659241
a6	0.00719714	0.00987742	0.0378211	0.348153	0.596951
a36	0.00499173	0.00802196	0.0327839	0.279896	0.674306
a27	0.0191087	0.0245077	0.0566991	0.274957	0.624727
a82	0.124331	0.0687531	0.0881478	0.245476	0.473292
a97	0.329446	0.174986	0.135855	0.159726	0.199987
a99	0.254686	0.161453	0.158766	0.207068	0.218027
a97	0.121327	0.123333	0.184863	0.243069	0.327408
a27	0.0769822	0.076219	0.146336	0.287871	0.412592
</S>	0.0590546	0.0796221	0.170651	0.287579	0.403093
